account,sku,assigned_group,applied,причина
oz_acc1,1165086560,A,true,
oz_acc1,1165086584,A,true,
oz_acc1,1165086590,A,true,
oz_acc1,1165086598,A,true,
oz_acc1,1165086610,A,true,
oz_acc1,1165086639,A,true,
oz_acc1,1165086778,A,true,
oz_acc1,1165087220,A,true,
oz_acc1,1165541062,A,true,
oz_acc1,1167177409,A,true,
oz_acc1,1167177468,A,true,
oz_acc1,1167177754,A,true,
oz_acc1,1167177789,A,true,
oz_acc1,1196599213,A,true,
oz_acc1,1218342730,A,true,
oz_acc1,1218342735,A,true,
oz_acc1,1218342777,A,true,
oz_acc1,1220113646,A,true,
oz_acc1,1220113657,A,true,
oz_acc1,1220688012,A,true,
oz_acc1,1220691292,A,true,
oz_acc1,1220691565,A,true,
oz_acc1,1220692150,A,true,
oz_acc1,1232607578,A,true,
oz_acc1,1232621921,A,true,
oz_acc1,1232685195,A,true,
oz_acc1,1232863133,A,true,
oz_acc1,1233316708,A,true,
oz_acc1,1247446338,A,true,
oz_acc1,1248978393,A,true,
oz_acc1,1261462095,A,true,
oz_acc1,1261462708,A,true,
oz_acc1,1261463653,A,true,
oz_acc1,1261463802,A,true,
oz_acc1,1261463846,A,true,
oz_acc1,1261463861,A,true,
oz_acc1,1261464057,A,true,
oz_acc1,1261465599,A,true,
oz_acc1,1261465876,A,true,
oz_acc1,1261465959,A,true,
oz_acc1,1261466190,A,true,
oz_acc1,1261466425,A,true,
oz_acc1,1261467124,A,true,
oz_acc1,1261493116,A,true,
oz_acc1,1261496414,A,true,
oz_acc1,1261498604,A,true,
oz_acc1,1261500252,A,true,
oz_acc1,1261503336,A,true,
oz_acc1,1261508353,A,true,
oz_acc1,1261508456,A,true,
oz_acc1,1261508683,A,true,
oz_acc1,1261508860,A,true,
oz_acc1,1261508898,A,true,
oz_acc1,1261508917,A,true,
oz_acc1,1261509668,A,true,
oz_acc1,1261511370,A,true,
oz_acc1,1261513352,A,true,
oz_acc1,1261513851,A,true,
oz_acc1,1261516141,A,true,
oz_acc1,1261562677,A,true,
oz_acc1,1261562952,A,true,
oz_acc1,1261565078,A,true,
oz_acc1,1261565148,A,true,
oz_acc1,1261565877,A,true,
oz_acc1,1261567292,A,true,
oz_acc1,1261569627,A,true,
oz_acc1,1261572910,A,true,
oz_acc1,1261573378,A,true,
oz_acc1,1261574203,A,true,
oz_acc1,1261575532,A,true,
oz_acc1,1261577625,A,true,
oz_acc1,1261578989,A,true,
oz_acc1,1277712293,A,true,
oz_acc1,1277712301,A,true,
oz_acc1,1277712359,A,true,
oz_acc1,1277712415,A,true,
oz_acc1,1277712477,A,true,
oz_acc1,1300721000,A,true,
oz_acc1,1300722080,A,true,
oz_acc1,1339737811,A,true,
oz_acc1,1432017439,A,true,
oz_acc1,1434658289,A,true,
oz_acc1,1434660945,A,true,
oz_acc1,1434676978,A,true,
oz_acc1,1434695503,A,true,
oz_acc1,1454441839,A,true,
oz_acc1,1510948606,A,true,
oz_acc1,1510948959,A,true,
oz_acc1,1510949941,A,true,
oz_acc1,1510950675,A,true,
oz_acc1,1519366653,A,true,
oz_acc1,1547263780,A,true,
oz_acc1,1547263897,A,true,
oz_acc1,1547264021,A,true,
oz_acc1,1547264065,A,true,
oz_acc1,1547264224,A,true,
oz_acc1,1548617297,A,true,
oz_acc1,1548617343,A,true,
oz_acc1,1549875989,A,true,
oz_acc1,1555314153,A,true,
oz_acc1,1555314399,A,true,
oz_acc1,1574458154,A,true,
oz_acc1,1585141833,A,true,
oz_acc1,1586846897,A,true,
oz_acc1,1586846985,A,true,
oz_acc1,1586847000,A,true,
oz_acc1,1586847002,A,true,
oz_acc1,1586847019,A,true,
oz_acc1,1586847028,A,true,
oz_acc1,1586847158,A,true,
oz_acc1,1603027193,A,true,
oz_acc1,1613023426,A,true,
oz_acc1,1664770949,A,true,
oz_acc1,1664778339,A,true,
oz_acc1,1664836753,A,true,
oz_acc1,1664840914,A,true,
oz_acc1,1665026553,A,true,
oz_acc1,1674593194,A,true,
oz_acc1,1691955489,A,true,
oz_acc1,1692245452,A,true,
oz_acc1,1692322094,A,true,
oz_acc1,1692322881,A,true,
oz_acc1,1692325361,A,true,
oz_acc1,1692355212,A,true,
oz_acc1,1692355836,A,true,
oz_acc1,1692358526,A,true,
oz_acc1,1692359661,A,true,
oz_acc1,1692379340,A,true,
oz_acc1,1692432708,A,true,
oz_acc1,1692433535,A,true,
oz_acc1,1692434431,A,true,
oz_acc1,1692438629,A,true,
oz_acc1,1692443086,A,true,
oz_acc1,1692468910,A,true,
oz_acc1,1692481691,A,true,
oz_acc1,1692489862,A,true,
oz_acc1,1692493927,A,true,
oz_acc1,1692506937,A,true,
oz_acc1,1692509324,A,true,
oz_acc1,1692512748,A,true,
oz_acc1,1692605321,A,true,
oz_acc1,1699925977,A,true,
oz_acc1,1701770480,A,true,
oz_acc1,1716682719,A,true,
oz_acc1,1717691434,A,true,
oz_acc1,1717842071,A,true,
oz_acc1,1717842270,A,true,
oz_acc1,1717843032,A,true,
oz_acc1,1719204734,A,true,
oz_acc1,1719404697,A,true,
oz_acc1,1744144721,A,true,
oz_acc1,1744144739,A,true,
oz_acc1,1744144788,A,true,
oz_acc1,1744144837,A,true,
oz_acc1,1744145890,A,true,
oz_acc1,1744147029,A,true,
oz_acc1,1744147063,A,true,
oz_acc1,1759731927,A,true,
oz_acc1,1759808031,A,true,
oz_acc1,1769027288,A,true,
oz_acc1,1771542293,A,true,
oz_acc1,1772607748,A,true,
oz_acc1,1774237754,A,true,
oz_acc1,1775340487,A,true,
oz_acc1,1775340960,A,true,
oz_acc1,1815602389,A,true,
oz_acc1,1815602522,A,true,
oz_acc1,1815602866,A,true,
oz_acc1,1851947054,A,true,
oz_acc1,1851947920,A,true,
oz_acc1,1851949592,A,true,
oz_acc1,1851955236,A,true,
oz_acc1,1851956617,A,true,
oz_acc1,1851959954,A,true,
oz_acc1,1851973335,A,true,
oz_acc1,1852013470,A,true,
oz_acc1,1852013928,A,true,
oz_acc1,1852056025,A,true,
oz_acc1,1852057653,A,true,
oz_acc1,1852059194,A,true,
oz_acc1,1852076932,A,true,
oz_acc1,1852078123,A,true,
oz_acc1,1869846584,A,true,
oz_acc1,1869847986,A,true,
oz_acc1,1893955099,A,true,
oz_acc1,1897483738,A,true,
oz_acc1,1897483770,A,true,
oz_acc1,1897483859,A,true,
oz_acc1,1897483902,A,true,
oz_acc1,1897483940,A,true,
oz_acc1,1897483972,A,true,
oz_acc1,1910269277,A,true,
oz_acc1,1910273228,A,true,
oz_acc1,1920561754,A,true,
oz_acc1,1937568627,A,true,
oz_acc1,1964570332,A,true,
oz_acc1,1964577624,A,true,
oz_acc1,1998983082,A,true,
oz_acc1,1998987726,A,true,
oz_acc1,1998996285,A,true,
oz_acc1,1999010393,A,true,
oz_acc1,1999025796,A,true,
oz_acc1,1999044214,A,true,
oz_acc1,1999107552,A,true,
oz_acc1,1999330728,A,true,
oz_acc1,1999360715,A,true,
oz_acc1,1999486379,A,true,
oz_acc1,1999525291,A,true,
oz_acc1,1999540198,A,true,
oz_acc1,1999546845,A,true,
oz_acc1,1999593900,A,true,
oz_acc1,1999599174,A,true,
oz_acc1,1999615904,A,true,
oz_acc1,1999636981,A,true,
oz_acc1,1999683150,A,true,
oz_acc1,1999723317,A,true,
oz_acc1,1999777377,A,true,
