core,sku,offer_id,ad_days_baseline,ad_views_baseline,spend_baseline,units_baseline,stock_baseline,price_baseline,price_swing_baseline,в_когорте,причина_исключения
CORE_A,3006464917,2932,7,29,0.0,0.0,93.0,10129.0,0.0,1,
CORE_A,3006490473,4201,8,14,0.0,0.0,853.0,3793.67,20.0,1,
CORE_A,3006511904,5083,8,26,0.0,0.0,14.0,7626.0,0.0,1,
CORE_A,3126540314,5240,8,16,0.0,0.0,1033.0,4669.0,6.0,1,
CORE_A,3152800472,0489,13,87,3.92,0.0,101.0,419.0,0.0,1,
CORE_A,3199264522,1258,11,41,0.0,0.0,66.0,419.0,0.0,1,
CORE_A,3199271505,1485,11,23,0.0,0.0,478.0,1055.0,0.0,1,
CORE_A,3199281099,1806,13,90,13.54,0.0,45.0,13814.67,32.0,1,
CORE_A,3199351315,3133,11,47,0.0,0.0,76.0,419.0,0.0,1,
CORE_A,3335884757,4857,13,50,0.0,0.0,22.0,14899.0,0.0,1,
CORE_A,3350115322,0929,13,95,10.33,1.0,402.0,604.0,0.0,1,
CORE_A,3350326076,2411,13,119,0.0,6.0,1099.0,4226.0,0.0,1,
CORE_A,3350340732,3565,13,59,0.0,1.0,720.0,2941.33,49.0,1,
CORE_A,3415746776,1050,11,22,0.0,0.0,272.0,4815.0,12.0,1,
CORE_A,3421455625,0790,13,56,7.59,1.0,588.0,1710.67,8.0,1,
CORE_A,3421470162,0917,13,92,0.0,5.0,371.0,821.0,9.0,1,
CORE_A,3421529604,3459,8,27,0.0,0.0,223.0,3596.0,33.0,1,
CORE_A,3497929054,1363,11,27,0.0,0.0,624.0,1907.67,8.0,1,
CORE_A,3527200954,0320,13,153,12.24,1.0,377.0,1526.0,0.0,1,
CORE_A,3556712151,0757,13,418,10.95,5.0,215.0,784.0,9.0,1,
CORE_A,3557209592,6383,13,203,0.0,0.0,1603.0,8236.67,229.0,1,
CORE_A,3557209600,6441,12,36,0.0,1.0,93.0,9949.33,22.0,1,
CORE_A,3557209622,6456,13,295,79.11,2.0,150.0,623.0,0.0,1,
CORE_A,3557209813,6367,13,76,0.0,0.0,218.0,1818.0,0.0,1,
CORE_A,3557209866,6301,13,88,0.0,0.0,4937.0,4580.0,0.0,1,
CORE_A,3557210540,6841,11,27,0.0,0.0,198.0,7319.0,15.0,1,
CORE_A,3557210832,6817,9,24,0.0,0.0,2422.0,4515.0,12.0,1,
CORE_A,3557210852,6812,13,63,0.0,0.0,42.0,4259.0,0.0,1,
CORE_A,3557210879,6790,11,90,13.01,1.0,2910.0,3670.33,13.0,1,
CORE_A,3557210969,6810,12,31,0.0,0.0,53.0,4259.0,0.0,1,
CORE_A,3557210978,6820,13,195,32.24,4.0,229.0,8160.67,20.0,1,
CORE_A,3557210992,6736,11,102,1.02,0.0,15.0,2290.0,0.0,1,
CORE_A,3557211010,6783,13,40,0.0,0.0,702.0,4326.0,0.0,1,
CORE_A,3557211090,6761,13,52,0.0,0.0,310.0,4655.0,90.0,1,
CORE_A,3557211159,6511,12,57,14.55,0.0,227.0,2531.0,0.0,1,
CORE_A,3557211265,6459,13,107,0.0,1.0,157.0,567.0,0.0,1,
CORE_A,3558718258,6202,13,110,0.0,0.0,431.0,7936.33,25.0,1,
CORE_A,651909710,0198,12,60,11.21,0.0,1196.0,3706.0,0.0,1,
CORE_A,651911758,0027,13,52,0.0,1.0,4303.0,3172.0,0.0,1,
CORE_A,651918320,1285,13,65,5.92,0.0,2776.0,3201.0,0.0,1,
CORE_A,651920096,1946,13,74,0.0,0.0,44.0,7869.0,186.0,1,
CORE_A,651943716,0196,13,46,13.47,0.0,377.0,3179.0,0.0,1,
CORE_A,651944847,0237,13,62,6.05,0.0,1139.0,2130.33,16.0,1,
CORE_A,652352491,0743,13,124,8.24,0.0,235.0,7079.0,0.0,1,
CORE_A,652352508,0816,12,53,0.0,1.0,3375.0,3973.67,14.0,1,
CORE_A,652356537,0812,11,44,0.0,0.0,1463.0,3919.67,176.0,1,
CORE_A,652357181,0814,9,23,0.0,0.0,1331.0,3654.33,135.0,1,
CORE_A,652453160,0091,12,45,0.0,0.0,173.0,6513.0,42.0,1,
CORE_A,652453178,1550,12,32,0.0,0.0,334.0,889.0,9.0,1,
CORE_A,652453596,0303,9,27,0.0,0.0,417.0,3832.0,75.0,1,
CORE_A,652453599,0308,13,278,67.32,4.0,692.0,3983.0,0.0,1,
CORE_A,652453602,1377,12,67,25.72,6.0,3998.0,1858.0,0.0,1,
CORE_A,652453771,3622,13,43,0.0,3.0,293.0,744.0,0.0,1,
CORE_A,652454452,2155,11,43,7.41,0.0,325.0,3005.0,0.0,1,
CORE_A,652454458,0976,13,102,13.4,2.0,389.0,969.0,0.0,1,
CORE_A,652454466,0977,13,175,16.1,2.0,447.0,969.0,0.0,1,
CORE_A,652454473,2157,13,96,7.62,0.0,2450.0,3796.33,7.0,1,
CORE_A,652454513,3901,12,47,0.0,0.0,215.0,2275.0,0.0,1,
CORE_A,652454515,0202,13,136,0.0,0.0,846.0,5728.0,0.0,1,
CORE_A,652454538,0087,13,88,3.0,0.0,1909.0,2196.0,0.0,1,
