кластер,sku_в_кластере,E8_всего,E8_A,доля_A,receivers,моделей_принтеров,наборов,baseline_выручка_receivers_₽,baseline_позиций_receivers,baseline_показы_receivers,baseline_расход_receivers_₽,спрос_receivers
картридж w1360x,7,3,2,0.667,3,16,1,0.0,0,86.0,0.0,16225.0
приниер,13,6,4,0.667,3,30,0,969.0,1,269.0,28.0,36895.0
sp230h картридж,7,3,2,0.667,3,7,2,0.0,0,9.0,0.0,4841.0
cf283x,6,3,2,0.667,3,4,3,0.0,0,0.0,0.0,2824.0
xerox phaser 3020 картридж,11,9,6,0.667,2,17,0,0.0,0,23.0,0.0,1841.0
52,5,3,2,0.667,2,6,0,0.0,0,78.0,0.0,7664.0
mlt-d101s,6,3,2,0.667,2,18,2,0.0,0,0.0,0.0,3520.0
hp laserjet m141w,6,3,2,0.667,2,4,0,0.0,0,47.0,9.0,12828.0
самсунг,5,3,2,0.667,2,10,1,0.0,0,0.0,0.0,14384.0
hp 652 картридж,8,6,4,0.667,2,5,1,0.0,0,114.0,0.0,7078.0
phaser 3100,5,3,2,0.667,2,4,2,0.0,0,0.0,0.0,14.0
hp laserjet pro 4104dw,5,3,2,0.667,2,2,2,0.0,0,0.0,0.0,61.0
dr-2075,8,6,4,0.667,1,13,1,0.0,0,0.0,0.0,18.0
mk-4105,5,3,2,0.667,1,15,0,0.0,0,24.0,0.0,94.0
mp-60,7,6,4,0.667,1,3,0,0.0,0,42.0,0.0,17720.0
cb435a картридж,4,3,2,0.667,1,10,1,0.0,0,0.0,0.0,48.0
kyocera taskalfa 4054ci,4,3,2,0.667,1,1,0,0.0,0,50.0,18.0,19177.0
ricoh gr,5,3,2,0.667,1,3,0,0.0,0,22.0,0.0,14423.0
картридж на самсунг м 2070,4,3,2,0.667,1,3,0,0.0,0,20.0,0.0,4599.0
cf234a,6,3,2,0.667,1,5,3,0.0,0,0.0,0.0,32.0
dk-5230,4,3,2,0.667,1,11,1,0.0,0,0.0,0.0,76.0
w211,14,12,8,0.667,1,13,0,0.0,0,26.0,0.0,17577.0
притер,4,3,2,0.667,1,4,1,0.0,0,0.0,0.0,21368.0
cea design,5,3,2,0.667,1,8,0,0.0,0,0.0,0.0,6.0
к-700,4,3,2,0.667,1,0,0,0.0,0,74.0,8.0,2979.0
8050,4,3,2,0.667,1,6,0,3598.0,1,46.0,0.0,13791.0
картридж 650 hp черный,9,6,4,0.667,1,6,2,0.0,0,0.0,0.0,107.0
mlt-d205l картридж,4,3,2,0.667,1,4,1,0.0,0,0.0,0.0,2491.0
плоттер hp,10,9,6,0.667,1,3,0,0.0,0,28.0,0.0,321.0
ghbynth,4,3,2,0.667,1,5,0,0.0,0,20.0,0.0,8158.0
canon 046,4,3,2,0.667,1,2,1,0.0,0,0.0,0.0,3513.0
ex1700,4,3,2,0.667,1,3,1,0.0,0,0.0,0.0,29.0
sure,4,3,2,0.667,1,0,0,0.0,0,0.0,0.0,96.0
dk-5140,5,3,2,0.667,1,8,1,0.0,0,0.0,0.0,13.0
acu,27,26,17,0.654,1,29,0,0.0,0,7.0,0.0,1315.0
распродажа скидки 90%,18,14,9,0.643,3,11,0,0.0,0,366.0,24.0,61377.0
краска для принтера canon,24,16,10,0.625,5,21,0,0.0,0,199.0,0.0,7734.0
yamaha clp,12,8,5,0.625,3,8,3,0.0,0,0.0,0.0,72.0
b450i,10,8,5,0.625,2,6,2,0.0,0,0.0,0.0,1237.0
oki mb472,10,8,5,0.625,2,10,0,2242.0,1,47.0,14.0,13975.0
lq,18,16,10,0.625,2,6,2,0.0,0,0.0,0.0,88.0
58d0z00,9,8,5,0.625,1,17,1,0.0,0,0.0,0.0,92.0
3 d принтер,18,5,3,0.6,12,60,12,0.0,0,22.0,0.0,105627.0
006r04380,13,5,3,0.6,7,19,2,0.0,0,177.0,8.0,15477.0
tl-c2310h,13,5,3,0.6,7,4,6,0.0,0,124.0,0.0,18347.0
dl-5120,10,5,3,0.6,5,7,0,0.0,0,15.0,0.0,36020.0
tn-3480,10,5,3,0.6,4,13,2,0.0,0,104.0,0.0,22762.0
sp311 картридж,9,5,3,0.6,4,10,1,0.0,0,49.0,8.0,21538.0
pg 545,9,5,3,0.6,4,4,3,0.0,0,108.0,1.0,983.0
hk 417,8,5,3,0.6,3,8,3,0.0,0,0.0,0.0,1672.0
cf210a,8,5,3,0.6,3,4,3,0.0,0,0.0,0.0,90.0
013r00662,7,5,3,0.6,2,21,2,0.0,0,0.0,0.0,38.0
rx590,7,5,3,0.6,2,2,2,0.0,0,0.0,0.0,36.0
work,8,5,3,0.6,2,7,0,0.0,0,37.0,0.0,14456.0
advantage,7,5,3,0.6,2,7,2,0.0,0,0.0,0.0,100.0
8088,6,5,3,0.6,1,10,0,0.0,0,35.0,12.0,10983.0
