nm_id;заказы_июн_авг;выручка_июн_авг_₽;показов_за_неделю;маржа_%;проходит_KPI
192634315;2;5386;4;53.3;да
1208522559;1;5309;1;27.9;да
1208522080;1;5309;1;27.9;да
551305803;2;5298;5;33.0;да
199570286;1;5104;9;22.9;
209724560;1;5079;3;48.4;да
199330999;1;5058;4;21.3;
209713692;1;5048;1;;
275794904;2;5006;6;;
199569936;1;4913;5;24.1;
261176599;2;4859;4;26.2;да
964483695;1;4838;5;24.9;
192567319;3;4753;9;56.3;да
216355680;1;4744;5;26.2;да
199571871;2;4725;4;25.4;да
850428263;1;4708;7;20.2;
192568282;1;4679;2;30.0;да
199334986;1;4667;3;31.9;да
216341423;3;4617;9;14.4;
209655469;1;4597;4;56.1;да
181116705;1;4591;0;22.9;
181105203;3;4455;8;58.0;да
199565516;1;4447;7;20.9;
199330728;2;4435;5;30.7;да
264450187;2;4310;6;32.8;да
199569528;1;4285;0;18.6;
199571893;1;4264;5;24.0;
199333334;1;4253;3;22.5;
199334562;2;4177;3;14.6;
215243523;1;4174;6;35.8;да
200165827;2;4163;8;15.3;
209652275;1;4133;3;27.7;да
199335398;1;4118;7;33.3;да
199333217;1;4110;8;20.5;
200166412;1;4085;7;36.7;да
1010914420;1;4018;8;33.4;да
199330987;1;3972;7;30.8;да
257945607;1;3943;7;27.2;да
349940282;2;3906;4;24.1;
199335427;1;3889;3;21.5;
209731215;1;3884;6;37.3;да
216401181;3;3861;8;21.1;
209714575;1;3857;9;33.8;да
199331066;1;3847;9;24.1;
199565436;1;3788;4;33.7;да
199333215;1;3786;9;38.5;да
192626856;1;3752;1;51.1;да
199330647;1;3730;5;33.7;да
199574367;3;3690;1;25.8;да
216355600;1;3633;4;49.6;да
199572530;1;3632;6;26.3;да
199570120;1;3613;7;20.5;
199334799;1;3600;9;20.2;
199570654;1;3591;1;26.1;да
199569768;1;3590;8;17.5;
181116389;2;3505;6;25.0;да
215240259;1;3498;7;33.0;да
199334442;1;3488;8;17.2;
199334955;1;3476;2;16.8;
199332102;1;3473;5;28.5;да
199332699;2;3470;6;33.0;да
199572250;1;3386;5;18.1;
199572169;2;3384;0;32.9;да
199572793;1;3297;2;17.2;
181116660;2;3296;3;39.9;да
199565916;1;3282;6;27.8;да
192228226;2;3271;3;14.6;
181120378;5;3258;9;40.9;да
523991589;1;3170;5;28.6;да
917192836;1;3149;0;;
199335343;1;3113;8;29.6;да
215240160;2;3102;7;42.3;да
344065931;1;3082;8;32.8;да
181116638;2;3080;9;34.5;да
192228300;2;3077;5;14.6;
964824106;1;3069;4;20.6;
199569485;2;3052;2;33.4;да
964497588;1;3006;9;28.4;да
216360584;1;3003;4;17.3;
261208093;1;2992;9;37.0;да
440337178;1;2869;6;26.2;да
199573709;1;2866;0;39.9;да
199333528;1;2850;0;;
285287048;1;2837;4;37.8;да
199565925;1;2814;8;23.8;
199566259;1;2769;3;22.8;
964792524;1;2728;2;26.1;да
326848488;1;2677;5;21.8;
264401478;1;2660;6;22.7;
199566550;2;2638;8;16.6;
199334235;1;2602;2;33.9;да
181116658;1;2588;5;48.7;да
199565592;1;2564;0;29.7;да
267444424;1;2562;9;31.2;да
199332676;1;2560;4;32.3;да
199571764;1;2533;2;32.8;да
216425030;1;2512;8;21.0;
199572742;1;2508;1;27.8;да
199566415;1;2503;6;21.5;
199332155;1;2468;5;35.5;да
209732908;1;2447;0;;
964955028;1;2436;9;36.6;да
199569889;2;2417;4;21.6;
262192241;2;2414;6;23.6;
199331788;1;2402;9;25.1;да
199331153;1;2300;9;27.2;да
216356378;1;2282;5;26.0;да
200166682;1;2272;0;;
200168126;1;2268;9;26.1;да
199333498;1;2266;1;15.4;
199330834;1;2264;0;17.1;
199573351;1;2228;0;18.7;
199573345;1;2227;4;28.3;да
209664086;1;2207;5;39.9;да
199331597;1;2201;0;21.1;
967496417;1;2194;0;26.6;да
199331573;1;2188;5;36.5;да
215240676;1;2159;4;17.4;
199570165;1;2134;8;30.9;да
199331166;2;2132;3;28.4;да
199332962;1;2120;1;14.2;
199565707;1;2083;3;19.5;
199334133;1;2076;6;33.3;да
199331256;1;2047;4;16.7;
199574591;1;2032;0;32.0;да
199330749;1;1985;4;28.2;да
215239527;1;1966;1;23.5;
199572465;1;1952;8;22.1;
216341366;1;1948;8;20.9;
964955376;1;1891;9;32.8;да
326847035;1;1838;8;52.0;да
215243926;2;1834;9;42.2;да
199572665;1;1824;6;33.1;да
200163811;1;1766;9;32.9;да
200163549;1;1763;4;32.9;да
327898987;1;1763;5;18.4;
200163615;1;1753;2;32.9;да
860502769;1;1752;8;23.2;
199565322;1;1743;5;28.8;да
1283992398;1;1730;0;40.9;да
181097521;1;1668;8;30.7;да
200165441;2;1652;9;35.7;да
209713973;1;1632;4;34.2;да
199565338;1;1601;6;26.2;да
964332609;1;1560;9;16.3;
964798705;1;1551;0;;
200163463;1;1530;1;32.9;да
215240851;1;1526;0;;
199565835;1;1515;4;25.7;да
199574734;1;1498;8;41.3;да
262192238;1;1474;0;;
192228107;1;1446;8;37.0;да
216361940;1;1442;9;24.6;
552000460;1;1399;0;;
199335613;1;1395;0;36.1;да
199565909;1;1391;7;29.3;да
472911780;1;1357;7;34.8;да
267893628;1;1356;3;40.6;да
216429550;1;1301;2;25.8;да
199332219;1;1280;2;21.0;
199572582;1;1225;3;34.7;да
181115779;1;1194;9;40.5;да
200164787;1;1188;5;38.2;да
181115789;1;1168;7;38.4;да
964445460;1;1166;0;;
199330940;1;1106;0;34.5;да
199331203;1;1106;3;29.5;да
199333213;1;1095;6;15.6;
216422256;1;1070;1;28.8;да
181115822;1;1064;7;38.1;да
200165455;1;1055;1;35.7;да
209664368;1;1040;7;36.0;да
199334712;1;1027;1;33.8;да
199331762;1;971;2;12.2;
199334763;1;965;8;23.3;
215239534;1;932;9;26.8;да
181097446;1;929;2;40.2;да
200165429;1;912;9;35.7;да
964425718;1;899;0;34.7;да
199573154;1;897;2;38.0;да
199330952;1;893;6;18.7;
199565389;1;876;7;27.8;да
199334702;1;875;2;42.4;да
434635999;1;856;2;42.4;да
967350866;1;836;0;;
964431688;1;779;1;38.9;да
967304870;1;769;9;32.8;да
199335620;1;722;7;33.6;да
200165415;1;656;1;35.7;да
199565505;1;557;3;35.3;да
192227971;1;408;5;33.9;да
