acc,offer_id,product_id,name,status,is_archived,present,reserved,stock_src,vis,archived
oz_acc1,0513,452135750,"Картридж 12A7360 для принтеров Lexmark и T630, T632 черный",Готов к продаже,False,0,0,,ALL,False
oz_acc1,05131,4772980342,Картридж для Lexmark T630,Готов к продаже,False,0,0,,ALL,False
oz_acc1,05131del,451740463,"Картридж для Lexmark T630 (12A7360) и T632, T634",Готов к продаже,True,0,0,,ARCHIVED,True
oz_acc1,05132,4772980205,Картридж для Lexmark T632,Готов к продаже,False,0,0,,ALL,False
oz_acc1,05132del,451740781,"Картридж для Lexmark T632 (12A7360) и T634, T630",Готов к продаже,True,0,0,,ARCHIVED,True
oz_acc1,05133,4772980238,Картридж для Lexmark T634,Готов к продаже,False,0,0,,ALL,False
oz_acc1,05133del,451740765,"Картридж для Lexmark T634 (12A7360) и T630, T632",Готов к продаже,True,0,0,,ARCHIVED,True
oz_acc1,0513X10,5689482183,Комплект картриджей 12A7360 (10 шт.) на 50000 страниц для принтеров Le,Готов к продаже,False,0,0,,ALL,False
oz_acc1,0513X2,5689482148,Комплект картриджей 12A7360 (2 шт.) на 10000 страниц для принтеров Lex,Готов к продаже,False,0,0,,ALL,False
oz_acc1,0513X6,5689482068,Комплект картриджей 12A7360 (6 шт.) на 30000 страниц для принтеров Lex,Готов к продаже,False,0,0,,ALL,False
