nm_id;arm;advert_id;cpc_now;clicks14;views14;orders14;margin;stock
881316014;seed;35503784;7.3;3;11;0;34.7;1
881882162;control;35503414;7.3;1;42;0;27.2;14
881931710;seed;35503414;7.3;1;8;0;29.6;1
882061417;control;35503414;7.3;5;137;0;31.0;2
882069097;control;35503414;7.3;1;10;0;31.0;2
882126479;seed;35503414;7.3;3;37;0;41.8;1
882131603;seed;35503414;7.3;2;6;0;42.1;2
882861552;control;35503146;7.3;3;37;1;31.8;1
882866780;seed;35497479;7.3;1;6;0;36.1;2
883117496;control;35503146;7.3;1;7;0;35.4;45
883118486;seed;35503146;7.3;1;1;0;35.4;45
883328436;seed;35502978;7.3;1;2;0;33.6;45
883401738;seed;35497916;7.3;1;34;0;39.4;1
883430403;control;35502978;7.3;1;9;0;37.6;25
883431431;seed;35502978;7.3;1;16;0;37.6;25
883432096;seed;35502978;7.3;3;20;0;37.6;25
883654744;control;35502978;7.3;1;33;0;28.6;4
883665854;seed;35502978;7.3;1;40;0;40.4;1
883668033;control;35502978;7.3;1;39;0;40.4;1
883669947;seed;35502978;7.3;4;49;0;40.4;1
883671633;control;35502978;7.3;1;35;0;31.8;1
883696214;seed;35502978;7.3;1;25;0;40.4;1
883720760;seed;35502978;7.3;6;102;0;40.4;1
884017193;control;35502769;7.3;1;3;0;26.9;19
884084984;seed;35502769;7.3;1;3;0;33.5;2
884154955;control;35502769;7.3;1;39;0;33.4;45
884163374;seed;35502769;7.3;6;327;0;33.4;45
884182658;seed;35502769;7.3;2;21;0;30.1;14
884537776;seed;35502769;7.3;1;51;0;33.4;45
885238897;control;35502200;7.3;1;8;0;42.3;2
885242390;seed;35502200;7.3;1;5;0;42.3;2
885302865;seed;35502200;7.3;2;15;1;28.7;24
885307255;seed;35502200;7.3;4;69;0;36.6;1
885353137;control;35502200;7.3;1;14;0;34.6;3
885451064;control;35497479;7.3;4;85;0;28.9;2
886421449;seed;35500638;7.3;1;29;0;41.8;45
