# oz_acc1: реклама 2026-07-27..2026-08-17 (22 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 4.6 п.п.; построено 2026-08-18 — кандидаты на подъём ставки
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
2994100339,5374,"Картридж 069H для принтеров Canon i-SENSYS LBP673Cdw, MF752Cdw, MF754Cdw черный",True,21.96,1,Вне РК — спрос без рекламы (08.08),196,4,2.04,8.3,33.39,46,1.0,5292.0,0.6,25.0,9,4,33.39,1.0,5292.0,973,200,0,8418,55.0000000000000000,27,367,0,2722,7,9,45530.0000,28,131667.2800,30,141205.2800,27,3,11.1,2026-08-14,4,0,5668.0,,28.72,24.1,1628.0,0.0394,53.0,42.7,20.7,bid_up,A,реклама окупается (ДРР 0.6 %); сам продаёт 131 667 ₽/90 дн
3855388119,6413,Картриджи TK-5450 для принтеров Kyocera ECOSYS MA2600cfx,True,21.96,1,Вне РК — спрос без рекламы (08.08),383,21,5.48,13.2,278.12,379,2.0,21734.0,1.3,9.52,9,21,278.12,2.0,21734.0,7839,239,0,0,22.0000000000000000,19,433,0,13772,6,2,21734.0000,7,113624.0000,7,113624.0000,10,3,30.0,2026-08-13,5,0,10805.0,,26.31,21.7,2842.94,0.0565,130.2,102.0,80.0,bid_up,A,реклама окупается (ДРР 1.3 %); сам продаёт 113 624 ₽/90 дн; позиция 22 при спросе 7 839
873319974,3877,"Картриджи C250 для принтеров Ricoh M-C250FWB, P-C300W",True,20.93,1,от 10000 до 500 тыс,298,6,2.01,11.7,70.25,96,1.0,24485.0,0.3,16.67,19,5,59.19,1.0,24485.0,17794,141,0,0,44.0000000000000000,36,361,0,27098,6,1,24485.0000,4,101588.0000,4,101588.0000,4,0,0.0,2026-08-04,14,0,27489.0,,22.45,17.9,6171.15,0.0565,271.2,200.5,179.6,bid_up,A,реклама окупается (ДРР 0.3 %); сам продаёт 101 588 ₽/90 дн
1987412088,5626,"Картридж TK-5380K для принтеров Kyocera ECOSYS PA4000cx, MA4000cifx, MA4000cix, MA4000cifx",True,24.16,1,Пустые РК,455,11,2.42,19.1,209.62,286,3.0,24985.0,0.8,27.27,20,6,134.16,2.0,19966.0,4970,668,0,8858,28.0000000000000000,24,1391,0,42403,7,5,35057.0000,20,92700.5000,20,92700.5000,24,6,25.0,2026-08-11,7,0,10187.0,,39.42,34.8,4015.51,0.0565,198.2,171.6,147.4,bid_up,A,реклама окупается (ДРР 0.8 %); сам продаёт 92 700 ₽/90 дн; позиция 28 при спросе 4 970
1759807965,5767,"Картридж для HP Color LaserJet Pro MFP 4303fdw, 4303dw, 4203cdn",True,28.0,2,от 2000 до 5000 / Эксперимент1,1246,22,1.77,14.2,312.01,425,3.0,20207.0,1.5,13.64,22,16,217.08,1.0,6550.0,71672,891,0,8647,39.7500000000000000,25,1699,0,87411,7,4,27014.0000,19,88181.5400,25,116066.5400,27,3,11.1,2026-08-11,7,0,7084.0,,29.95,25.4,2121.99,0.0394,69.7,57.0,29.0,bid_up,A,реклама окупается (ДРР 1.5 %); сам продаёт 88 182 ₽/90 дн
1548617449,5439,"Картридж LC-472XL BK для принтеров Brother MFC-J2340DW, MFC J3540DW черный",True,37.04,1,от 2000 до 5000,579,17,2.94,31.3,531.62,725,2.0,9044.0,5.9,11.76,16,2,58.18,0.0,0.0,2004,220,0,7283,12.3333333333333333,2,774,0,24473,6,1,4557.0000,25,86378.0000,30,100428.0000,27,4,14.8,2026-07-30,19,0,4727.0,,34.34,29.7,1623.21,0.0407,56.4,47.5,10.5,bid_up,A,реклама окупается (ДРР 5.9 %); сам продаёт 86 378 ₽/90 дн; позиция 12 при спросе 2 004
930627436,1275,"Картриджи LC569XL-LC565XL для принтеров Brother MFC-J3520, MFC-J3720",True,22.54,1,Эксперимент1,4591,66,1.44,17.7,1165.88,1590,8.0,26205.0,4.4,12.12,22,44,852.57,6.0,19635.0,61428,474,0,9986,47.6666666666666667,23,847,0,79453,6,10,32759.0000,21,64260.0000,24,70967.0000,26,3,11.5,2026-08-14,4,0,3382.0,,35.79,31.2,1210.5,0.0407,42.4,36.1,13.6,bid_up,A,реклама окупается (ДРР 4.4 %); сам продаёт 64 260 ₽/90 дн
930631319,2983,"Картриджи 106R03745-106R03748 для принтеров Xerox VersaLink C7020, VersaLinkC7025",True,12.89,1,Эксперимент1,156,3,1.92,12.9,38.77,53,1.0,20690.0,0.2,33.33,21,1,21.66,0.0,0.0,8247,153,0,10292,56.0000000000000000,34,279,0,9363,7,1,20690.0000,3,66334.0000,4,79409.0000,3,0,0.0,2026-08-03,15,0,24410.0,,22.76,18.2,5554.59,0.0565,245.1,182.2,169.3,bid_up,A,реклама окупается (ДРР 0.2 %); сам продаёт 66 334 ₽/90 дн
1339739383,5364,"Картриджи 729 для принтеров Canon i-SENSYS LBP7010C, LBP7018C",True,19.0,2,от 2000 до 5000 / Эксперимент1,1138,34,2.99,14.1,478.50,652,2.0,11469.0,4.2,5.88,22,20,293.28,1.0,5599.0,29633,474,0,3541,59.0000000000000000,42,1097,0,60116,7,3,17068.0000,15,69966.0000,21,94872.0000,24,3,12.5,2026-08-06,12,0,6263.0,,23.66,19.1,1482.0,0.0394,46.1,34.8,15.8,bid_up,A,реклама окупается (ДРР 4.2 %); сам продаёт 69 966 ₽/90 дн
863390858,3621,"Картриджи 731 для принтеров Canon i-SENSYS LBP-7100Cn, LBP 7110, MF623cn, MF628cw, MF8230cn, MF8280cw",True,19.33,2,от 5000 до 10000 / Эксперимент1,366,4,1.09,9.5,37.98,52,1.0,10022.0,0.4,25.0,20,2,8.88,1.0,10022.0,27441,237,0,0,61.0000000000000000,53,435,0,32435,6,2,19710.0000,5,42597.0000,9,69743.0000,10,1,10.0,2026-08-06,12,0,9986.0,,31.17,26.6,3112.63,0.0394,103.0,85.0,65.7,bid_up,A,реклама окупается (ДРР 0.4 %); сам продаёт 42 597 ₽/90 дн
904483428,3826,"Картриджи SJIC22P для принтеров Epson ColorWorks C3500, TM-C3500",True,12.89,1,Эксперимент1,280,3,1.07,6.5,19.42,26,1.0,14236.0,0.1,33.33,20,0,0.0,0.0,0.0,3585,305,0,0,24.6666666666666667,19,478,0,4007,6,2,26071.0000,3,38277.0000,3,38277.0000,3,0,0.0,2026-08-14,4,0,11873.0,,25.72,21.1,3054.14,0.0565,139.1,108.1,95.2,bid_up,A,реклама окупается (ДРР 0.1 %); сам продаёт 38 277 ₽/90 дн; позиция 25 при спросе 3 585
