# oz_acc1: эффект разгона ставок. ДО 2026-07-27..2026-08-07 (12 дн) / ПОСЛЕ 2026-08-09..2026-08-15 (6 дн, нет 13.08 и 16.08); органика неделя 2026-07-27 → 2026-08-03; ставки на 2026-08-17; маржа = margin_own_live − 10.6 п.п.; построено 2026-08-17 — вся когорта разгона
sku,offer_id,name,bid_start,bid_target,bid_current,status,grp,n_steps,first_step,last_step,pre_views,pre_clicks,pre_spend,pre_ord,pre_rev,pre_bid,pre_days,post_views,post_clicks,post_spend,post_ord,post_rev,post_bid,post_days,bid_now,org_views_pre,org_ord_pre,org_gmv_pre,org_pos_pre,org_views_post,org_ord_post,org_gmv_post,org_pos_post,sale_rev_pre,sale_rev_post,rev90,qty90,our_price,margin_own_live,verdict,is_archived,pre_views_d,post_views_d,pre_clicks_d,post_clicks_d,pre_spend_d,post_spend_d,pre_ord_d,post_ord_d,pre_rev_d,post_rev_d,d_clicks,d_spend,d_views,x_clicks,bid_up_fact,post_drr,pre_drr,post_cpc,margin_safe,cr_bucket,ceiling_safe,bid_ref,headroom,d_org_views,d_org_pos,verdict_ramp,why
930613103,0103,"Картридж CC364X для принтеров HP LaserJet P4015, LJ P4515 черный",15.0,32.0,21.96,running,C. в июле не продавалась,4,2026-08-10,2026-08-13,0,0,0,0,0,,0,0,0,0,0,0,,0,21.96,0,0,0,,0,0,0,,0,0,0,0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.06,,21.96,,0.0,,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
930613268,0663,Картридж 106R01481 для принтеров Xerox Phaser 6140 голубой,9.0,13.0,13.0,done,C. в июле не продавалась,4,2026-08-08,2026-08-12,12,0,0.0,0.0,0.0,9.9000000000000000,7,0,0,0,0,0,,0,13.0,1,0,0,24.0000000000000000,0,0,0,,0,0,2132.0000,1,3848.0,29.24,нет_индекса,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,,18.6,0.04,21.0,13.0,8.0,-1.0,,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
930613391,0809,"Картридж CE411A для принтеров HP Color LaserJet Pro 300 M351a, M375nw, HP M451dn, HP-M451dw, HPM451nw, HP MFP M475dn голубой",8.0,24.0,8.0,paused,B. продаёт сама,0,,,48,0,0.0,0.0,0.0,8.0000000000000000,11,22,0,0.0,0.0,0.0,8.0000000000000000,6,8.0,4,0,0,38.0000000000000000,13,0,0,98.0000000000000000,0,0,4162.0000,1,3763.0,30.62,нет_индекса,False,4.0,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,,0.0,,,,20.0,0.04,22.6,8.0,14.6,9.0,60.0,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
930613951,0575,"Картридж TN-135BK для принтеров Brother и DCP-9040CN, DCP 9045CN, HL-4040 cn, HL4050CDN, HL-4070, MFC-9440CN, MFC9450 черный",8.0,36.0,12.0,paused,B. продаёт сама,0,,,49,0,0.0,0.0,0.0,9.6000000000000000,12,19,0,0.0,0.0,0.0,9.7777777777777778,6,12.0,12,0,0,56.0000000000000000,22,0,0,172.0000000000000000,0,0,4783.0000,1,,,,False,4.083,3.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,,0.2,,,,,0.06,,12.0,,10.0,116.0,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
930614120,0122,"Картридж TK-435 для принтеров Kyocera TASKalfa 180, TASKalfa 181 черный",12.0,34.0,19.33,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,40,0,0.0,0.0,0.0,13.2000000000000000,10,6,0,0.0,0.0,0.0,17.4000000000000000,5,19.33,13,0,0,97.0000000000000000,10,0,0,83.0000000000000000,0,0,6194.0000,2,,,,False,3.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.33,,4.2,,,,,0.06,,19.33,,-3.0,-14.0,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
930614527,1853,"Фотобарабан 101R00555 DU для принтеров Xerox Phaser 3330, WC-3335, WC 3345 MFP черный",8.0,25.0,12.89,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,43,0,0.0,0.0,0.0,8.7272727272727273,11,34,0,0.0,0.0,0.0,11.2833333333333333,6,12.89,16,0,0,66.0000000000000000,10,0,0,60.0000000000000000,0,0,2545.0000,1,,,,False,3.583,5.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,,2.6,,,,,0.06,,12.89,,-6.0,-6.0,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
930614726,0893,"Картридж CF325X для принтеров HP и LaserJet M806DN M806DN, M830z, LJ-M806X, LJM806X+ черный",8.0,40.0,19.33,running,C. в июле не продавалась,10,2026-08-08,2026-08-13,55,0,0.0,0.0,0.0,9.0769230769230769,12,14,0,0.0,0.0,0.0,13.1260000000000000,4,19.33,9,0,0,70.0000000000000000,7,0,0,42.0000000000000000,0,14362.0000,40948.0000,3,15197.0,25.42,нет_индекса,False,4.583,2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,,4.0,,,,14.8,0.02,29.8,19.33,10.5,-2.0,-28.0,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
930614877,0278,Картридж ML-2850 для принтеров Samsung ML2851 черный,8.0,35.0,19.33,running,C. в июле не продавалась,10,2026-08-08,2026-08-13,46,0,0.0,0.0,0.0,10.4444444444444444,12,29,0,0.0,0.0,0.0,15.2200000000000000,6,19.33,17,0,0,56.0000000000000000,10,0,0,64.0000000000000000,0,0,0,0,3882.0,28.53,нет_индекса,False,3.833,4.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.8,,,,17.9,0.04,20.1,19.33,0.8,-7.0,8.0,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
930615083,1174,"Картридж CF320A для принтеров HP Color LaserJet M680z, LJ M651dn, LJ-M651n, LJM651xh, LJ M680dn, LJM680f черный",9.0,30.0,14.5,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,40,0,0.0,0.0,0.0,9.8250000000000000,12,39,0,0.0,0.0,0.0,12.6916666666666667,6,14.5,6,0,0,64.0000000000000000,8,0,5933,196.0000000000000000,10511.0000,0,10511.0000,1,,,,False,3.333,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,,2.9,,,,,0.06,,14.5,,2.0,132.0,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
930615629,0277,"Картридж MLT-D103L для принтеров Samsung ML2950, ML2950NDR, SCX4727FD, SCX4727, SCX 4728, SCX4729, ML2545, ML2950",15.0,19.0,19.0,done,C. в июле не продавалась,3,2026-08-10,2026-08-12,0,0,0,0,0,,0,0,0,0,0,0,,0,19.0,0,0,0,,0,0,0,,0,0,0,0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.06,,19.0,,0.0,,QUIET,"расход около нуля и до, и после — разгон ни на что не повлиял"
