account,offer_id,sku,rev,net,margin_pct,price,new_price,market_min,index,cut,cut_pct,net_loss_2m,net_after,survives
oz_acc2,6249MMYPG5UY,1936689107,39312.0,14477.600000000004,36.82743182743184,5567.0,5039.094827586207,2732.0,1.16,527.9051724137926,9.482758620689646,2385.8317241379286,12091.768275862076,True
oz_acc1,4368,457712950,38338.0,13464.99,35.12178517397882,9486.0,6729.932432432433,2654.0,1.48,2756.0675675675666,29.054054054054046,7128.795675675674,6336.194324324326,True
oz_acc1,3669,330041871,33194.28571428572,4985.529166666668,15.019239183450969,4828.0,3520.416666666667,1829.0,1.44,1307.583333333333,27.083333333333325,5753.67619047619,-768.1470238095217,False
oz_acc1,2430,455888188,29993.333333333332,9204.163333333334,30.687363858635255,12977.0,7654.971910112359,1440.0,1.78,5322.028089887641,41.01123595505618,7872.407490636704,1331.7558426966298,True
oz_acc2,5239DY884YCL,1405611708,29782.0,11013.150000000003,36.9792156336042,5125.0,4139.423076923077,2072.0,1.3,985.576923076923,19.23076923076923,3665.4769230769225,7347.673076923081,True
oz_acc1,3909,457221947,29739.166666666664,9821.948333333332,33.02697901196514,3983.0,3192.4809160305344,1823.0,1.31,790.5190839694657,19.84732824427481,3777.5552162849867,6044.393117048345,True
oz_acc2,2312VIUE4G4T,1405571989,27845.0,10489.29,37.67028191775902,5158.0,5061.588785046729,2830.0,1.07,96.41121495327104,1.869158878504673,333.0990654205608,10156.19093457944,True
oz_acc1,4226,457712655,25521.0,9077.630000000001,35.56925669056856,3578.0,2935.078125,1692.0,1.28,642.921875,17.96875,2934.915,6142.715000000001,True
oz_acc1,4468,457713216,24757.0,-602.99,-2.4356343660378883,29612.0,28265.999999999996,15061.0,1.1,1346.000000000002,4.545454545454552,720.2036363636375,-1323.1936363636376,False
oz_acc2,6452NKN14RKX,2508061540,23995.5,9456.050000000001,39.40759725781918,3073.0,2855.4424778761068,1651.0,1.13,217.55752212389345,7.079646017699104,1087.2297345132727,8368.82026548673,True
oz_acc1,6638,2801386227,23633.0,4544.6399999999985,19.230059662336554,27706.0,26446.63636363636,15516.0,1.1,1259.3636363636383,4.545454545454552,687.5054545454556,3857.134545454543,True
oz_acc2,5418YW8E45SK,1405548038,21699.0,8244.15,37.99322549426241,4373.0,3958.318965517242,2089.0,1.16,414.68103448275826,9.482758620689646,1316.9048275862058,6927.245172413794,True
oz_acc1,5043,3182516053,21657.0,7989.879999999997,36.892829108371416,22340.0,13717.543859649124,3336.0,1.71,8622.456140350876,38.59649122807017,5349.658947368421,2640.2210526315766,True
oz_acc1,4283,457712729,21450.0,6532.71,30.455524475524477,9187.0,8612.8125,5073.0,1.12,574.1875,6.25,858.0,5674.71,True
oz_acc2,4572MC5TQWB4,1426163910,21330.0,8286.430000000002,38.84871073605252,3082.0,2863.8053097345137,1749.0,1.13,218.19469026548637,7.079646017699104,966.45663716814,7319.973362831862,True
oz_acc1,3672,330041889,20976.571428571428,8486.6225,40.45762449263124,4828.0,4224.500000000001,2453.0,1.2,603.4999999999994,12.49999999999999,1678.1257142857128,6808.4967857142865,True
oz_acc1,3670,330041891,20622.071428571428,7310.144166666665,35.448156563644815,4828.0,3811.5789473684213,2195.0,1.33,1016.4210526315788,21.052631578947366,2778.552781954887,4531.591384711778,True
oz_acc1,5698,1216182166,19994.0,6022.279999999999,30.120436130839245,5336.0,4592.459016393443,2179.0,1.22,743.540983606557,13.93442622950819,1783.071475409835,4239.2085245901635,True
oz_acc1,3024,451742397,18966.0,5970.759999999998,31.48138774649372,9555.0,9464.858490566037,5593.0,1.06,90.14150943396224,0.9433962264150941,114.51169811320753,5856.248301886791,True
oz_acc1,5403,979670029,18608.0,5683.5,30.543314703353396,8850.0,7148.076923076924,3845.0,1.3,1701.9230769230767,19.23076923076923,2290.2153846153847,3393.2846153846153,True
oz_acc1,2411,3380467672,18539.5,4849.360000000001,26.156908222983365,4257.0,3820.384615384616,2089.0,1.17,436.615384615384,10.256410256410241,1216.9517948717933,3632.4082051282076,True
oz_acc1,4532,457713335,18445.0,6085.649999999998,32.99349417186228,2711.0,2519.0707964601775,1474.0,1.13,191.9292035398227,7.079646017699104,835.7380530973438,5249.911946902654,True
oz_acc1,1279,452139207,17664.0,6876.529999999999,38.92963088768115,3915.0,3637.8318584070803,1927.0,1.13,277.16814159291994,7.079646017699104,800.3511504424766,6076.178849557522,True
oz_acc2,5437P5J5ST3I,1426223073,17446.666666666664,-803.700000000001,-4.6066106228505985,9146.0,8070.000000000001,4779.0,1.19,1075.9999999999993,11.764705882352933,1313.6313725490184,-2117.3313725490193,False
oz_acc2,5436MMK2RF9L,1426222957,17446.666666666664,-803.700000000001,-4.6066106228505985,9146.0,8138.389830508475,4561.0,1.18,1007.6101694915247,11.016949152542367,1230.1378531073437,-2033.8378531073447,False
oz_acc1,6454,3800076658,16343.0,5432.220000000001,33.23881784250138,8013.0,6730.92,3534.0,1.25,1282.0799999999995,15.999999999999993,1673.5231999999992,3758.696800000002,True
oz_acc1,0306,329440898,15576.0,4954.799999999999,31.81047765793528,7194.0,6866.999999999999,3547.0,1.1,327.0000000000005,4.545454545454552,453.12000000000074,4501.6799999999985,True
oz_acc1,4832,694891478,15257.0,5090.463333333333,33.36477245417404,5014.0,4211.76,2160.0,1.25,802.2399999999996,15.999999999999993,1562.3167999999994,3528.1465333333335,True
oz_acc1,2146,453348930,14798.0,3542.38,23.93823489660765,3080.0,2717.6470588235297,1690.0,1.19,362.3529411764703,11.764705882352933,1114.2023529411756,2428.1776470588247,True
oz_acc1,1151,452138973,14574.0,4795.189999999999,32.90236036777823,6828.0,6577.431192660551,3366.0,1.09,250.56880733944956,3.669724770642202,342.2884403669725,4452.901559633026,True
oz_acc1,0117,451743426,14436.0,5471.44,37.901357716819064,1952.0,1751.794871794872,1085.0,1.17,200.20512820512792,10.256410256410241,947.5938461538448,4523.846153846155,True
oz_acc1,4053,457222292,13708.0,4297.13,31.34760723665013,14467.0,9675.382165605095,3313.0,1.57,4791.617834394905,33.12101910828026,2905.746751592357,1391.383248407643,True
oz_acc2,1945DB3KIMYO,1421514821,13691.0,3906.6100000000006,28.53414651961143,7038.0,6370.603448275862,3527.0,1.16,667.3965517241373,9.482758620689646,830.9020689655165,3075.7079310344843,True
oz_acc1,5249,694984262,13624.0,4090.9799999999996,30.027745155607747,3645.0,3271.1538461538466,1763.0,1.17,373.8461538461533,10.256410256410241,894.2933333333322,3196.6866666666674,True
oz_acc1,2400,330168983,13557.5,4780.215,35.258823529411764,4151.0,3926.6216216216217,2075.0,1.11,224.3783783783784,5.405405405405405,469.01621621621626,4311.198783783784,True
oz_acc2,1384BECBUKD6,1418748528,13320.666666666666,4388.603333333335,32.94582353235575,3961.0,3249.2578125,1961.0,1.28,711.7421875,17.96875,1531.8766666666666,2856.7266666666687,True
oz_acc1,3911,457222027,13017.166666666666,3322.851666666667,25.52668911565497,3429.0,2857.5,1673.0,1.26,571.4999999999999,16.666666666666664,1388.4977777777776,1934.3538888888893,True
oz_acc1,3114,457220696,12382.0,4403.805000000001,35.56618478436441,2259.0,2176.1009174311926,1149.0,1.09,82.89908256880734,3.669724770642202,290.8066055045872,4112.998394495414,True
oz_acc1,2227,455887855,12277.5,2965.3333333333344,24.152582637616245,5728.0,5275.789473684211,2912.0,1.14,452.21052631578897,7.894736842105255,620.3368421052625,2344.996491228072,True
oz_acc2,3862M4DB12AO,1418626228,12164.0,4208.84,34.60078921407432,7834.0,6580.56,3814.0,1.25,1253.4399999999994,15.999999999999993,1245.5935999999995,2963.246400000001,True
oz_acc1,1320,452139251,11471.0,4394.530000000001,38.309911951878654,4282.0,2882.1153846153848,1047.0,1.56,1399.8846153846152,32.692307692307686,2400.0861538461536,1994.443846153847,True
oz_acc1,4752,519318655,11437.0,3512.279999999999,30.709801521377972,14507.0,11283.222222222223,4614.0,1.35,3223.7777777777774,22.22222222222222,1626.5955555555554,1885.6844444444434,True
oz_acc1,5387,979668398,11084.0,3890.0599999999995,35.09617466618549,4577.0,3696.8076923076924,1885.0,1.3,880.1923076923076,19.23076923076923,1364.1846153846154,2525.875384615384,True
oz_acc1,0060,451740762,10942.0,3705.0400000000004,33.86072016084811,3801.0,3500.921052631579,2261.0,1.14,300.0789473684207,7.894736842105255,552.8589473684204,3152.18105263158,True
oz_acc2,4146MH4R9PEJ,1405609371,10896.0,3833.2400000000007,35.18024963289281,3263.0,3059.0625,1644.0,1.12,203.9375,6.25,435.84000000000003,3397.4000000000005,True
oz_acc1,085111,329357946,10773.0,3138.4066666666677,29.1321513660695,2143.0,2064.3577981651374,1371.0,1.09,78.64220183486239,3.669724770642202,253.01724770642204,2885.3894189602456,True
oz_acc1,0262,451767630,10744.0,2983.650000000001,27.770383469843644,1685.0,1551.9736842105265,968.0,1.14,133.02631578947353,7.894736842105255,542.8547368421047,2440.7952631578964,True
oz_acc1,3442,329478884,10614.0,783.7699999999995,7.384303749764458,6766.0,6177.652173913044,3511.0,1.15,588.3478260869562,8.695652173913038,590.6921739130431,193.0778260869564,True
oz_acc1,1982,453348452,10564.5,3192.33,30.217520942780066,9644.0,9376.111111111111,5566.0,1.08,267.888888888889,2.777777777777779,187.81333333333345,3004.5166666666664,True
oz_acc1,1042,452138753,10390.0,4150.85,39.950433108758425,2734.0,2412.3529411764707,1517.0,1.19,321.64705882352916,11.764705882352933,782.3058823529407,3368.5441176470595,True
oz_acc2,5364MC4EHYNL,1426174301,10310.0,3846.4599999999996,37.30805043646944,6494.0,6198.818181818181,3265.0,1.1,295.18181818181864,4.545454545454552,299.9272727272732,3546.5327272727263,True
oz_acc1,0857,329815851,10265.25,3863.1799999999994,37.63356956722924,2779.0,2559.605263157895,1584.0,1.14,219.39473684210503,7.894736842105255,518.6652631578942,3344.5147368421053,True
oz_acc1,2886,455889172,10247.5,3369.0349999999994,32.876652842156616,5696.0,5155.862068965518,2807.0,1.16,540.1379310344822,9.482758620689646,621.9172413793098,2747.1177586206895,True
oz_acc1,2427,455888174,10167.333333333332,4092.2733333333335,40.24922955871747,4391.0,4229.862385321101,2231.0,1.09,161.1376146788991,3.669724770642202,238.79241590214068,3853.4809174311927,True
oz_acc1,2426,455888186,10167.333333333332,4092.2733333333335,40.24922955871747,4391.0,4153.648648648648,2200.0,1.11,237.35135135135135,5.405405405405405,351.7347747747748,3740.5385585585586,True
