offer_id,name,vendorCode,category,barcodes,tc_parent,tc_vc,verdict,ms,ya_twin_ok,marketSku,mapping_keys
10057,Лента для печати наклеек PT-1200,273048,Картриджи для матричных принтеров,,43381905,,C,,,,marketCategoryId marketCategoryName
10736,Картридж 106R03880 BK (106R03862),3099,Картриджи для Xerox,,006R01160,106R03880 BK,B,vc=3099,3099 30991 30992 3099X10 3099X2,,marketCategoryId marketCategoryName
10739,Картридж 106R03877 C (106R03859),3100,Картриджи для Xerox,,006R01160,106R03877 C,B,vc=3100,3100,,marketCategoryId marketCategoryName
10059,Лента для печати наклеек PT-1250,273050,Картриджи для матричных принтеров,,43381905,,C,,,,marketCategoryId marketCategoryName
10740,Картридж 106R03878 M (106R03860),3101,Картриджи для Xerox,,006R01449,106R03878 M,B,vc=3101,3101,,marketCategoryId marketCategoryName
10177,Картридж 46507519 голубой,2781,Картриджи для OKI,,44315324,46507519,B,vc=2781,2781,,marketCategoryId marketCategoryName
10212,Картридж 006R01146,2808,Картриджи для Xerox,,44315321-44315324,006R01146,B,vc=2808,2808 28081 280810 280811 280812,,marketCategoryId marketCategoryName
10005,Картридж 46508735 голубой,2726,Картриджи для OKI,,44469752,46508735,B,vc=2726,2726,,marketCategoryId marketCategoryName
10007,Картридж 46508733 желтый,2728,Картриджи для OKI,,44469752,46508733,B,vc=2728,2728,,marketCategoryId marketCategoryName
10253,Картридж T676XL3 пурпурный,2816,Картриджи для Epson,,44059117,T676XL3,B,vc=2816,2816,,marketCategoryId marketCategoryName
10264,Картридж PFI-106B синий,2820,Картриджи для Canon,,44059117-44059120,PFI-106B,B,vc=2820,2820,,marketCategoryId marketCategoryName
10267,Картридж PFI-106GY серый,2823,Картриджи для Canon,,44059117-44059120,PFI-106GY,B,vc=2823,2823,,marketCategoryId marketCategoryName
10009,Лента для печати наклеек TZe-111,2730,Ленточные картриджи,,44469752,TZe-111,B,vc=2730,2730 27301 273010 2730100 2730101,,marketCategoryId marketCategoryName
10010,Лента для печати наклеек PT-ST5,27301,Картриджи для матричных принтеров,,44469810-44469752,,C,,,,marketCategoryId marketCategoryName
10011,Лента для печати наклеек PT-11Q,27302,Картриджи для матричных принтеров,,44469810-44469752,,C,,,,marketCategoryId marketCategoryName
2048,"Картридж 106R01162, желтый",0655,Картриджи для Xerox,,,106R01162,B,vc=0655,0655,,marketCategoryId marketCategoryName
