код МС;артикул;внешний код;наименование;категория;архив;штук всего;последнее оприходование;дата
;BFRXPH6125100;jGqd34yMh4i4LF5YlFHRj0;Драм-юнит БУЛАТ s-Line 676K05360 для Xerox Phaser 6125 (Цветной, 30000 стр.), ref.;;;50.0;bulat_2026-08-17_p5;2026-08-17
;DFCNDX4825010;KM0nt0dTiC1NVSs8iIx9Y1;Тонер-картридж БУЛАТ s-Line C-EXV62 (Чёрный, 42000 стр.)  для Canon iR DX 4825i;;;20.0;bulat_2026-08-17_p15;2026-08-17
;DFKYEP2040100;Pd-PPdc6iIrnTXuTK5B6e2;Блок проявки БУЛАТ DV-1150 (302RV93020) для Kyocera ECOSYS P2040, M2040, P2235 (100000 стр.);;;100.0;bulat_2026-08-17_p15;2026-08-17
;DFKYEP4040020;fGDyeRiTgLKJMEvh9QXks3;Блок проявки БУЛАТ DV-7300 (302P793080) для Kyocera ECOSYS P4040;;;20.0;bulat_2026-08-17_p11;2026-08-17
;DFRCAF1015010;T5kNo0Y5hZIWDNJYbssw61;Драм-картридж БУЛАТ s-Line 2015, MP2000 (B2592210, B2592200) для Ricoh Aficio 1015, MP 1500, MP 1900 (Чёрный, 60000 стр.), в сборе с барабаном и девелопером, универсальный, ref.;;;50.0;bulat_2026-08-17_p5;2026-08-17
;DFRCAF1022030;sEir9bIvj6sV16McavAzP0;Блок проявки БУЛАТ s-Line MP3353 (нижняя часть) для Ricoh Aficio 1022, MP 3353 (Чёрный, 60000 стр.);;;20.0;bulat_2026-08-17_p8;2026-08-17
;DFRCMP2554020;rSD7Z7LMhSFPZA1tnXJT60;Драм-картридж БУЛАТ s-Line MP2554, MP3554 (D8690122, D2020124) для Ricoh Aficio MP 2554, MP 3554 (Чёрный, 50000 стр.) в сборе с барабаном и c девелопером, универсальный, ref.;;;50.0;bulat_2026-08-17_p8;2026-08-17
;DFRX000D95020;FV3GX0qljLR23AgglRRlF1;Драм-картридж БУЛАТ s-Line 013R00668, 013R00666 для Xerox D95, совместимый;;;50.0;bulat_2026-08-17_p12;2026-08-17
;DFRXVL7125020;HrM1VaK3h0-qCZTUtwVtk1;Драм-картридж БУЛАТ s-Line 013R00687 для Xerox VersaLink B7125 (Чёрный, 80000 стр.), ref.;;;51.0;bulat_2026-08-17_p16;2026-08-17
;DFRXWC5225030;r5zIGC0-gPqhb3LyXqMgS1;Драм-картридж БУЛАТ s-Line 101R00435 для Xerox WC 5225 (Чёрный, 80000 стр), ref.;;;50.0;bulat_2026-08-17_p10;2026-08-17
;DFSHMX2301010;11y9zyZ8gCUyCPth6j7r02;Тонер-картридж БУЛАТ s-Line MX-31GTBA для Sharp MX-2301 (Чёрный, 18000 стр.), совместимый;;;20.0;bulat_2026-08-17_p6;2026-08-17
;DFSHMX2301020;R37KZJJVgDehKb7PTl9023;Тонер-картридж БУЛАТ s-Line MX-31GTCA для Sharp MX-2301 (Голубой, 15000 стр.), совместимый;;;20.0;bulat_2026-08-17_p6;2026-08-17
;DFSHMX2301030;GODn5VDfgAf6cJa8abVGJ0;Тонер-картридж БУЛАТ s-Line MX-31GTMA для Sharp MX-2301 (Пурпурный, 15000 стр.), совместимый;;;20.0;bulat_2026-08-17_p6;2026-08-17
;DFTSES2822010;BFRDCtICgW9HEemDRF17z2;Тонер-картридж БУЛАТ s-Line T-2822E для Toshiba e-Studio 2822 (Чёрный, 17500 стр.), совместимый;;;50.0;bulat_2026-08-17_p10;2026-08-17
;EAMN00C654020;1YkUYLsJh0eaVdM61zINn3;Тонер-картридж БУЛАТ s-Line TNP711C для Konica Minolta bizhub C654, C754 (Голубой, 31500 стр.);;;20.0;bulat_2026-08-17_p5;2026-08-17
;EAMN00C654030;1R85UXgQgpck-wNyMwcUE1;Тонер-картридж БУЛАТ s-Line TNP711M для Konica Minolta bizhub C654, C754 (Пурпурный, 31500 стр.);;;20.0;bulat_2026-08-17_p5;2026-08-17
;EAMN00C654040;-DP-NtZCjlzgubFyKOK5e1;Тонер-картридж БУЛАТ s-Line TNP711Y для Konica Minolta bizhub C654, C754 (Жёлтый, 31500 стр.);;;20.0;bulat_2026-08-17_p5;2026-08-17
;EAMNBZ3350080;AJseZO4tiVoCaXhfe-NX51;Тонер-картридж БУЛАТ s-Line TNP48Y для Konica Minolta bizhub C3350, C3850 (Жёлтый, 10000 стр.);;;20.0;bulat_2026-08-17_p5;2026-08-17
;EARCMP4501020;UpdmFsKxgS5XuzLSUSY272;Тонер-картридж БУЛАТ s-Line MP C5501E (841459) для Ricoh Aficio MP C4501, MP C5501 (Голубой, 18000 стр.);;;20.0;bulat_2026-08-17_p3;2026-08-17
;EARCMP4501030;1qwVEjJnjhgd7iBIPvmYV2;Тонер-картридж БУЛАТ s-Line MP C5501E (841458) для Ricoh Aficio MP C4501, MP C5501 (Пурпурный, 18000 стр.);;;20.0;bulat_2026-08-17_p3;2026-08-17
;EARCMP4501040;x55stqt1jLKUMnoBMFLhq2;Тонер-картридж БУЛАТ s-Line MP C5501E (841457) для Ricoh Aficio MP C4501, MP C5501 (Жёлтый, 18000 стр.);;;20.0;bulat_2026-08-17_p3;2026-08-17
;EFCN0C5030010;-Zc9orQDj1b3cjevC98YS1;Тонер-картридж БУЛАТ s-Line C-EXV29K для Canon iR C5030 (Чёрный, 36000 стр.);;;50.0;bulat_2026-08-17_p2;2026-08-17
