sku,offer_id,name,campaign,bid_now,qty_180d,revenue_180d,qty_90d,ad_spend_july,ad_revenue_july,organic_pct,ceiling,margin_pct,reason
3557210645,6846,"Картридж CF289A для принтеров HP LaserJet M507, LJ M528 черн",от 2000 до 5000,13.0,1,3191,1,0,0,,,,"продаётся, но маржа не посчитана"
3557210645,6846,"Картридж CF289A для принтеров HP LaserJet M507, LJ M528 черн",Эксперимент1,8.0,1,3191,1,0,0,,,,"продаётся, но маржа не посчитана"
930609104,0219,"Картридж 716M для принтеров Canon и i-SENSYS LBP-5050, LBP 5",Эксперимент1,8.0,1,3075,1,35,3075,0.0,10.9,11.6,маржа ниже KPI 17 %
984584401,4727,Картридж 106R03771 для принтеров Xerox и VersaLink C7000 пур,Пустые РК,12.0,1,2910,1,1,2910,0.0,,,"продаётся, но маржа не посчитана"
653063926,1466,"Картридж LC-1280XBK для принтеров Brother MFC-J5910DW, MFC J",от 0 до 1000,10.0,3,2902,3,0,0,0.0,6.8,12.7,маржа ниже KPI 17 %
653063926,1466,"Картридж LC-1280XBK для принтеров Brother MFC-J5910DW, MFC J",Эксперимент1,8.0,3,2902,3,22,866,0.0,6.8,12.7,маржа ниже KPI 17 %
873319986,3840,"Чернила BT6000BK для принтеров Brother DCP-T300, DCP T500W, ",от 0 до 1000,10.0,4,2873,3,28,0,,8.3,17.4,ставка выше потолка
652576757,1446,"Картридж CLI-471XLBK для принтеров Canon Pixma TS5040, Pixma",Эксперимент1,6.0,4,2641,1,0,0,100.0,6.1,15.0,маржа ниже KPI 17 %
703477557,1264,"Картридж T0793 для принтеров Epson Stylus Photo 1400, Stylus",Эксперимент1,6.0,2,2466,2,25,756,0.0,2.3,7.8,маржа ниже KPI 17 %
904483744,3350,"Картридж PC-310H для принтеров Pantum P3105DN, P3200D, P3205",от 2000 до 5000,12.0,1,2411,1,0,0,,,,"продаётся, но маржа не посчитана"
3735048498,6890,"Картридж 325 для принтеров Canon i-SENSYS LBP-6000, LBP6020,",Эксперимент1,8.0,1,2116,1,10,2116,0.0,,,"продаётся, но маржа не посчитана"
3199264522,1258,Картридж T0595 для принтеров Epson Stylus Photo R2400 светло,от 0 до 1000,10.0,5,2076,1,0,0,,3.2,11.7,маржа ниже KPI 17 %
653129110,0596,"Картридж LC-1100C для принтеров Brother DCP-145C, DCP 163C, ",от 0 до 1000,12.0,3,1963,1,26,0,,7.7,16.8,маржа ниже KPI 17 %
873313336,3740,"Чернила GT52 для принтеров HP DeskJet GT5810, DeskJetGT5820,",от 0 до 1000,12.0,3,1953,3,37,657,0.0,9.3,18.6,ставка выше потолка
652551532,3756,"Чернила GI-490C для принтеров Canon Pixma G1400, PixmaG1410 ",Эксперимент1,7.0,3,1906,2,8,675,0.0,6.5,15.5,маржа ниже KPI 17 %
930634276,0941,Картридж T0543 Epson пурпурный совместимый,Эксперимент1,7.0,4,1862,1,95,0,100.0,-7.1,-9.8,маржа ниже KPI 17 %
930620759,01192del,"Картридж для Kyocera FS-1128MFP, FS-1300D, FS1350DN",Эксперимент1,7.0,1,1800,1,3,1800,0.0,,,"продаётся, но маржа не посчитана"
906874687,0494,"Картридж T0472 для принтеров Epson Stylus C63, Stylus C65 го",от 0 до 1000,10.0,4,1670,2,109,355,0.0,2.9,11.1,маржа ниже KPI 17 %
4543081094,60764,Картридж для HP LaserJet Tank 2602SDN MFP,Эксперимент1,8.0,1,1606,1,7,0,,6.5,16.0,маржа ниже KPI 17 %
4543081094,60764,Картридж для HP LaserJet Tank 2602SDN MFP,от 1000-2000,12.0,1,1606,1,0,0,,15.4,16.0,маржа ниже KPI 17 %
930615603,1259,Картридж T0596 для принтеров Epson и Stylus Photo R2400 свет,от 0 до 1000,11.0,3,1423,1,0,0,,3.2,11.7,маржа ниже KPI 17 %
930641324,0940,Картридж DS T0542 Epson голубой совместимый,от 0 до 1000,10.0,3,1399,1,15,474,0.0,-1.8,0.3,маржа ниже KPI 17 %
864221120,0496,"Картридж T0474 для принтеров Epson Stylus C63, Stylus C65 же",от 0 до 1000,12.0,3,1324,1,32,0,,-1.8,0.3,маржа ниже KPI 17 %
863431156,0490,Картридж DS T0442 Epson голубой совместимый,от 0 до 1000,11.0,3,1324,1,0,0,,-1.8,0.3,маржа ниже KPI 17 %
1153397573,0942,"Картридж T0544 для принтеров Epson и Stylus Photo R1800, Sty",Эксперимент1,8.0,3,1158,1,16,0,100.0,7.8,26.3,ставка выше потолка
906874622,0495,"Картридж T0473 для принтеров Epson Stylus C63, Stylus C65 пу",Эксперимент1,7.0,1,1055,1,0,0,,,,"продаётся, но маржа не посчитана"
3199351315,3133,Картридж T0599 для принтеров Epson Stylus Photo R2400 светло,от 0 до 1000,12.0,2,931,1,0,0,,3.2,11.7,маржа ниже KPI 17 %
652524483,0295,"Картридж T0485 для принтеров Epson Stylus Photo R200, Stylus",Эксперимент1,6.0,1,919,1,29,0,,7.4,16.5,маржа ниже KPI 17 %
653123894,0594,"Картридж LC-1000Y для принтеров Brother DCP-130C, DCP 150C, ",от 0 до 1000,10.0,1,815,1,49,0,100.0,7.7,16.8,маржа ниже KPI 17 %
930640538,0592,"Картридж LC-1000C для принтеров Brother DCP-130C, DCP 150C, ",от 0 до 1000,10.0,1,713,1,10,0,100.0,9.6,16.8,маржа ниже KPI 17 %
653067261,1236,"Картридж LC985Y для принтеров Brother DCP-J125, DCP J140W, M",от 0 до 1000,11.0,1,684,1,12,0,,7.3,16.3,маржа ниже KPI 17 %
652619078,0928,"Картридж T2631XL для принтеров Epson Expression XP-510, XP 6",Эксперимент1,7.0,1,657,2,6,0,,5.9,14.8,маржа ниже KPI 17 %
652619078,0928,"Картридж T2631XL для принтеров Epson Expression XP-510, XP 6",от 0 до 1000,10.0,1,657,2,0,0,,5.9,14.8,маржа ниже KPI 17 %
4807276926,22084,Картридж для Citizen iR-40T,Эксперимент1,8.0,1,638,1,0,0,0.0,6.6,15.1,маржа ниже KPI 17 %
4807276926,22084,Картридж для Citizen iR-40T,от 0 до 1000,10.0,1,638,1,4,638,0.0,6.6,15.1,маржа ниже KPI 17 %
4463810720,05956,Картридж для Brother DCP-195C,Эксперимент1,8.0,1,630,1,14,0,,4.5,22.1,ставка выше потолка
3557211265,6459,"Чернила 115Y для принтеров Epson EcoTank L8160, EcoTank L818",от 0 до 1000,10.0,1,604,1,0,0,,9.8,20.1,ставка выше потолка
4480825051,08386,Картридж для Epson Expression Home XP-316,от 0 до 1000,10.0,1,588,1,12,0,,9.5,19.1,ставка выше потолка
652621010,0132,"Картридж CLI-521C для принтеров Canon и Pixma iP3600, Pixma ",от 0 до 1000,10.0,1,549,1,0,0,100.0,8.3,17.7,ставка выше потолка
4451986444,02325,Картридж для Panasonic KX-MB763,от 0 до 1000,10.0,1,531,1,11,0,0.0,-0.3,4.4,маржа ниже KPI 17 %
4451986444,02325,Картридж для Panasonic KX-MB763,Эксперимент1,8.0,1,531,1,198,531,0.0,-0.3,4.4,маржа ниже KPI 17 %
652549272,0841,"Картридж T1714 для принтеров Epson Expression Home XP-103, X",от 0 до 1000,10.0,1,530,1,38,0,100.0,7.5,17.1,ставка выше потолка
652617859,0840,"Картридж T1713 для принтеров Epson Expression Home XP-103, X",от 0 до 1000,10.0,1,521,1,43,0,100.0,1.6,8.2,маржа ниже KPI 17 %
652757236,0839,"Картридж T1712 для принтеров Epson Expression Home XP-103, X",от 0 до 1000,10.0,1,515,2,82,530,49.0,1.9,8.8,маржа ниже KPI 17 %
653277979,1235,"Картридж LC985M для принтеров Brother DCP-J125, DCP J140W, M",от 0 до 1000,11.0,1,483,1,0,0,,0.0,5.0,маржа ниже KPI 17 %
930625931,0907,Картридж DS T0541 Epson фото-черный совместимый,от 0 до 1000,10.0,1,474,1,9,474,0.0,-1.8,0.3,маржа ниже KPI 17 %
930631263,1249,Картридж T0346 для принтеров Epson Stylus Photo 2100 светло-,от 0 до 1000,11.0,1,448,1,11,0,,2.7,10.7,маржа ниже KPI 17 %
930625326,1248,Картридж T0345 для принтеров Epson Stylus Photo 2100 светло-,от 0 до 1000,11.0,1,448,1,11,0,,-1.8,0.3,маржа ниже KPI 17 %
930621916,1245,Картридж T0342 для принтеров Epson Stylus Photo 2100 голубой,Эксперимент1,6.0,1,448,1,33,0,,-0.7,0.3,маржа ниже KPI 17 %
4463532700,04896,Картридж для Epson Stylus C86,Эксперимент1,8.0,1,436,1,39,0,,2.1,9.3,маржа ниже KPI 17 %
4463532700,04896,Картридж для Epson Stylus C86,от 0 до 1000,10.0,1,436,1,10,0,,2.1,9.3,маржа ниже KPI 17 %
4489631637,15308,Картридж для Epson Stylus Color 660,Эксперимент1,8.0,1,406,1,20,0,,2.3,9.8,маржа ниже KPI 17 %
4489631637,15308,Картридж для Epson Stylus Color 660,от 0 до 1000,10.0,1,406,1,0,0,,2.3,9.8,маржа ниже KPI 17 %
873314092,3413,"Картридж T03 для принтеров Canon iR Advance 525i, iR Advance",от 10000 до 500 тыс,12.0,1,0,1,0,0,,,,"продаётся, но маржа не посчитана"
873314092,3413,"Картридж T03 для принтеров Canon iR Advance 525i, iR Advance",Эксперимент1,9.0,1,0,1,0,0,,,,"продаётся, но маржа не посчитана"
