code,offers_in_ads,offers_with_sales,ad_spend_july,revenue_180d,offer_ids,name
2293,2,2,24,24576,2293; 22933,"Картридж CF530A для принтеров HP Color LJ Pro M154 a, LJ Pro"
0825,2,2,24,6044,0825; 08251,"Картридж CF283A для принтеров HP LaserJet Pro M125, LJ Pro M"
1323,2,2,22,6953,1323; 13231,"Картридж KX-FAT472A7 для принтеров Panasonic KX-MB2110, KX-M"
5730,3,1,22,26769,5730; 5730X2; 5730X6,"Картридж W1520X для принтеров HP LaserJet 4104fdw, LJ Pro 40"
2152,3,1,21,26497,2152; 2152X2; 2152X6,"Картридж CF540A для принтеров HP LaserJet Pro Color M254dw, "
3383,2,2,21,25765,3383; 33831,"Фотобарабан C-EXV42 DU для принтеров Canon iR-2202, iR-2204 "
3199,2,2,20,20417,3199; 31991,"Картридж SP-3710X для принтеров Ricoh Aficio SP-3710SF, 3710"
5527,2,2,20,27425,5527; 55271,"Картридж W1450X для принтеров HP LaserJet Pro 3001dw, LJ Pro"
5384,3,1,19,48596,5384; 5384X2; 5384X6,"Картридж 055H BK для принтеров Canon i-SENSYS MF 741, MF 743"
2371,2,2,19,23037,2371; 23711,"Картридж MP-2014H для принтеров Ricoh Aficio MP-2014D, IM 27"
3367,2,2,18,8781,3367; 33675,"Картридж TN-2135 для принтеров Brother и DCP-7030, DCP7032, "
0862,2,2,17,3300,0862; 08621,Картридж TK-685 для принтеров Kyocera и TASKalfa 300i черный
4333,2,2,15,12607,4333; 43332,"Картридж PC-212EV для принтеров M6502, M6552NW, P2502 черный"
2438,3,1,15,48790,2438; 2438X2; 2438X6,"Картридж C-EXV39 для принтеров Canon iR Advance 4025i, iR Ad"
2411,3,2,14,45902,2411; 2411X2; 2411X6,"Картридж TK-8115BK для принтеров Kyocera Ecosys M8124cidn, M"
5757,2,2,14,9978,5757; 57571,"Картридж TK-7135 для принтеров Kyocera и TASKalfa MZ3200, MZ"
0595,3,3,14,2655,0595; 059514; 05956,"Картридж LC-1100BK для принтеров Brother DCP 385C, DCP 145C,"
2135,4,2,14,72845,2135; 21352; 2135X2; 2135X6,"Картридж TK-5240BK для принтеров Kyocera Ecosys M5526cdn, P5"
4832,3,1,14,85134,4832; 4832X2; 4832X6,"Картридж CF289X для принтеров HP LaserJet M507, LJ M528 черн"
1430,2,2,13,18261,1430; 14303,Картридж SP311HE для принтеров Ricoh Aficio SP311DN черный
0025,2,2,13,8010,0025; 00252,"Картридж Q7551A для принтеров HP LaserJet M3027, LJ M3035 MF"
1042,4,2,13,31284,1042; 10425; 1042X2; 1042X6,"Картридж MLT-D111S для принтеров Samsung Xpress SL-M2070W, X"
0135,2,2,12,2180,0135; 01352,"Картридж CLI-8BK для принтеров Canon Pixma iP3300, PixmaiP35"
0060,4,2,12,42125,0060; 00605; 0060X2; 0060X6,"Картридж для Canon i-SENSYS MF-411dw, MF-416dw, MF 418x, MF4"
2960,3,1,11,115682,2960; 2960X2; 2960X6,"Фотобарабан C-EXV33 DU для принтеров Canon ImageRunner 2520,"
5806,3,1,11,35152,5806; 5806X2; 5806X6,"Картридж TN-3600XXL для принтеров Brother HL-L5210, 5710 чер"
6231,3,1,11,33514,6231; 6231X2; 6231X6,"Картридж PC-212EV XL для принтеров M6502, M6552NW, P2502 чер"
2633,3,1,10,46258,2633; 2633X2; 2633X6,"Картридж TN-221K для принтеров Konica Minolta Bizhub C227, B"
5698,3,1,10,91943,5698; 5698X2; 5698X6,"Картридж 070H для принтеров LBP243dw, LBP246dw, MF461dw, MF4"
5237,3,1,10,39974,5237; 5237X2; 5237X6,"Картридж 069 для принтеров Canon i-SENSYS LBP673Cdw, MF752Cd"
2979,3,1,10,55950,2979; 2979X2; 2979X6,"Картридж 106R03745BK для принтеров Xerox VersaLink C7025, Ve"
4480,3,1,8,119309,4480; 4480X2; 4480X6,"Картридж W9025MC для принтеров HP LaserJet E72425, LJ E72430"
0087,2,1,8,3902,0087; 00872,"Картридж CE285A для принтеров HP LaserJet Pro M1132, LJ Pro "
5530,3,1,8,151060,5530; 5530X2; 5530X6,"Картридж W1510X для принтеров HP LaserJet Pro 4003dn, LJ Pro"
5845,3,1,8,50541,5845; 5845X2; 5845X6,"Картридж 006R01819 для принтеров Xerox VersaLink B7125, Vers"
1285,3,3,7,38331,1285; 12856; 12856del,Картридж TN-3480 для принтеров Brother MFC-L5750dw MFC L6700
4264,4,2,7,36932,4264; 42645; 4264X2; 4264X6,"Картридж 006R01701 для принтеров Xerox AltaLink C8045, C8030"
0860,2,2,7,7943,08601; 08602,Картридж для Kyocera TASKalfa 3500i
6761,2,2,6,10573,6761; 67614,"Картридж W1390X для принтеров HP LaserJet Pro 3001dw, LJ Pro"
0893,3,1,5,79020,0893; 0893X2; 0893X6,"Картридж CF325X для принтеров HP и LaserJet M806DN M806DN, M"
2405,3,1,5,29797,2405; 2405X2; 2405X6,"Картридж TK-5280BK для принтеров Kyocera Ecosys M6235cidn, M"
0830,3,1,4,26134,0830; 0830X2; 0830X6,"Картридж C-EXV33 для принтеров Canon IR2520, IR2525 черный"
0561,2,2,4,7845,0561; 05613,"Картридж TK-475 для принтеров Kyocera FS-6525MFP, FS-6530MFP"
3617,3,1,1,26104,3617; 3617X2; 3617X6,"Фотобарабан 101R00664 DU для принтеров Xerox B-205, B 210, B"
4531,3,1,1,58506,4531; 4531X2; 4531X6,"Фотобарабан 013R00681 DU для принтеров Xerox AltaLink C8130,"
1307,3,1,0,35732,1307; 1307X2; 1307X6,"Картридж 50F5U00 для принтеров Lexmark MS510dn, MS610de, MS6"
2984,3,1,0,43059,2984; 2984X2; 2984X6,"Фотобарабан CLT-R407 DU для принтеров Samsung CLP-320, CLP 3"
4730,3,1,0,35281,4730; 4730X2; 4730X6,Картридж TN-227K для принтеров Konica Minolta Bizhub C257i ч
4532,3,1,0,57664,4532; 4532X2; 4532X6,Картридж C-EXV60 для принтеров Canon и imageRUNNER 2425 черн
5488,3,1,0,26640,5488; 5488X2; 5488X6,"Картридж 069 BK для принтеров Canon и i-SENSYS LBP673Cdw, MF"
