nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_профиля_%;ДРР_потолок_%;расход_₽;выручка_ВСЯ_₽;выручка_органика_₽;заказы_всего;заказы_реклама;заказы_органика;заказы_прошлая_неделя;в_корзину;показы_рекл;клики_рекл;открытия_всего;орг_позиция
923600359;35497681;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;37.9;;12.9;0.00;0;0;0;0;0;0;0;3;0;0;
323201962;36459894;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;24.2;;0.0;0.00;0;0;0;0;0;0;0;3;0;0;
887259785;35501509;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;24.6;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
313214961;35514926;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;15.7;;0.0;0.00;0;0;0;0;0;0;0;3;0;0;
865728552;35501028;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;26.3;;1.3;0.00;0;0;0;0;0;0;0;5;0;0;
871627174;35507256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;31.3;;6.3;0.00;0;0;0;0;0;0;0;13;0;0;
313184811;36459075;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.2;;0.0;0.00;0;0;0;0;0;0;0;69;0;0;
873384069;35505545;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;25.6;;0.6;0.00;0;0;0;0;0;0;0;1;0;0;
869265092;35507605;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;27.0;;2.0;0.00;0;0;0;0;0;0;0;1;0;0;
323194216;35513491;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.5;;0.0;0.00;0;0;0;0;0;0;0;76;0;6;
865718671;35508061;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;15.4;;0.0;0.00;0;0;0;0;0;0;0;5;0;0;
923517407;35497681;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;34.9;;9.9;0.00;0;0;0;0;0;0;0;1;0;0;
323340180;36462624;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;38.2;;13.2;0.00;0;0;0;0;0;0;0;2;0;0;
343261508;35511919;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;21.9;;0.0;0.00;0;0;0;0;0;0;0;2;0;0;
886289308;36458352;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.7;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
313190045;36459468;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;38.5;;13.5;0.00;0;0;0;0;0;0;0;2;0;0;
381157851;35509833;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;22.2;;0.0;0.00;0;0;0;0;0;0;0;4;0;0;
872364600;35506296;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;33.9;;8.9;0.00;0;0;0;0;0;0;0;4;0;1;
313185356;35510132;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;33.7;;8.7;0.00;0;0;0;0;0;0;0;4;0;2;
880241811;35501262;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;21.2;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
323108036;36460596;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;38.3;;13.3;0.00;0;0;0;0;0;0;0;6;0;0;
323151624;35498462;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;32.4;;7.4;0.00;0;0;0;0;0;0;0;6;0;0;
869091175;35507796;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;35.3;;10.3;0.00;0;0;0;0;0;0;0;3;0;0;
865201183;35500638;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.0;;0.0;0.00;0;0;0;0;0;0;0;6;0;0;
867141105;35508061;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;25.9;;0.9;0.00;0;0;0;0;0;0;0;1;0;0;
323109874;36459894;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;33.4;;8.4;0.00;0;0;0;0;0;0;0;1;0;0;
880236916;35504156;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;25.3;;0.3;0.00;0;0;0;0;0;0;0;1;0;0;
883380971;35502978;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;18.9;;0.0;0.00;0;0;0;0;0;0;0;13;0;0;
881177636;35503784;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;25.4;;0.4;0.00;0;0;0;0;0;0;0;2;0;0;
878788475;35500638;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;30.9;;5.9;0.00;0;0;0;0;0;0;0;1;0;0;
912737305;35500111;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;30.0;;5.0;0.00;0;0;0;0;0;0;0;2;0;0;
323140931;35512642;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;28.9;;3.9;0.00;0;0;0;0;0;0;0;1;0;0;
859995653;35509529;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.5;;0.0;0.00;0;0;0;0;0;0;0;2;0;0;
323091937;36460596;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;31.3;;6.3;0.00;0;0;0;0;0;0;0;12;0;0;
323153529;35512642;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;25.9;;0.9;0.00;0;0;0;0;0;0;0;2;0;0;
882850440;35503146;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;18.5;;0.0;0.00;0;0;0;0;0;0;0;3;0;0;
860862263;35509256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;19.8;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
323132362;36459468;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;18.6;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
323167411;36459301;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;30.5;;5.5;0.00;0;0;0;0;0;0;0;1;0;0;
871598128;35507256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;20.0;;0.0;0.00;0;0;0;0;0;0;0;2;0;0;
323186718;35514511;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;38.1;;13.1;0.00;0;0;0;0;0;0;0;1;0;0;
871075743;35507605;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;21.2;;0.0;0.00;0;0;0;0;0;0;0;13;0;0;
313184599;36459301;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;42.8;;17.8;0.00;0;0;0;0;0;0;0;12;0;4;
882126479;35503414;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;41.0;;16.0;0.00;0;0;0;0;0;0;0;4;0;0;
923514492;35497916;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;34.9;;9.9;0.00;0;0;0;0;0;0;0;1;0;0;
874411233;35501028;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;29.5;;4.5;0.00;0;0;0;0;0;0;0;1;0;0;
323231416;35515230;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;19.9;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
435044412;35513180;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;33.9;;8.9;0.00;0;0;0;0;0;0;0;1;0;0;
923580103;35497681;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;36.6;;11.6;0.00;0;0;0;0;0;0;0;14;0;0;
323205508;35513180;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;33.6;;8.6;0.00;0;0;0;0;0;0;0;1;0;0;
872412936;35505900;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;40.0;;15.0;0.00;0;0;0;0;0;0;0;2;0;0;
885308538;35502200;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;25.7;;0.7;0.00;0;0;0;0;0;0;0;6;0;0;
323312425;35500111;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;34.7;;9.7;0.00;0;0;0;0;0;0;0;2;0;0;
880497564;35503784;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;21.7;;0.0;0.00;0;0;0;0;0;0;0;3;0;0;
913064661;35498926;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;24.2;;0.0;0.00;0;0;0;0;0;0;0;5;0;1;
861615468;35509256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;15.4;;0.0;0.00;0;0;0;0;0;0;0;10;0;0;
323152583;35508987;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;40.4;;15.4;0.00;0;0;0;0;0;0;0;19;0;1;
874415820;35501028;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;29.5;;4.5;0.00;0;0;0;0;0;0;0;1;0;0;
966022125;36463324;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;34.8;;9.8;0.00;0;0;0;0;0;0;0;2;0;0;
871594946;35507256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;16.3;;0.0;0.00;0;0;0;0;0;0;0;3;0;0;
313190521;35501028;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.0;;0.0;0.00;0;0;0;0;0;0;0;17;0;0;
923516203;35497681;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;34.9;;9.9;0.00;0;0;0;0;0;0;0;3;0;0;
865396963;35508404;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;25.4;;0.4;0.00;0;0;0;0;0;0;0;1;0;0;
878899780;35504537;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;20.3;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
874824158;35503414;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;21.5;;0.0;0.00;0;0;0;0;0;0;0;2;0;0;
871624872;35507256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;31.3;;6.3;0.00;0;0;0;0;0;0;0;12;0;0;
882874536;35501262;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;19.7;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
860510809;35498839;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;29.4;;4.4;0.00;0;0;0;0;0;0;0;3;0;0;
882131949;35503414;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;36.4;;11.4;0.00;0;0;0;0;0;0;0;4;0;1;
869368213;35507605;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;28.4;;3.4;0.00;0;0;0;0;0;0;0;4;0;0;
323221520;36459468;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;36.3;;11.3;0.00;0;0;0;0;0;0;0;15;0;1;
323338179;35497916;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;37.7;;12.7;0.00;0;0;0;0;0;0;0;2;0;0;
324995659;35511919;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;27.1;;2.1;0.00;0;0;0;0;0;0;0;1;0;1;
435042904;35512936;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;36.4;;11.4;0.00;0;0;0;0;0;0;0;2;0;0;
313195715;35508987;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;31.4;;6.4;0.00;0;0;0;0;0;0;0;11;0;0;
862434770;35509256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;19.3;;0.0;0.00;0;0;0;0;0;0;0;2;0;0;
887712937;35501509;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;27.1;;2.1;0.00;0;0;0;0;0;0;0;4;0;0;
865202437;35500638;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;29.6;;4.6;0.00;0;0;0;0;0;0;0;2;0;0;
878927554;35497479;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;23.1;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
323151800;36459301;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;29.3;;4.3;0.00;0;0;0;0;0;0;0;2;0;0;
873345999;36458352;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;32.4;;7.4;0.00;0;0;0;0;0;0;0;1;0;0;
865030562;35508624;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;23.8;;0.0;0.00;0;0;0;0;0;0;0;5;0;0;
434720622;35500249;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;31.3;;6.3;0.00;0;0;0;0;0;0;0;6;0;0;
323232441;36463324;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;36.3;;11.3;0.00;0;0;0;0;0;0;0;2;0;0;
881019166;35503784;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.7;;0.0;0.00;0;0;0;0;0;0;1;2;0;3;
872375772;35506296;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;28.4;;3.4;0.00;0;0;0;0;0;0;0;1;0;0;
873445083;35505545;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;37.5;;12.5;0.00;0;0;0;0;0;0;0;2;0;0;
874407444;35505545;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;18.2;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
323145721;36459075;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;34.1;;9.1;0.00;0;0;0;0;0;0;0;6;0;0;
912862373;35499393;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;34.6;;9.6;0.00;0;0;0;0;0;0;0;3;0;0;
915939021;35498671;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;21.2;;0.0;0.00;0;0;0;0;0;0;0;5;0;0;
871076620;35507605;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.1;;0.0;0.00;0;0;0;0;0;0;0;4;0;0;
862376491;35500638;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;25.5;;0.5;0.00;0;0;0;0;0;0;0;2;0;0;
860381859;35509529;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;30.1;;5.1;0.00;0;0;0;0;0;0;0;4;0;0;
877182133;35505238;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;27.8;;2.8;0.00;0;0;0;0;0;0;0;2;0;0;
323204722;36459894;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;34.0;;9.0;0.00;0;0;0;0;0;0;0;1;0;0;
872413473;35505900;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;40.0;;15.0;0.00;0;0;0;0;0;0;0;2;0;0;
871127747;35507256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;24.2;;0.0;0.00;0;0;0;0;0;0;0;2;0;0;
862478870;35509256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;36.9;;11.9;0.00;0;0;0;0;0;0;0;14;0;0;
871623018;35507256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;31.3;;6.3;0.00;0;0;0;0;0;0;0;15;0;0;
859971246;35509529;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;19.9;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
878689669;35504537;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;34.1;;9.1;0.00;0;0;0;0;0;0;0;2;0;0;
913041081;35498926;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;25.3;;0.3;0.00;0;0;0;0;0;0;0;6;0;0;
380944497;35511919;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;32.5;;7.5;0.00;0;0;0;0;0;0;0;9;0;3;
313188470;35514220;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;32.3;;7.3;0.00;0;0;0;0;0;0;0;3;0;0;
871124113;35507256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;24.2;;0.0;0.00;0;0;0;0;0;0;0;2;0;0;
869172296;35507605;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;24.5;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
323187961;35514220;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;39.0;;14.0;0.00;0;0;0;0;0;0;0;3;0;0;
881120080;35503784;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;30.6;;5.6;0.00;0;0;0;0;0;0;0;2;0;0;
324992941;35512642;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;19.8;;0.0;0.00;0;0;0;0;0;0;0;12;0;0;
862465128;35508987;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;24.0;;0.0;0.00;0;0;0;0;0;0;0;6;0;0;
862449602;35498462;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;29.1;;4.1;0.00;0;0;0;0;0;0;0;5;0;0;
860622662;35509529;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;22.4;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
