sku,offer_id,name,card_dims,card_vol,real_vol,delta_l,suppliers,qty90,revenue90,stock,loss90
1692460548,5582,"Картридж W1350X для принтеров HP LaserJet M209, LJ-M209dw, LJM209dwe ч",325x78x160,4.056,,,,0,0,0,0
1692461856,5583,"Картридж W1350X для принтеров HP LaserJet M209, LJ-M209dw, LJM209dwe ч",325x78x160,4.056,,,,0,0,0,0
1692463830,5585,"Блок проявки DV311K для принтеров Konica Minolta и Bizhub C220, Bizhub",18x610x19,0.209,,,,0,0,0,0
1692466091,5586,"Картридж W1107A для принтеров HP и Laser 107R, Laser107W черный",320x100x213,6.816,,,,0,0,0,0
1692467906,5587,"Картридж W1520A для принтеров HP LaserJet 4004, LJ 4104fdw черный",320x100x213,6.816,,,,0,0,0,0
1692468910,5588,"Картридж W9014MC для принтеров HP LaserJet Managed E82540dn, E82550dn ",585x90x140,7.371,,,,0,0,0,0
1692470423,5590,Картридж D8840150 для принтеров Ricoh и MP2014 черный,525x180x200,18.9,,,,0,0,0,0
1692473346,5592,"Картридж S015642BA для принтеров Epson LX-1170, LX1350 черный",200x120x150,3.6,1.216,2.384,cactus,0,0,0,0
1692479508,5593,Картридж M210-750-430 для принтеров Brady M210 черный,130x40x60,0.312,0.24,0.072,cactus,0,0,0,0
1692481223,5596,"Картридж W1510A для принтеров HP LaserJet Pro 4003 dn, LJ Pro 4103fdn ",320x150x200,9.6,5.717,3.883,cactus;rapid;sakura;изи,0,0,0,0
1692481691,5600,"Блок проявки DV-1150 для принтеров Kyocera EcoSys M2040dn, M2135dn, M2",410x140x230,13.202,,,,0,0,0,0
1692487724,5694,"Чернила E-110 Bk для принтеров Epson и EcoTank M1100, EcoTankM1120 чер",40x40x140,0.224,,,,0,0,0,0
1692489862,5641,Картриджи T09 для принтеров Canon i-SENSYS X C1127iF,308x172x292,15.469,,,,0,0,0,0
