# oz_acc2: неделя 10.08–16.08 против 03.08–09.08; органика — неделя 03.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
red,down10,2681828516,6404SF5GNJ65,"Картриджи DS W2300A-W2303A для принтеров HP Color LaserJet Pro 4203cdn, 4303dw",Все,8.0,7.2,-0.8,58.8,50.8,11.7,14634.0,0.06,факт,356,14,54.23,0.0,0.0,3.9,3.93,,28,160.69,3.0,5.7,,24.0000000000000000,,0,-275,0,0,,0,0,2,29607.0000,4,27,48,253.39,3.0,0,0,"14 кликов, 54 ₽ и ни одного заказа за неделю; за всё время 3 заказ(ов) при расходе 253 ₽"
red,down10,1873190028,5243S2O54ZIU,"Картриджи DS 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",10000-500000,17.0,15.3,-1.7,48.7,31.7,21.5,14748.0,0.02,справочная,7,1,51.98,0.0,0.0,52.0,14.29,,8,101.45,1.0,12.7,,66.0000000000000000,,0,-86,0,0,,0,0,2,30054.0000,2,15,10,185.50,1.0,0,0,"1 кликов, 52 ₽ и ни одного заказа за неделю; за всё время 1 заказ(ов) при расходе 186 ₽"
watch,hold,1873150362,3083JLHUTCCU,"Картридж DS 903XL для принтеров HP OfficeJet 6950, OfficeJet Pro 6960 черный",от 0 до 3000,16.0,16.0,0.0,11.9,-4.1,18.4,1782.0,0.05,справочная,104,3,45.65,0.0,0.0,15.2,2.88,,0,0.0,0.0,,64.0000000000000000,48.0000000000000000,16.0,46,9,0,55,11,0,14,0,0,0,3,3,45.65,0.0,0,0,"кликов за неделю 3 (за всё время 3), расход 46 ₽ (накоплено 46 ₽) — судить не о чем, наблюдаем"
watch,hold,1883229813,3075AUSU2S08,"Картриджи DS 728XL для принтеров HP DesignJet T730, DJ T830",10000-500000,12.0,12.0,0.0,37.3,25.3,10.7,32716.0,0.02,справочная,72,4,43.43,0.0,0.0,10.9,5.56,,3,40.37,0.0,13.5,,70.0000000000000000,,0,-18,0,0,,0,0,0,0,0,2,7,83.80,0.0,0,0,"кликов за неделю 4 (за всё время 7), расход 43 ₽ (накоплено 84 ₽) — судить не о чем, наблюдаем"
watch,hold,1873140168,2287TTIQKQ4K,"Картриджи DS CLT-406S для принтеров Samsung CLP-360, CLP 362, CLX-3300, CLX3302, SL-C410, SL C460",Все,8.0,8.0,0.0,16.4,8.4,11.7,8153.0,0.03,справочная,112,4,42.78,0.0,0.0,10.7,3.57,,0,0.0,0.0,,59.0000000000000000,74.0000000000000000,-15.0,38,12,0,48,10,1,12,0,0,0,2,7,63.48,0.0,0,0,"кликов за неделю 4 (за всё время 7), расход 43 ₽ (накоплено 63 ₽) — судить не о чем, наблюдаем"
watch,hold,1883236642,1253K157GPZX,"Картридж DS PGI-425PGBK для принтеров Canon Pixma iP4840, PixmaiP4940 черный",Все,9.0,9.0,0.0,0.0,-9.0,-2.6,593.0,0.06,справочная,134,6,42.75,1.0,593.0,7.1,4.48,7.2,3,14.93,0.0,5.0,72.0000000000000000,76.0000000000000000,-4.0,68,-11,0,314,6,1,15,1,593.0000,0,6,14,104.74,2.0,0,0,"кликов за неделю 6 (за всё время 14), расход 43 ₽ (накоплено 105 ₽) — судить не о чем, наблюдаем"
watch,hold,2675948868,6282HEMM5AUR,"Картриджи DS C-EXV65 для принтеров Canon imageRUNNER C3326, iR C3326i",Все,9.0,9.0,0.0,35.6,26.6,12.7,23147.0,0.02,справочная,125,2,42.30,0.0,0.0,21.1,1.6,,2,14.94,0.0,7.5,50.0000000000000000,55.0000000000000000,-5.0,54,13,0,109,3,4,13,0,0,0,9,5,62.68,0.0,0,0,"кликов за неделю 2 (за всё время 5), расход 42 ₽ (накоплено 63 ₽) — судить не о чем, наблюдаем"
bordeaux,floor,1873179404,5378VCCJI4SC,"Картриджи DS 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",10000-500000,12.0,6.0,-6.0,15.6,3.6,10.1,15288.0,0.02,справочная,50,2,41.90,0.0,0.0,20.9,4.0,,0,0.0,0.0,,103.0000000000000000,60.0000000000000000,43.0,48,-1,0,1094,4,2,11,0,0,0,0,4,63.59,0.0,0,0,"ни одной продажи за всю доступную историю (не только реклама): 4 кликов, 64 ₽ рекламы впустую. В пол и на снятие"
bordeaux,floor,2241666785,5771YHAVW2FU,"Картриджи DS W2300X-W2303X для принтеров HP Color LaserJet Pro 4203cdn, 4303dw",Все,9.0,6.0,-3.0,28.2,19.2,11.7,21049.0,0.02,справочная,237,6,40.54,0.0,0.0,6.8,2.53,,10,76.81,0.0,7.7,35.0000000000000000,24.0000000000000000,11.0,334,85,10548,27667,6,1,14,1,21215.0000,1,12,17,125.88,0.0,0,0,"за все 21 дн наблюдения ни одного заказа: 17 кликов, 126 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
bordeaux,floor,1873143724,4147LPJQN98A,"Картриджи DS №963XL для принтеров HP OfficeJet Pro 9010, OfficeJet Pro 9013",Все,8.0,6.0,-2.0,44.5,36.5,19.5,15355.0,0.02,справочная,112,5,38.38,0.0,0.0,7.7,4.46,,5,37.96,0.0,7.6,96.0000000000000000,52.0000000000000000,44.0,68,20,0,3519,4,2,14,0,0,0,11,18,144.95,0.0,0,1,"за все 21 дн наблюдения ни одного заказа: 18 кликов, 145 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
bordeaux,floor,2073217302,5888EANNFEBR,"Картридж DS TN-350 для принтеров Brother FAX-2820, FAX 2920, HL-2035R, HL2037, HL-2040, HL2070, MFC-7220, MFC 7420 черный",от 0 до 3000,12.0,6.0,-6.0,14.7,2.7,17.4,2965.0,0.04,справочная,42,2,37.96,0.0,0.0,19.0,4.76,,1,4.74,0.0,4.7,46.0000000000000000,93.0000000000000000,-47.0,34,23,0,79,5,2,15,0,0,0,0,3,42.70,0.0,0,0,"ни одной продажи за всю доступную историю (не только реклама): 3 кликов, 43 ₽ рекламы впустую. В пол и на снятие"
