# oz_acc1: реклама 2026-07-27..2026-08-15 (19 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 10.6 п.п.; построено 2026-08-17 — трафика нет и не было
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
653030417,0245,"Картридж TN-2080 для принтеров Brother HL-2130R, DCP-7055R, DCP-7055WR",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
651922457,0876,"Картридж CF281A для принтеров HP LJ M604dn, LJ-M604n, LJM605dn, LJ M605n, LJM605x, LJ-M606dn черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,5581.0,,27.71,17.1,1546.57,0.0389,49.3,26.3,,no_traffic,,вне рекламы; спроса по фразам тоже нет
904483802,3601,"Картридж LC-1220M для принтеров Brother и DCP-J525, DCP J725, MFC-J430, MFC-J625 пурпурный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,509.0,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5234631975,0122X10,"Комплект картриджей TK-435 (10 шт.) на 150000 страниц для принтеров Kyocera TASKalfa 180, TASKalfa 181",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,33635.0,,46.8,36.2,15740.7,0.0539,757.3,565.3,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1143057907,5106,"Картридж 43459373 для принтеров OKI и Data C3500, DataC3520, MC350, MC360 желтый",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1153670087,1767,"Картридж 44250724 для принтеров OKI C110, C130N, MC160N черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5289044369,6797X6,"Комплект фотобарабанов DK-5140 (6 шт.) на 120000 страниц для принтеров Kyocera ECOSYS M6030cdn, M6530cdn, P6130cdn",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1167177366,3101,"Картридж 106R03878 M для принтеров Xerox и VersaLink C500, C505 пурпурный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
906876857,2578,"Картридж T0431 для принтеров Epson и Stylus 84, Stylus 86 черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,426.0,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
2931678051,6381,"Фотобарабан DR-2305 для принтеров Brother DCP L2540DW, HL-L2320D, HL L2365DWR, MFC L2700D, MFC-L2740DW черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2998.0,,,,,0.0434,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
