article;ghost_ms_id;ghost_external_code;ghost_name;ghost_buy_price;ghost_created;ghost_barcode;keep_code;keep_name
DR-3000;9a502a4c-3530-11eb-0a80-06530015989a;8qQgNvjygZIsvGd4UnZdS1;Драм к-ж BROTHER HL-5130/4050D/70DN DR-3000;165.0;2020-12-03;20282851;3533pl;Барабан DR-3000 PL
F6U18AE;a2b4eee5-3530-11eb-0a80-06530015b76f;0jRn6lx9hlvNRmkMBucds0;К-ж HP F6U18AE №953XL High Yield Yellow (желтый);32.4951;2020-12-03;20317157;2186-or;Картридж 953XL Y OR
F6V18AE;a2b8e79d-3530-11eb-0a80-06530015b77b;8nSxAeIOjYXeloZC9ffBc2;К-ж HP F6V18AE №123XL для HP Deskjet Ink,   Tri-colour (Цветной);56.8042;2020-12-03;20317188;2706sf;* Восстановленный картридж 123xl Col HP
F6V19AE;a2badd2b-3530-11eb-0a80-06530015b783;JPPr418gitoeK-GtxbbWT1;К-ж HP F6V19AE №123XL для HP Deskjet Ink,  Black (Черный);56.536;2020-12-03;20317201;2705sf;* Восстановленный картридж 123XL BK HP
LC970M;a590764b-3530-11eb-0a80-06530015c1dc;1Qu92tCCh9ryuaupPOZe90;Картридж BROTHER LC970M красный;8.9723;2020-12-03;20307486;0593sf;Картридж LC-970M Brother
LC970Y;a5919442-3530-11eb-0a80-06530015c1e0;92yy-553iMWh54hhf10Xd3;Картридж BROTHER LC970Y желтый;9.5556;2020-12-03;20307493;0594sf;Картридж LC-970Y Brother
ML-D3050B;9acf8b77-3530-11eb-0a80-065300159aa5;5O1RuR91i8mLZjWshu1bI3;К-ж ML-D3050B Samsung  к ML-3050/3051 увеличенный, оригинал;88.9587;2020-12-03;20300654;0026sq;* СПБ* Картридж ML-3050
PC-211EV;19fda3d5-f305-11e8-9ff4-34e80007b385;3262-or;Картриджи Pantum PC-211EV OR;33.7216;2018-11-28;20298401;3262cs;Картридж лазерный Pantum PC-211EV черный (1600стр.) для Pantum Series P2200/2500
PC-211EV;2c68c0dd-6173-11ec-0a80-0b0e004b1218;rU6A5yxvgQjW1TdGu7KGj3;Тонер-картридж Pantum PC-211EV (1600 стр.), оригинал;27.8;2021-12-20;20298456;3262cs;Картридж лазерный Pantum PC-211EV черный (1600стр.) для Pantum Series P2200/2500
PG-40/0615B025;a3871f39-3530-11eb-0a80-06530015ba45;sVZ7NiYri0u8ATsGNklit0;К-ж CANON PG-40 к Pixma MP150/170 черный;22.0;2020-12-03;20309237;0182-or;Картридж PG-40 BK OR
Q2610A;9801c57d-3530-11eb-0a80-065300158f4d;bjhpltnFhcqeIhCPIqwN53;Q2610A  К-ж HP LJ 2300/D/N/DN/DTN/L ориг.;47.953;2020-12-03;20290979;0001;Картридж Q2610A
Q7551A;982ec8c8-3530-11eb-0a80-065300159021;T01BFglmgZQUZ3Glxiu8Z2;Q7551A  К-ж HP LJ 3005/M3027/3035 mfp ресурс 6500 страниц оригинал;107.7995;2020-12-03;20291501;0025;Картридж Q7551A
Q7551X;982fba30-3530-11eb-0a80-065300159025;CYRKyEwrj4G0JcC7TNZoD2;Q7551X  К-ж HP LJ 3005/M3027/3035 mfp ресурс 13000 страниц оригинал;66.0569;2020-12-03;20291518;0032;Картридж Q7551X
Q7551X;884bcdb6-0122-11ed-0a80-0d790036fced;QkiqSRS5gdvlpnoXDWln00;Картридж HP Q7551X  LJ P3005 13K оригинал;68.043;2022-07-11;20287429;0032;Картридж Q7551X
S015307BA;a5ade8f0-3530-11eb-0a80-06530015c233;aFrcKHxEitDc0GVThBg9j0;S015307BA К-ж EPSON LQ-630 оригинал;0.0;2020-12-03;20306632;4599ep;Картридж EasyPrint ME-630 для Epson LQ-630/630S (2 млн. зн.)
T12844010;a4a61a69-3530-11eb-0a80-06530015be2c;GcA1u6zXikqK-MhWoXrdP2;К-ж EPSON T12844010 S22/SX125 желтый;7.095;2020-12-03;20311902;0191-or;Картридж T1284 желтый Orig.
TK-1160;99a9bb6f-3530-11eb-0a80-065300159647;qLdrlr5fhpDbDF9sSf0NA2;Тонер К-ж Kyocera TK-1160 для P2040dn/P2040dw, 7200стр., оригинал, арт. 1T02RY0N;115.5;2020-12-03;20294526;2163ut;Совместимый картридж UNITON Premium TK-1160
TK-120;996df181-3530-11eb-0a80-06530015952f;6Se0yO1zhWR80dbfrMChF1;Тонер К-ж Kyocera TK-120 FS-1030D оригинал;0.0;2020-12-03;20293826;0118sq;Картридж TK-120
TK-5220C;99ee59cb-3530-11eb-0a80-06530015975b;3s3Si6gwg9nGB4r0nIOXC0;Тонер-картридж Kyocera TK-5220C  Cyan для P5021cdn/cdw, M5521cdn/cdw (1 200 стр.;75.2544;2020-12-03;20295219;2168-or;Тонер-картридж Kyocera TK-5220C
TK-5220K;99eb7bae-3530-11eb-0a80-06530015974f;N2tWVzJ-jiMFuaAN0aBLm2;Тонер-картридж Kyocera TK-5220K  Black для P5021cdn/cdw, M5521cdn/cdw (1 200 стр;47.0;2020-12-03;20295189;2167-or;Тонер-картридж Kyocera TK-5220K
TK-5220M;99ed6dd2-3530-11eb-0a80-065300159757;wlGz7riXiYbr7r4U5s4oU2;Тонер-картридж Kyocera TK-5220M Magenta для P5021cdn/cdw, M5521cdn/cdw (1 200 ст;49.0;2020-12-03;20295202;2169-or;Тонер-картридж Kyocera TK-5220M
TK-5220Y;99ec7d6e-3530-11eb-0a80-065300159753;avqs-bK1j9XnRglT0IIi-3;Тонер-картридж Kyocera TK-5220Y  Yellow для P5021cdn/cdw, M5521cdn/cdw (1 200 ст;49.4;2020-12-03;20295196;2170-or;Тонер-картридж Kyocera TK-5220Y
TN-130Y;9a865cdc-3530-11eb-0a80-06530015996e;Cj0pTLNJj8SUKKKlSJJhM3;Тонер-картридж BROTHER TN-130Y MFC-9440CN/HL-4040CN 1500 страниц желтый оригинал;80.0;2020-12-03;20283384;0574;Картридж TN-130Y, желтый
TN-3230;9a7bd6da-3530-11eb-0a80-065300159942;mNgqVUMwi2E-9e-MWpOnR0;Тонер к-ж BROTHER TN-3230 HL-5340D/5350DN/5370DW 3000 стр ориг;68.2;2020-12-03;20283278;1615;Картридж TN-3230
TN-3330;9a7d9b48-3530-11eb-0a80-06530015994a;1xZT43Tsjtkr7YdyN5muS3;Тонер к-ж BROTHER TN-3330 HL5440D/5450DN/5470DW/6180DW 3000 стр ориг;73.0;2020-12-03;20283292;1616;Картридж TN-3330
X4E40AE;a126c99f-3530-11eb-0a80-06530015b1ff;Vym2ZE4igcmWwK8v9MPwa0;К-ж HP (Чернила) X4E40AE   GT51XL Черный (135 мл) GT5810/5820 6000 стр. оригинал;16.6505;2020-12-03;20313715;3737sf;Картридж GT51XL Черный HP
