запрос;nm_id;название;наша_цена;медиана_топ10;множитель;наших_отзывов;отзывов_медиана_соседей;позиция
принтер лазерный бротхер 2540;200166032;Картридж для Brother DCP-L2540DNR;1668;603;2.77;4;278;42
tk-5380;261207969;Картридж TK-5380M для Kyocera MA4000cifx пурпурный;5186;1878;2.76;2;0;61
hp 135;181095500;Картридж 135 для HP DeskJet 460c, DeskJet 460cb цветной;3294;1198;2.75;3;3;69
картридж для принтера hp laserjet m132a;1105077474;Картридж для HP LaserJet Pro M104;1689;622;2.72;0;148;93
p2518 картридж;200167533;Картридж для P2500;2332;861;2.71;121;8;56
cf219a картридж;181123530;Фотобарабан CF219A для HP LJ Pro M101, LJ Pro M102a черный;1982;734;2.7;6;19;38
картридж для принтера lexmark;209664284;Картридж для Lexmark LaserPrinter MX310dn;3977;1474;2.7;2;3;16
картридж dymo;267893128;Лента S0720780 для Dymo LM 160, LM 210D, LM 280, LM 420P;1835;686;2.68;1;2;75
epson 103 (c13t00s14a);209664330;Чернила №103 для Epson L-5190, L 3101, L-5190, L 3101;1441;538;2.68;1;139;46
p2518 картридж;967518854;Картридж для P2518;2302;861;2.67;0;8;37
p2518 картридж;964955160;Картридж для P2506W;2302;861;2.67;0;8;76
картридж для принтера lexmark;257807840;Картридж 808SK для Lexmark CX310, CX410, CX510 черный;3931;1474;2.67;0;3;83
принтер лазерный бротхер 2540;1002569468;Фотобарабан для Brother DCP-L2560;1590;603;2.64;0;278;61
принтер лазерный бротхер 2540;1002569293;Фотобарабан для Brother DCP-L2500;1590;603;2.64;0;278;62
принтер лазерный бротхер 2540;1002569480;Фотобарабан для Brother HL-L2365;1590;603;2.64;0;278;63
принтер лазерный бротхер 2540;1002569486;Фотобарабан для Brother MFC-L2700;1590;603;2.64;0;278;66
принтер лазерный бротхер 2540;1002569297;Фотобарабан для Brother DCP-L2520;1590;603;2.64;0;278;68
принтер лазерный бротхер 2540;1002569352;Фотобарабан для Brother DCP-L2540;1590;603;2.64;0;278;71
принтер лазерный бротхер 2540;200166168;Картридж для Brother MFC-L2700DWR;1583;603;2.63;6;278;39
cf230x;181115554;Картридж CF230X для Canon i-SENSYS LBP162dw черный;1909;730;2.62;11;27;34
картридж для принтера lexmark;895899953;Картридж для Lexmark LaserPrinter MX410de;3805;1474;2.58;0;3;2
картридж canon 325;199574192;Картридж для Canon i-SENSYS MF542x;3010;1171;2.57;0;8;18
картридж canon 325;199334855;Картридж 056 для Canon MF542x, MF543x, LBP-325 черный;3010;1171;2.57;0;8;20
картридж canon 325;199574183;Картридж для Canon LBP-325;3010;1171;2.57;0;8;21
картридж canon 325;967313157;Картридж для Canon i-SENSYS MF543x;3010;1171;2.57;0;8;25
картридж для принтера canon 325;199574192;Картридж для Canon i-SENSYS MF542x;3010;1171;2.57;0;8;17
картридж для принтера canon 325;199334855;Картридж 056 для Canon MF542x, MF543x, LBP-325 черный;3010;1171;2.57;0;8;20
картридж для принтера canon 325;199574183;Картридж для Canon LBP-325;3010;1171;2.57;0;8;21
картридж для принтера canon 325;967313157;Картридж для Canon i-SENSYS MF543x;3010;1171;2.57;0;8;23
картридж для принтера brother;200166019;Картридж для Brother DCP-L2520DWR;1907;745;2.56;5;4;46
069 картридж;261996681;Картридж 069BK для Canon LBP673Cdw, MF752Cdw черный;4889;1920;2.55;0;0;79
картридж dymo;209763046;Картридж для Dymo LM PnP;1711;686;2.5;0;2;64
картридж dymo;209763005;Картридж для Dymo LM 280;1711;686;2.5;0;2;85
картридж для принтера hp laserjet m132a;199565557;Картридж для HP LaserJet Pro M104a;1553;622;2.5;13;148;37
картридж для принтера hp laserjet m132a;199565670;Картридж для HP LaserJet Pro M132nw;1553;622;2.5;8;148;74
картридж для принтера pro mfp m227sdn;547722702;Фотобарабан + картридж CF232A+CF230XL для HP черный;2271;910;2.5;11;10;31
cf530a;199330749;Картридж CF530A для HP LJ Pro M180n, LJ Pro M180n черный;2715;1092;2.49;21;4;44
принтер лазерный бротхер 2540;200166045;Картридж для Brother MFC-L2720DWR;1499;603;2.49;8;278;35
069 картридж;257945544;Картридж 069H для Canon LBP673Cdw, MF752Cdw черный;4752;1920;2.48;1;0;37
картридж hp 21 черный;181105073;Картриджи 21XL-22XL для HP DeskJet F4180, DeskJet F4185;3698;1488;2.48;15;30;71
картридж для принтера hp 653;262038558;Картридж 653 для HP DJ 6000, DJ 6475 цветной;5374;2168;2.48;27;45;50
картридж для принтера lexmark;215240223;Картридж 50F5X00 для Lexmark MS410d, MS410dn черный;3656;1474;2.48;3;3;33
картридж для принтера canon 460 461;216454486;Картриджи PG-460XL-CL-461XL для Canon Pixma TS7440;9957;4036;2.47;44;12;29
картридж для принтера lexmark;199572575;Картридж для Lexmark MS510dn;3639;1474;2.47;3;3;51
ricoh sp 150;216401205;Картридж для Ricoh Aficio SP150SUw;4126;1670;2.47;5;5;77
картридж hp 57;181104988;Картриджи 56-57 для HP PhotoSmart 7735, PhotoSmart 7755;4514;1828;2.47;20;2;14
картридж для принтера hp laserjet m132a;199565696;Картридж для HP LaserJet Pro M132fw;1530;622;2.46;0;148;89
картридж для принтера brother;200166011;Картридж для Brother HL-L2340DWR;1816;745;2.44;10;4;87
картридж hp 135;964953109;Картридж для HP Laser 135W MFP;2522;1032;2.44;2;6;10
картридж hp 651;209733979;Картридж №651XL для HP OfficeJet 202, OfficeJet 202c черный;6464;2675;2.42;2;14;38
картридж hp 651;264243902;Картридж №651 для HP OfficeJet 202c, OfficeJet 252c черный;6463;2675;2.42;0;14;54
картридж hp laserjet cp5225;192567558;Картриджи CE740A-CE743A для HP LJ CP5220, LJ CP5220;17701;7328;2.42;0;0;22
принтер лазерный бротхер 2540;200166015;Картридж для Brother HL-L2360DNR;1457;603;2.42;1;278;53
блок проявки kyocera;322412759;Блок проявки DV-1140 для Kyocera FS-1035, FS-1135MFP черный;15767;6536;2.41;14;2;62
принтер лазерный бротхер 2540;215239468;Картридж для Brother MFC-L2700DNR;1452;603;2.41;6;278;36
картридж для принтера brother;216352768;Фотобарабан DR-1095 DU для Brother DCP-1602, HL-1202 черный;1783;745;2.39;7;4;56
картридж dymo;967493401;Картридж для Dymo LM 500TS;1638;686;2.39;0;2;84
картридж dymo;967493286;Картридж для Dymo LM 210D;1638;686;2.39;0;2;99
картридж ricoh sp150;216401205;Картридж для Ricoh Aficio SP150SUw;4126;1726;2.39;5;2;43
картридж 3020 xerox;200166683;Картридж для Xerox WorkCentre 3025;2397;1007;2.38;5;10;19
картридж samsung m2070w;200167236;Картридж для Samsung Xpress M2020;1762;744;2.37;48;718;22
картридж hp 135;967516933;Картридж для HP Laser 135A MFP;2428;1032;2.35;0;6;3
картридж hp 135;964953034;Картридж для HP Laser 135R MFP;2428;1032;2.35;0;6;26
картридж hp 135;964953201;Картридж для HP Laser 135WR MFP;2428;1032;2.35;2;6;42
картридж для принтера hp laserjet 1150;199573334;Картридж для HP LaserJet M433;2283;974;2.35;0;8;90
картридж hp 21 черный;200164319;Картридж для HP DeskJet F2180;3453;1488;2.32;1;30;59
картриджи 460 461;964953374;Комплект картриджей для Canon Pixma TS5340;10822;4660;2.32;0;16;62
картридж для принтера hp laserjet m132a;199565591;Картридж для HP LaserJet Pro M104w;1440;622;2.32;5;148;84
brother принтер картридж 3540;267893014;Картриджи LC-472XLBK - LC-472XLY для Brother MFC-J3540DW;6926;2985;2.32;18;3;3
exv49;550188073;Фотобарабан + картридж C-EXV49 DU+C-EXV49Bk для Canon черный;9812;4254;2.31;2;2;11
картридж samsung m2070w;200167191;Картридж для Samsung Xpress SL-M2070W;1708;744;2.3;2;718;58
картридж для принтера lexmark;199573234;Картридж для Lexmark MX417de;3389;1474;2.3;1;3;5
картридж для принтера lexmark;199573333;Картридж для Lexmark MX617de;3389;1474;2.3;0;3;80
картридж для принтера lexmark;199573232;Картридж для Lexmark MS517dn;3389;1474;2.3;3;3;87
картридж samsung m2070w;216422173;Картридж MLT-D111L для Samsung Xpress M2020, M2020W черный;1694;744;2.28;5;718;60
картридж для принтера phaser 3020;200166683;Картридж для Xerox WorkCentre 3025;2397;1051;2.28;5;30;73
картридж для принтера hp laserjet m132a;199565568;Картридж для HP LaserJet Pro M132a;1417;622;2.28;14;148;65
картридж для принтера brother;200166028;Картридж для Brother DCP-L2560DWR;1689;745;2.27;2;4;33
картридж для принтера brother;216341366;Картридж для Brother DCP-7040R;1691;745;2.27;1;4;39
картридж для принтера hp laserjet m132a;1003061585;Картридж для HP LaserJet Pro M133;1413;622;2.27;0;148;85
dymo;267893136;Лента S0720670 для Dymo LM 160, LM 210D, LM 280, LM 420P;1462;648;2.26;1;6;52
картридж samsung m2070w;200167189;Картридж для Samsung Xpress SL-M2070;1681;744;2.26;7;718;51
картридж для принтера lexmark;199331174;Картридж E250A21E для Lexmark LP E250d, LP E250dn черный;3327;1474;2.26;1;3;48
картридж для принтера lexmark;199333686;Картридж 60F5X00 для Lexmark MX510de, MX511, MX611de черный;3315;1474;2.25;4;3;3
картридж для принтера brother;200166009;Картридж для Brother HL-L2300DR;1668;745;2.24;9;4;32
картридж tn 2080;199330940;Картридж TN-2080 для Brother DCP-7055R, DCP-7055WR черный;2105;942;2.24;12;53;30
xerox 6015;181097496;Картридж 106r01632 для Xerox WC 6015, WC 6015 пурпурный;1126;504;2.24;49;209;23
картридж для принтера lexmark;209713986;Картридж для Lexmark E260dn;3306;1474;2.24;2;3;64
картридж 3020 xerox;181115998;Картридж 106R02773 для Xerox Phaser 3020, WC 3025 черный;2243;1007;2.23;1;10;90
069 картридж;257945545;Картридж 069H для Canon LBP673Cdw, MF752Cdw голубой;4264;1920;2.22;1;0;34
картридж samsung m2070w;200167238;Картридж для Samsung Xpress M2020W;1654;744;2.22;5;718;84
картридж 047;199330892;Картридж 047 для Canon LBP110, LBP113, MF110, MF112 черный;2087;942;2.22;3;5;10
картридж hp 21 черный;216425348;Картридж для HP OfficeJet J3625;3297;1488;2.21;1;30;87
картридж hp 21 черный;200164373;Картридж для HP DeskJet D1530;3297;1488;2.21;0;30;94
картридж hp 21 черный;216425338;Картридж для HP DeskJet 3938;3297;1488;2.21;0;30;96
картридж hp 21 черный;200164794;Картридж для HP DeskJet F2128;3297;1488;2.21;0;30;97
canon maxify mb2140 картриджи;181115766;Картридж PGI-1400XLBK для Canon MB2040, MB2040 черный;987;447;2.21;6;20;27
canon maxify mb2140 картриджи;200163067;Картридж для Canon MAXIFY MB2140;987;447;2.21;2;20;31
canon maxify mb2140 картриджи;200163069;Картридж для Canon MAXIFY MB2740;987;447;2.21;0;20;32
картридж для принтера lexmark;199333413;Картридж 50F5H00 для Lexmark MS310d, MS310dn черный;3251;1474;2.21;7;3;23
hp laserjet m110w;267856788;Картридж W1420X для HP LJ M110, LJ M110w, LJ M140 черный;3278;1490;2.2;0;0;16
xerox 6015;181097488;Картридж 106r01631 для Xerox Phaser 6000, WC 6015 голубой;1110;504;2.2;49;209;72
картридж samsung m2070w;200167221;Картридж для Samsung Xpress SL-M2070FW;1627;744;2.19;0;718;99
картридж для принтера brother;199570318;Картридж для Brother DCP-7065DNR;1616;745;2.17;7;4;55
картридж на принтер ricoh sp150su;216401205;Картридж для Ricoh Aficio SP150SUw;4126;1905;2.17;5;2;20
tk-5380;294204999;Картридж TK-5380K для Kyocera MA4000cifx, MA4000cix черный;4049;1878;2.16;2;0;60
картридж для принтера hp laserjet 1150;1063508735;Картридж W1370A для HP LaserJet M207, LaserJet M208 черный;2098;974;2.16;0;8;21
картридж hp 57;180939063;Картридж 57 для HP DeskJet 9680gp цветной;3953;1828;2.16;20;2;15
ricoh sp 150;181123616;Картридж SP150HE для Ricoh SP150, SP150SU, SP150SUw черный;3590;1670;2.15;0;5;33
картриджи 460 461;216454486;Картриджи PG-460XL-CL-461XL для Canon Pixma TS7440;9957;4660;2.14;44;16;26
краска для принтера epson l14150;216448512;Чернила для Epson L-14150;682;318;2.14;1;38;33
mf752cdw;261996681;Картридж 069BK для Canon LBP673Cdw, MF752Cdw черный;4889;2300;2.13;0;0;52
