article;class;code;external_code;ec_kind;name;buy_price;qty_all;docs;qty_12m;barcodes;in_ms_product;created
CLT-C406S/SEE;B;;P3X5APp0gxkaZwaENeeMx0;auto;К-ж Samsung-hp CLT-C406S/SEE  CLP-360/365/368/CLX-3300/05 1.0K Cyan S-print by H;40.4976;0.0;0;0.0;1;True;2020-12-03
CLT-C506L/SEE;B;;llPwLXEEhGxIeUYVGIu0X3;auto;К-ж SAMSUNG-hp CLT-C506L/SEE синий для CLP-680/CLX-6260 3.5K Cyan S-print by HP ;64.5213;0.0;0;0.0;1;True;2020-12-03
CLT-C506L/SEE;B;;mcrDYGTNjqlv7-ZWbBGQn0;auto;К-ж Samsung CLP-680-серия увеличенный голубой CLT-C506L;64.5213;0.0;0;0.0;1;True;2020-12-03
CLT-K404S/XEV;B;1328-or;0-rkvQsbgkKSiLtGXBpKk0;auto;К-ж SAMSUNG-hp CLT-404-серия черный для SL-C430/C430W/C480/C480W/C480FW, S-print;47.4347;0.0;0;0.0;1;True;2020-12-03
CLT-K404S/XEV;B;;5KVH0WHwgFoxqgRf3TLv11;auto;К-ж Samsung CLT-404-серия черный для SL-C430/C430W/C480/C480W/C480FW оригинал CL;47.4347;0.0;0;0.0;1;True;2020-12-03
CLT-K406S/SEE;B;;3qmsxE4Ri50U0OtQq56Xr2;auto;К-ж Samsung CLT-406-серия черный для CLP-360/365/368/CLX-3300/3305  оригинал CLT;40.804;0.0;0;0.0;1;True;2020-12-03
CLT-K406S/SEE;B;;RWd1oPkKinZ7LiNcC4pUa2;auto;К-ж Samsung-hp CLT-K406S/SEE  CLP-360/365/368/CLX-3300 1.5K Black S-print by HP ;43.362;0.0;0;0.0;1;True;2020-12-03
CLT-K407S/SEE;B;;4ryToeNhg7N-59-DsqAVW1;auto;К-ж Samsung CLT-407-серия черный для CLP-320/325/CLX-3185 оригинал CLT-K407S;38.1517;0.0;0;0.0;1;True;2020-12-03
CLT-K407S/SEE;B;;Noo0qVzNintPeBFGRSXRR2;auto;Картридж Samsung-HP  CLT-K407S/SEE (SU132A) CLP-320/325/CLX-3185 1.5K Black S-pr;54.9198;0.0;0;0.0;1;True;2020-12-03
CLT-K506L/SEE;B;;5mZJ1n8lgE-MNrPv0AGZX3;auto;К-ж Samsung CLP-680-серия увеличенный черный CLT-K506L;70.5909;0.0;0;0.0;1;True;2020-12-03
CLT-K506L/SEE;B;;iX2RD6CZgJELG00L8zv2n2;auto;К-ж SAMSUNG-hp CLT-K506L/SEE черный для CLP-680/CLX-6260 6.0K Black S-print by H;70.5909;0.0;0;0.0;1;True;2020-12-03
CLT-M404S/XEV;B;;4OiGBr4ZiqdDK8lzN0E4k3;auto;К-ж Samsung CLT-404-серия пурпурный для SL-C430/C430W/C480/C480W/C480FW оригинал;37.1;0.0;0;0.0;1;True;2020-12-03
CLT-M404S/XEV;B;1329-or;hJXArpVZjBcwlNxCj2BSD0;auto;К-ж SAMSUNG-hp CLT-404-серия пурпурный для SL-C430/C430W/C480/C480W/C480FW, S-pr;37.1;0.0;0;0.0;1;True;2020-12-03
CLT-M406S/SEE;B;;051CPLTkhQboo7C3U3xjc1;auto;К-ж Samsung CLT-406-серия пурпурный для CLP-360/365/368/CLX-3300/3305  оригинал ;30.093;0.0;0;0.0;1;True;2020-12-03
CLT-M406S/SEE;B;0794sf;0794;num;К-ж Samsung-hp CLT-M406S/SEE  CLP-360/365/368/CLX-3300/05 1.0K Magenta S-print b;30.093;0.0;0;0.0;1;True;2020-12-03
CLT-M506L/SEE;B;;kQSX0z0yhzZOkHDls8gma1;auto;К-ж Samsung CLP-680-серия увеличенный пурпурный CLT-M506L;64.5213;0.0;0;0.0;1;True;2020-12-03
CLT-M506L/SEE;B;;l36fWLk9io-QKPE0i-kEQ3;auto;К-ж SAMSUNG-hp CLT-M506L/SEE пурпурный для CLP-680/CLX-6260 3.5K Magenta S-print;64.5213;0.0;0;0.0;1;True;2020-12-03
CLT-R406;B;;NtkUJTagh1Hw8SYnWNLnK0;auto;Барабан SAMSUNG CLT-R406 к Samsung CLP-360/365/368/CLX-3300/3305 оригинал;98.5958;0.0;0;0.0;1;True;2020-12-03
CLT-R406;B;;ZnNy56XFiA7ATxfdzVjLG0;auto;SU403A Барабан hp-SAMSUNG CLT-R406 к Samsung CLP-360/365/368/CLX-3300/3305 ориги;99.2353;0.0;0;0.0;1;True;2020-12-03
CLT-R607K;B;;Uhd--N8Ch830EnSitLiFy2;auto;Барабан Samsung-hp CLT-R607K CLX-9250/52/9350/52 BLACK 75K (SS660A);94.4827;0.0;0;0.0;1;True;2021-05-11
CLT-R607K;B;;Xte8UKElh876VZp7Oln7q3;auto;Барабан Samsung CLT-R607K CLX-9250/52/9350/52 BLACK 75K;103.8462;0.0;0;0.0;1;True;2020-12-03
CLT-W809/SEE;B;;0lkhrALHgEK-I9Oq7duRz0;auto;Бункер CLT-W809/SEE SAMSUNG-hp для CLX-9201/9251/9301 50K (SS704A);0.0;0.0;0;0.0;1;True;2020-12-03
CLT-W809/SEE;B;;llMlwEWahUzAKj5TIffw02;auto;Контейнер для отработанного тонера CLT-W809/SEE Samsung CLX-9201/9251/9301 50K;0.0;0.0;0;0.0;1;True;2020-12-03
CLT-Y404S/XEV;B;;fXyQ6z4miCIIaVte86gVm3;auto;К-ж Samsung CLT-404-серия желтый для SL-C430/C430W/C480/C480W/C480FW оригинал CL;37.1;0.0;0;0.0;1;True;2020-12-03
CLT-Y404S/XEV;B;;JLA8AKWWiMrWhE4A3Ldwm2;auto;К-ж SAMSUNG-hp CLT-404-серия желтый для SL-C430/C430W/C480/C480W/C480FW, S-print;37.1;0.0;0;0.0;1;True;2020-12-03
CLT-Y406S/SEE;B;;77EY8v4Vigm7duLYWfTgz3;auto;К-ж Samsung-hp CLT-Y406S/SEE  CLP-360/365/368/CLX-3300/05 1.0K Yellow S-print by;40.4976;0.0;0;0.0;1;True;2020-12-03
CLT-Y406S/SEE;B;;867Ui1AvgXKZ0uoyNkpBi0;auto;К-ж Samsung CLT-406-серия желтый для CLP-360/365/368/CLX-3300/3305  оригинал CLT;31.6231;0.0;0;0.0;1;True;2020-12-03
CLT-Y506L/SEE;B;;0aghf4K4hekNLM-seWgCc1;auto;К-ж Samsung CLP-680-серия увеличенный желтый CLT-Y506L/SEE;64.5213;0.0;0;0.0;1;True;2020-12-03
CLT-Y506L/SEE;B;;vJb9CNAMiIHmX3IMK689w1;auto;К-ж SAMSUNG-hp CLT-Y506L/SEE желтый для CLP-680/CLX-6260 3.5K Yellow S-print by ;64.5213;0.0;0;0.0;1;True;2020-12-03
CN053AE;A;CN053AE;CN053AE;auto;Картридж HP 932XL Bk OR;50.0425;0.0;0;0.0;1;True;2020-05-26
CN053AE;A;CN053AE;CN053AE;auto;К-ж HP CN053AE HP 932XL Officejet (1000 страниц) черный;50.3671;0.0;0;0.0;1;True;2020-12-03
CN053AE;A;CN053AE;CN053AE;auto;Картридж HP №932XL (CN053AE) черный;0.0;0.0;0;0.0;1;True;2021-09-20
CN054AE;A;CN054AE;CN054AE;auto;Картридж HP №933XL (CN054AE) голубой;25.9;0.0;0;0.0;1;True;2021-04-23
CN054AE;A;CN054AE;CN054AE;auto;К-ж HP CN054AE HP 933XL Officejet (825 страниц) голубой;26.068;0.0;0;0.0;1;True;2020-12-03
CN054AE;A;CN054AE;CN054AE;auto;Картридж HP 933XL Cyan OR;13.8539;0.0;0;0.0;1;True;2020-05-26
CN055AE;A;CN055AE;CN055AE;auto;К-ж HP CN055AE HP 933XL Officejet (825 страниц) пурпурный;26.068;0.0;0;0.0;1;True;2020-12-03
CN055AE;A;CN055AE;CN055AE;auto;Картридж HP 933XL Magenta OR;25.9;0.0;0;0.0;1;True;2020-05-26
CN055AE;A;CN055AE;CN055AE;auto;Картридж HP №933XL (CN055AE) пурпурный;0.0;0.0;0;0.0;1;True;2021-04-23
CN056AE;A;CN056AE;CN056AE;auto;Картридж HP №933XL (CN056AE) желтый;25.9;0.0;0;0.0;1;True;2021-04-23
CN056AE;A;CN056AE;CN056AE;auto;К-ж HP CN056AE HP 933XL Officejet (825 страниц) желтый;26.068;0.0;0;0.0;1;True;2020-12-03
CN056AE;A;CN056AE;CN056AE;auto;Картридж HP 933XL Yellow OR;13.8539;0.0;0;0.0;1;True;2020-05-26
CS-T31;C;5290cs;5290;num;Картридж лазерный Cactus deli T31 CS-T31 черный (3500стр.) для Deli P3100/M3100;22.7744;0.0;0;0.0;1;True;2024-06-02
CS-T31;C;7086cs;7086;num;Картридж лазерный Cactus deli T31 CS-T31 черный (3500стр.) для Deli P3100/M3100;22.7744;0.0;0;0.0;1;True;2026-07-17
CS-THPCHUBK-100;C;7119cs;7119;num;Тонер Cactus CS-THPCHUBK-100 черный флакон 100гр. для принтера HP Color Universa;2.76;0.0;0;0.0;1;True;2026-07-20
CS-THPCHUBK-100;C;7120cs;7120;num;Тонер Cactus CS-THPCHUBK-100 черный флакон 100гр. для принтера HP Color Universa;2.69;0.0;0;0.0;2;True;2026-07-20
CS-THPCHUС-100;C;7119cs;7119;num;Тонер Cactus CS-THPCHUС-100 голубой флакон 100гр. для принтера HP Color Universa;3.68;0.0;0;0.0;2;True;2026-07-20
CS-THPCHUС-100;C;7120cs;7120;num;Тонер Cactus CS-THPCHUС-100 голубой флакон 100гр. для принтера HP Color Universa;3.68;0.0;0;0.0;1;True;2026-07-20
CS-TN-321M;A;2032cs;2032;num;Картридж лазерный Cactus CS-TN-321M СS-TN-321M пурпурный (25000стр.) для Konica ;34.78;0.0;0;0.0;1;True;2021-02-09
CS-TN-321M;A;2032cs;2032;num;Картридж лазерный Cactus CS-TN-321M СS-TN-321M пурпурный (25000стр.) для Konica ;43.19;0.0;0;0.0;1;True;2025-08-29
CS-TN-321Y;A;2033cs;2033;num;Картридж лазерный Cactus CS-TN-321Y СS-TN-321Y желтый (25000стр.) для Konica Min;34.78;0.0;0;0.0;1;True;2021-02-09
CS-TN-321Y;A;2033cs;2033;num;Картридж лазерный Cactus CS-TN-321Y СS-TN-321Y желтый (25000стр.) для Konica Min;43.19;0.0;0;0.0;1;True;2025-08-29
CS-TN217;A;1438cs;1438;num;Картридж лазерный Cactus CS-TN217 TN-217 черный (17500стр.) для Konica Minolta b;8.7;0.0;0;0.0;1;True;2025-05-28
