offer_id,name,queries,demand,best_pos,mg,in_camp,in_ramp
1283,"Картриджи CF410A-CF413A для принтеров HP LJ Color Pro M377dw, M452dn, M452nw, M477fdn, M477fdw",4,224,12,33.71,True,True
63611,Фотобарабан для Sharp MX-4070N,3,222,11,33.71,True,False
0823X2,"Комплект картриджей PGI-450PGBK (2 шт.) на 1000 страниц для принтеров Canon Pixma iP7240, Pixma iP8740",4,212,16,34.01,False,False
3755X10,"Комплект чернил GI-490PGBK (10 шт.) на 60000 страниц для принтеров Canon Pixma G1400, PixmaG1410",5,212,12,53.5,False,False
4838,"Картриджи 712 для принтеров HP DesignJet Studio, DJ Studio Steel, DJ T210, DJ T230",2,211,11,39.48,True,True
2971X2,"Комплект фотобарабанов 049DU (2 шт.) на 24000 страниц для принтеров Canon i-SENSYS LBP-112w, LBP 113w, MF112, MF113w",4,211,17,45.03,False,False
6840,"Картриджи 064H для принтеров Canon i-SENSYS LBP-722Cdw, MF832Cdw",5,210,15,33.49,True,False
5418X2,"Комплект картриджей 067H Bk (2 шт.) на 6260 страниц для принтеров Canon i-SENSYS LBP-631CW, LBP633Cdw, MF651Cw, MF655Cdw",3,208,19,46.97,False,False
6064,"Картридж 44173406 для принтеров OKI Microline 5721 Eco, ML5791ECO черный",5,207,14,34.97,True,False
5374X2,"Комплект картриджей 069H (2 шт.) на 15200 страниц для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",2,207,23,46.58,False,False
4413X6,"Комплект чернил GI-43BK (6 шт.) на 360мл. для принтеров Canon Pixma G540, Pixma G640",1,206,29,49.08,False,False
4963X2,Комплект картриджей CLI-42BK (2 шт.) на 1800 страниц для принтеров Canon Pixma PRO-100,1,206,11,42.06,False,False
1253X10,"Комплект картриджей PGI-425PGBK (10 шт.) на 3440 страницы для принтеров Canon Pixma iP4840, PixmaiP4940",1,206,27,52.15,False,False
4532X2,Комплект картриджей C-EXV60 (2 шт.) на 20400 страниц для принтеров Canon imageRUNNER 2425,1,206,25,45.98,False,False
1253X6,"Комплект картриджей PGI-425PGBK (6 шт.) на 2064 страницы для принтеров Canon Pixma iP4840, PixmaiP4940",1,206,14,48.22,False,False
2294X2,"Комплект картриджей 045H BK (2 шт.) на 5600 страниц для принтеров Canon i-SENSYS LBP-611, LBP613, MF631cn, MF633Cdw",1,206,13,46.74,False,False
5413X6,"Комплект чернил GI-41Bk (6 шт.) на 810мл. для принтеров Canon Pixma G1420, Pixma G2420",1,206,20,50.47,False,False
3755X2,"Комплект чернил GI-490PGBK (2 шт.) на 12000 страниц для принтеров Canon Pixma G1400, PixmaG1410",1,206,15,34.38,False,False
5237X2,"Комплект картриджей 069 (2 шт.) на 4200 страниц для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",1,206,24,46.2,False,False
1503X2,"Комплект картриджей PGI-525BK (2 шт.) на 670 страниц для принтеров Canon Pixma iP4850, PixmaiP4950",1,206,16,20.15,False,False
5413X10,"Комплект чернил GI-41Bk (10 шт.) на 1350мл. для принтеров Canon Pixma G1420, Pixma G2420",1,206,30,53.58,False,False
0184X6,"Комплект картриджей CLI-426BK (6 шт.) на 3000 страниц для принтеров Canon Pixma iP4840, PixmaiP4940",1,206,12,46.61,False,False
0184X2,"Комплект картриджей CLI-426BK (2 шт.) на 1000 страниц для принтеров Canon Pixma iP4840, PixmaiP4940",1,206,18,23.78,False,False
60641,Картридж для OKI Microline 5721 Eco,3,205,15,34.97,True,False
52151,Картридж для OKI MicroLine ML6100FB,2,204,15,32.52,True,False
52154,Картридж для OKI MicroLine ML7100,1,201,15,32.51,True,False
52152,Картридж для OKI MicroLine ML760,1,201,16,32.51,True,False
52155,Картридж для OKI MicroLine ML7150,1,201,16,32.55,True,False
0577,"Картридж TN-135M для принтеров Brother и DCP-9040CN, DCP 9045CN, HL-4040 cn, HL4050CDN, HL-4070, MFC-9440CN, MFC9450 пурпурный",7,199,14,36.14,True,False
6266,"Картридж W2220A-W2223A для принтеров HP Color LaserJet Pro 3203, LJ Pro 3288",4,169,11,28.9,True,True
6202,"Картридж TK-1060 для принтеров Avision AM5630i, AM5640i, AM7630i, AM7640i черный",4,162,11,35.07,True,False
44338,Чернила для Epson EcoTank M2170,6,161,13,32.39,True,False
6078,"Чернила №110 для принтеров Epson EcoTank M1100, EcoTankM1120 черный",3,156,13,29.45,True,False
07821,Картридж для Kyocera FS-1060DN,2,150,15,26.24,True,False
21071,Картридж для Ricoh Aficio 1060,2,150,11,34.12,True,False
392911,Лента для принтера для Brother QL-1060,2,150,13,33.34,True,False
2397,"Фотобарабан CF364Y DU для принтеров HP Color LaserJet Enterprise Flow M880z+, M880z+ NFC/Wireless Direct, LJ M855dn, LJM855x+, LJ-M855xh желтый",7,143,14,29.83,True,True
6297,"Картриджи BPGT20BA-BPGT20YA для принтеров Sharp BP-10C20EU, BP 20C20EU, BP20C25EU",4,139,14,31.66,True,True
4886X6,"Комплект картриджей 305XL (6 шт.) на 4200 страниц для принтеров HP DeskJet 2120, DeskJet 2320, ENVY 6010, ENVY 6020",8,138,13,54.58,False,False
26272,Фотобарабан для HP Color LaserJet Enterprise Flow M880z+ NFC/Wireless Direct,4,137,21,33.44,True,False
4886X10,"Комплект картриджей 305XL (10 шт.) на 7000 страниц для принтеров HP DeskJet 2120, DeskJet 2320, ENVY 6010, ENVY 6020",8,131,12,56.19,False,False
3908X6,"Комплект картриджей W2070A (6 шт.) на 6000 страниц для принтеров HP Color Laser 150a, HP Color Laser 150nw",3,127,15,54.5,False,False
0197X2,"Комплект картриджей 131 (2 шт.) на 960 страниц для принтеров HP DeskJet 460, DeskJet460c, OfficeJet 100, OfficeJet 150, PhotoSmart 2573, PhotoSmart2575, PSC-1510, PSC-1513",5,127,16,43.97,False,False
5833,Картридж W2000X-W2003X для принтеров HP Color LJ M751,4,126,14,31.09,True,False
4214,"Картриджи W2210X-W2213X (HP 207X) с чипом для принтеров HP Pro M255DW, M283FDW, M282NW",6,126,13,34.51,True,True
0764X10,"Комплект картриджей CE410X (10 шт.) на 40000 страниц для принтеров HP Color LaserJet Pro 300 M351a, M375nw, HP M451dn, HP-M451dw, HPM451nw, HP MFP M475dn",6,126,13,56.3,False,False
0808X6,"Комплект картриджей CE410A (6 шт.) на 14400 страниц для принтеров HP Color LaserJet Pro 300 M351a, M375nw, HP M451dn, HP-M451dw, HPM451nw, HP MFP M475dn",6,126,11,54.71,False,False
0958X2,"Комплект картриджей 711BK (2 шт.) на 160мл. для принтеров HP DesignJet T120, DJ-T125, DJ T130, DJ T520",4,125,21,41.93,False,False
0963X2,"Комплект картриджей 72 PBK (2 шт.) на 260мл. для принтеров HP DesignJet T120, DJ T1708, DJ T520",2,125,19,46.38,False,False
3766X2,"Комплект картриджей W2070X (2 шт.) на 3000 страниц для принтеров HP Color Laser 150a, HP Color Laser 150nw",3,124,21,46.38,False,False
2183,"Картридж 953XLBK для принтеров HP OfficeJet Pro 7720, OfficeJet Pro 7730 черный",2,123,23,32.4,True,True
0808X2,"Комплект картриджей CE410A (2 шт.) на 4800 страниц для принтеров HP Color LaserJet Pro 300 M351a, M375nw, HP M451dn, HP-M451dw, HPM451nw, HP MFP M475dn",3,123,15,46.81,False,False
7129X2,"Комплект тонера W2070A (2 шт.) на 200мл. для принтеров HP Color Laser 150a, HP Color Laser 150nw",1,121,20,46.55,False,False
0198X2,"Комплект картриджей 140XL (2 шт.) на 2000 страниц для принтеров HP DeskJet D4260, DeskJetD4263, OfficeJet J5730",1,121,12,46.98,False,False
5660X2,"Комплект чернил универсальные пигментные HP BK 100 мл. (2 шт.) на 200мл. для принтеров HP DeskJet GT5820, Ink Tank 115, Ink Tank 315, SmartTank 500",1,121,13,40.26,False,False
0894X2,"Комплект картриджей 655BK (2 шт.) на 1100 страниц для принтеров HP DeskJet Ink Advantage 4625, DJ 3525, DJ 4615, DJ 5525, DJ 6525",1,121,18,34.89,False,False
