nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_факт_%;ДРР_потолок_%;показы;клики;расход_₽;выручка_₽;закз_реклама;закз_органика;орг_корзина;орг_открытий;орг_позиция
208143076;35703547;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;28.7;;3.7;6;0;0.00;0.00;0;0;0;0;
200165436;35282447;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;36.1;;11.1;0;0;0.00;0.00;0;0;0;0;
437224954;35700300;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;27.1;;2.1;2;0;0.00;0.00;0;0;0;1;5
216355680;35699209;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;10.68;26.8;;1.8;5;0;0.00;0.00;0;0;0;0;
199331186;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;18.9;;0.0;11;0;0.00;0.00;0;0;0;0;
285287048;35699209;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;38.3;;13.3;4;0;0.00;0.00;0;0;0;0;
181095496;35706004;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;35.9;;10.9;34;0;0.00;0.00;0;0;0;0;
180944663;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;31.5;;6.5;45;0;0.00;0.00;0;0;0;0;
181115920;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;49.9;;24.9;18;0;0.00;0.00;0;0;0;1;2
181115928;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;40.4;;15.4;18;0;0.00;0.00;0;0;0;1;2
267444426;35277369;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;42.2;;17.2;22;0;0.00;0.00;0;0;0;0;
199331205;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;33.4;;8.4;28;0;0.00;0.00;0;0;0;0;
199331208;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;17.7;;0.0;6;0;0.00;0.00;0;0;0;0;
199331747;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;21.1;;0.0;12;0;0.00;0.00;0;0;0;0;
181096297;35704644;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;41.2;;16.2;39;0;0.00;0.00;0;0;0;1;2
209732205;35704644;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;32.2;;7.2;104;0;0.00;0.00;0;0;0;0;
209755597;35704644;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;33.7;;8.7;5;0;0.00;0.00;0;0;0;0;
216460611;35697812;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;7.30;35.7;;10.7;100;0;0.00;0.00;0;0;0;0;
199332746;35706004;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;7.30;29.2;;4.2;8;0;0.00;0.00;0;0;0;1;1
209758860;35704644;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;7.30;37.5;;12.5;11;0;0.00;0.00;0;0;0;0;
199332219;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;23.9;;0.0;2;0;0.00;0.00;0;0;0;0;
199332651;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;24.7;;0.0;36;0;0.00;0.00;0;0;0;1;1
199332658;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;35.0;;10.0;11;0;0.00;0.00;0;0;0;1;5
199332699;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;33.5;;8.5;6;0;0.00;0.00;0;0;0;0;
