уровень;поставщик;артикул;название карточки;штук;внешний код;наша карточка;балл;код в МС;Название WB
C;bulat;EFRC0C2030020;Блок фотобарабана в сборе с блоком проявки БУЛАТ s-Line MP C2030, MP C2051 (D0392040 + D8093002) для Ricoh Aficio MP C2030, MP C2051 (Голубой, 240000 стр.), универсальный, ref.;20.000;2061;Картридж лазерный Cactus CS-MP2551C 842064 голубой (9500стр.) для Ricoh type MPC2551E/C2051/С2551 с чипом;5;2061sl;Картридж MPC2551EC для Ricoh 841587 голубой
C;bulat;EFRCMP2004050;Блок фотобарабана БУЛАТ s-Line PCDU (D2442207, D2442227) в сборе с блоком проявки для Ricoh MP C2004 (Жёлтый), ref.;20.000;2429;Тонер-картридж Smart Graphics MP C2503HY для Ricoh Aficio MPC2003, Aficio MP C2004, Ricoh Aficio MP C2011 (Жёлтый, 9500 стр.), совместимый;4;2429sl;Картридж MPC2503Y для Ricoh 841926 желтый
C;bulat;EFRCMP3003030;Блок фотобарабана в сборе с блоком проявки D1862275 для Ricoh MP C3003 (Чёрный), ref.;20.000;2076;Картридж Colortek Ricoh Aficio MP C3003 Black (841817);4;;Картридж MP C3503Bk для Ricoh 841817 черный
C;bulat;EFRCMP3004020;Блок фотобарабана в сборе с блоком проявки БУЛАТ для Ricoh MP C3004 (D2392285) Голубой, ref.;20.000;2077;Тонер-картридж Hi-Black (HB-Type MPC3503C) для Ricoh Aficio MP C3003/C3004/C3503, C, 18K;4;2077bt;Картридж MP C3503C для Ricoh 841820 голубой
C;bulat;EFRCMP3004030;Блок фотобарабана в сборе с блоком проявки БУЛАТ для Ricoh MP C3004 (D2392286) Пурпурный, ref.;20.000;2078;Тонер-картридж Hi-Black (HB-Type MPC3503M) для Ricoh Aficio MP C3003/C3004/C3503, M, 18K;4;2078bt;Картридж MP C3503M для Ricoh 841819 пурпурный
C;bulat;EFRCMP3004040;Блок фотобарабана в сборе с блоком проявки БУЛАТ для Ricoh MP C3004 (D2392287) Жёлтый, ref.;20.000;2079;Тонер-картридж Hi-Black (HB-Type MPC3503Y) для Ricoh Aficio MP C3003/C3004/C3503, Y, 18K;4;2079bt;Картридж MP C3503Y для Ricoh 841818 желтый
C;bulat;GDEP0L1455020;Контейнер с чернилами БУЛАТ C13T77414A, T7741 для Epson L1455, L605, M100, Чёрный (6000 стр., 140 мл) pigment;200.000;3855;Картридж для Epson T7741 EcoTank M100/200/ L605/L1455 Pigment Black 140 ml  AQUAMARINE (Совместимый);5;3855bt;Чернила 774BK для Epson C13T77414A черный
C;bulat;GFCNMG2110010;Струйный картридж PG-140XL (5200B001) для Canon Pixma MG2110, MX371, TS5110 (Чёрный, 300 стр., 18 мл), ref.;50.000;0198;Картридж струйный Cactus CS-CB336 №140XL черный (29мл) для HP DJ D4263/D4363/DJ J5783/J6413/PSC C4273/C4283/C4343/C4383/C4473/C4483/C4583/C5283/D5363 с чипом;4;;Картридж 140XL для HP CB336HE черный XL ресурс
C;bulat;GFCNMG2110020;Струйный картридж CL-141XL Color (5202B001) для Canon Pixma MG2110, MX371, TS5110 (Цветной, 400 стр.,18 мл), ref.;50.000;0199;Картридж струйный Cactus CS-CB338 №141XL многоцветный (18мл) для HP DJ D4263/D4363/D5360/DJ J5783/J6413/PS C4273/C4283/C4343/C4383/C4473/C4483/C4583/C5283/D5363 с чипом;3;;Картридж 141XL для HP CB338HE цветной XL ресурс
C;bulat;GFHPDJ1600050;Струйный картридж БУЛАТ 730 (P2V70A) для HP DesignJet T1600, T1700, T2600 (Жёлтый, 300 мл);50.000;4472;Картридж струйный PL-P2V70A (№730) для принтеров HP DesignJet T1600/T1700/T2600 с чернилами Yellow 300 мл ProfiLine;5;4472bt;Картридж 730Y для HP P2V70A желтый с чипом
C;colortek;176606;Картридж Colortek Pantum TL-425H 3k;6.000;5939;Тонер-картридж GP-TL-425H для принтеров Pantum M7105DN/M7105DW/P3305DN/P3305DW 3000 копий GalaPrint;5;;Картридж TL-425H для Pantum черный
C;colortek;183431;Картридж Colortek Avision DR-1070U (015-0275-22);100.000;5575;Драм-картридж OEM DR-1070U для Avision AP30A, AM30A (15000 стр.);4;;Фотобарабан DR-1070U для Avision черный
C;easy_print;ML-D2850B;К-ж ML-D2850B Samsung  к ML-2850D/2851ND увеличенный оригинал;80.000;0278;ML-D2850B Картридж EasyPrint LS-2850 для Samsung ML-2850D/2851ND (5000 стр.) с чипом;4;;Картридж ML-2850 для Samsung черный XL ресурс
C;easy_print;ML-D3470B;К-ж ML-D3470B Samsung  к ML-3470D увеличенный, оригинал;43.000;0709;Картридж Sakura MLD3470B для Samsung ML-3470/ML-3470D/ML-3470ND/ML-3471/ML-3471ND, черный, 10000 к.;3;;Картридж ML-D3470B для Samsung черный
C;easy_print;TK-160;Тонер к-ж Kyocera TK-160 к FS-1120D/DN, P2035d, 2500 стр (о);40.000;0239;Тонер-картридж EasyPrint LK-160 для Kyocera FS-1120D/1120DN/ECOSYS P2035d/P2035dn (2500 стр.) с чипом;5;;Картридж TK-160 для Kyocera черный
C;easy_print;TK-3110;Тонер К-ж Kyocera TK-3110 FS-4100DN, 15500 стр (оригинал) арт. 1T02MT0NLV;8.000;0864;Тонер-картридж EasyPrint LK-3110 для Kyocera FS-4100DN (15500 стр.) с чипом;5;;Картридж TK-3110 для Kyocera черный
C;easy_print;TK-3130;Тонер К-ж Kyocera TK-3130 FS-4200DN/FS-4300DN, 25000 стр (о);14.000;0865;Картридж лазерный Cactus CS-TK3130 TK-3130 черный (25000стр.) для Kyocera FS-4200DN/FS-4300DN/M3550idn/M3560idn с чипом;5;;Картридж TK-3130 для Kyocera черный
C;kaktus_msk;CS-C9352;Картридж струйный Cactus CS-C9352 №22 многоцветный (11.4мл) для HP DJ 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360/D2430/D2460/F370/F375/F380/F2180/F2187/F2224/F2280/F2290/F4140/F4172/F4180/F4190 с чипом;59.000;0201;Картридж струйный Cactus CS-C9352C №22XL многоцветный (18мл) для HP DJ 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360 с чипом;4;0201cs;Картридж 22XL для HP C9352CE цветной XL ресурс
C;profiline;GP_W1106X;*Не продаем* Картридж GP-W1106X (№106X) 2k GP;1757.000;5545;Картридж лазерный G&G GG-W1106X черный (2500стр.) для HP Laser 107a/107r/107w/135a MFP/135r MFP/135w MFP/137fnw MFP;4;;Картридж W1106X для HP 106X черный с чипом XL ресурс
C;rapid;SF-DL5120;Картридж Pantum DL-5120 DRUM BP5100/BM5100 30K SuperFine;15.000;6940;DC-PM5120 Фотобарабан T2 для Pantum BP5100DN/BP5100DW (30000 стр.) с чипом;5;6940sf;Фотобарабан DC-PM5120 для Pantum DL-5120 черный с чипом
C;s_print_spb;SP350640;Цветной тонер-картридж SolutionPrint SP-H-415A (W2031A) C 2,1k;17.000;3910;Цветной тонер-картридж SolutionPrint SP-H-415A (W2031A) C 2,1k;5;;Картридж W2031A для HP 415A голубой с чипом
C;s_print_spb;SP350641;Цветной тонер-картридж SolutionPrint SP-H-415A (W2032A) Y 2,1k;18.000;3911;Цветной тонер-картридж SolutionPrint SP-H-415A (W2032A) Y 2,1k;5;;Картридж W2032A для HP 415A желтый с чипом
C;s_print_spb;SP350642;Цветной тонер-картридж SolutionPrint SP-H-415A (W2033A) M 2,1k;17.000;3912;Цветной тонер-картридж SolutionPrint SP-H-415A (W2033A) M 2,1k;5;;Картридж W2033A для HP 415A пурпурный с чипом
C;sakura;SIC13T11174A10;Струйный картридж Sakura C13T11174A10 (T0817) для Epson, мультипак, 13,8 мл., 400 к.;52.000;0168;IC-ET0817 Комплект картриджей T2 для Epson T0817: черный, голубой, пурпурный, желтый, светло-голубой, светло-пурпурный;3;0168sk;Набор картриджей T0811-T0816 для Epson с чипом
C;vtt;101131383;Тонер-картридж Hi-Black (HB-C-EXV50) для Canon iR1435/1435i/1435iF/1435P, 14K;61.000;1973;Картридж лазерный Cactus CS-EXV50 черный (17600стр.) для Canon IR 1400 series/1435/1435i/1435iF/1435P;4;1973hb;Картридж C-EXV50 для Canon 9436B002 черный
C;vtt;104090960;Драм-юнит Hi-Black (HB-C-EXV18D) для Canon iR 1018/1020, 21K;24.000;0833;Драм картридж C-EXV18D 27k SP;4;0833hb;Фотобарабан C-EXV18 DU для Canon черный
C;vtt;2200959296;Драм-юнит Hi-Black (HB-№049) для Canon i-SENSYS LBP112w/113w/MF112/113w, 12K;229.000;2971;Драм-картридж EasyPrint DC-049 для Canon LBP112/113/MF112/113/HP LJ Pro M102/M104/M130/M132 (12000стр.) с чипом;5;2971hb;Фотобарабан 049DU для Canon 2165C001 черный
