account,sku,offer_id,name,campaign,bid_now,bid_new,ceiling,margin_pct,qty_90d,revenue_90d
oz_acc1,1510953548,5420,"Картридж 067H M для принтеров Canon i-SENSYS LBP631CW, LBP63",Эксперимент1,13.0,39,120.8,35.6,10,31242
oz_acc2,1916292584,5435Y6YU68WB,"Картридж DS 006R01829 для принтеров Xerox VersaLink C7120, V",Все,9.0,18,50.3,27.5,3,30281
oz_acc2,1916292584,5435Y6YU68WB,"Картридж DS 006R01829 для принтеров Xerox VersaLink C7120, V",10000-500000,13.0,18,50.3,27.5,3,30281
oz_acc1,1153722890,1933,"Картридж T6941 для принтеров Epson SureColor SC-SC-T7200, SC",от 10000 до 500 тыс,13.0,39,399.7,27.8,2,30149
oz_acc1,1153722890,1933,"Картридж T6941 для принтеров Epson SureColor SC-SC-T7200, SC",Эксперимент1,8.0,24,399.7,27.8,2,30149
oz_acc1,2214347970,6231,"Картридж PC-212EV XL для принтеров M6502, M6552NW, P2502 чер",от 2000 до 5000,15.0,27,77.4,40.1,9,30030
oz_acc1,2214347970,6231,"Картридж PC-212EV XL для принтеров M6502, M6552NW, P2502 чер",Эксперимент1,11.0,27,77.4,40.1,9,30030
oz_acc1,653317967,3672,Картридж 106R03766 для принтеров Xerox VersaLink C7000 желты,Эксперимент1,10.0,30,104.0,27.8,7,29874
oz_acc1,1510954439,5419,"Картридж 067H C для принтеров Canon i-SENSYS LBP631CW, LBP63",Эксперимент1,8.0,24,127.0,36.3,9,28671
oz_acc1,3874205937,6532,Картриджи TK-8325 для принтеров Kyocera TASKalfa 2551ci,Эксперимент1,8.0,24,284.5,25.5,2,28582
oz_acc2,2877793809,6287GZ48LTY9,"Картриджи DS PFI-030 для принтеров Canon IPF TA-20, IPF TA-3",Все,9.0,27,635.1,25.4,1,28285
oz_acc1,930641138,0720,"Картриджи CLT-409 для принтеров Samsung CLP-310, CLP 315, CL",от 5000 до 10000,12.0,32,92.8,28.2,3,27405
oz_acc1,930641138,0720,"Картриджи CLT-409 для принтеров Samsung CLP-310, CLP 315, CL",Эксперимент1,8.0,24,92.8,28.2,3,27405
oz_acc2,1873154188,1222QDK1RIPW,"Картриджи DS LC529XL-LC525XL для принтеров Brother DCP-J100,",Все,9.0,27,87.3,39.6,13,27269
oz_acc2,1873154188,1222QDK1RIPW,"Картриджи DS LC529XL-LC525XL для принтеров Brother DCP-J100,",от 0 до 3000,15.0,31,87.3,39.6,13,27269
oz_acc2,2558279405,4857QKXDXKB8,"Фотобарабан DS 108R01484 для принтеров Xerox VersaLink C500,",Все,9.0,27,306.3,27.6,2,26888
oz_acc1,1897483849,5845,"Картридж 006R01819 для принтеров Xerox VersaLink B7125, Vers",от 2000 до 5000,12.0,36,211.5,31.0,6,26681
