# oz_acc1: эффект разгона ставок. ДО 2026-07-27..2026-08-07 (12 дн) / ПОСЛЕ 2026-08-09..2026-08-16 (7 дн, нет 13.08); органика неделя 2026-07-27 → 2026-08-03; ставки на 2026-08-17; маржа = margin_own_live − 10.6 п.п.; построено 2026-08-17 — ПОНИЖАТЬ
sku,offer_id,name,bid_start,bid_target,bid_current,status,grp,n_steps,first_step,last_step,pre_views,pre_clicks,pre_spend,pre_ord,pre_rev,pre_bid,pre_days,post_views,post_clicks,post_spend,post_ord,post_rev,post_bid,post_days,bid_now,org_views_pre,org_ord_pre,org_gmv_pre,org_pos_pre,org_views_post,org_ord_post,org_gmv_post,org_pos_post,sale_rev_pre,sale_rev_post,rev90,qty90,our_price,margin_own_live,verdict,is_archived,pre_views_d,post_views_d,pre_clicks_d,post_clicks_d,pre_spend_d,post_spend_d,pre_ord_d,post_ord_d,pre_rev_d,post_rev_d,d_clicks,d_spend,d_views,x_clicks,bid_up_fact,post_drr,pre_drr,post_cpc,margin_safe,cr_bucket,ceiling_safe,bid_ref,headroom,d_org_views,d_org_pos,verdict_ramp,why
5239560720,0856X2,"Комплект картриджей TN-241BK (2 шт.) на 5000 страниц для принтеров Brother DCP-9020cdw, HL-3140cw, HL 3150, HL3170CDW, MFC-9140, MFC-9330",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,56,1,10.65,0.0,0.0,19.6142857142857143,7,21.96,14,0,0,24.0000000000000000,7,0,0,131.0000000000000000,0,0,0,0,4722.0,38.78,нет_индекса,False,0.0,8.0,0.0,0.143,0.0,1.521,0.0,0.0,0.0,0.0,0.143,1.52,8.0,,,,,10.7,28.2,0.04,43.8,21.96,21.8,-7.0,107.0,LOSE,"расход 1.5 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
4489622246,12856,Картридж для Brother DCP-L5500dn,8.0,26.0,12.89,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,67,0,0.0,0.0,0.0,8.7333333333333333,12,109,1,10.59,0.0,0.0,11.5128571428571429,7,12.89,10,0,0,114.0000000000000000,10,0,0,109.0000000000000000,0,0,0,0,3201.0,29.83,нет_индекса,False,5.583,15.571,0.0,0.143,0.0,1.513,0.0,0.0,0.0,0.0,0.143,1.51,9.99,,2.8,,,10.6,19.2,0.04,18.2,12.89,5.3,0.0,-5.0,LOSE,"расход 1.5 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
2226443522,4997,"Картридж T7891 для принтеров Epson WorkForce Pro WF-5110, WF 5190, WF5620, WF-5690 черный",8.0,24.0,12.89,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,42,0,0.0,0.0,0.0,8.7333333333333333,12,27,1,10.06,0.0,0.0,12.4220000000000000,5,12.89,18,0,0,70.0000000000000000,8,0,0,98.0000000000000000,0,0,0,0,2621.0,31.19,нет_индекса,False,3.5,3.857,0.0,0.143,0.0,1.437,0.0,0.0,0.0,0.0,0.143,1.44,0.36,,3.7,,,10.1,20.6,0.04,16.3,12.89,3.4,-10.0,28.0,LOSE,"расход 1.4 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5255536187,2984X2,"Комплект фотобарабанов CLT-R407 DU (2 шт.) на 48000 страниц для принтеров Samsung CLP-320, CLP 325, CLX-3180, CLX3185",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,43,1,7.06,0.0,0.0,19.6142857142857143,7,21.96,16,0,0,35.0000000000000000,16,0,0,56.0000000000000000,0,0,0,0,22061.0,36.56,нет_индекса,False,0.0,6.143,0.0,0.143,0.0,1.009,0.0,0.0,0.0,0.0,0.143,1.01,6.14,,,,,7.1,26.0,0.02,92.5,21.96,70.5,0.0,21.0,LOSE,"расход 1.0 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
651911555,0194,"Картридж 56 для принтеров HP DeskJet 5150, DeskJet 450cbi, PSC-2175, PSC-2210, DeskJet450wbt, Digital Copier 410, OfficeJet4105, OfficeJet 4110, PhotoSmart 7150, PhotoSmart 7260, PSC-1100 PSC1110",13.0,24.0,20.93,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,112,1,13.39,0.0,0.0,14.1916666666666667,12,115,1,1.0,0.0,0.0,18.6971428571428571,7,20.93,68,0,0,64.0000000000000000,37,0,0,165.0000000000000000,0,0,0,0,,,,False,9.333,16.429,0.083,0.143,1.116,0.143,0.0,0.0,0.0,0.0,0.06,-0.97,7.1,1.72,4.5,,,1.0,,0.06,,20.93,,-31.0,101.0,LOSE,"расход 0.1 ₽/дн против 1.1 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
863386191,3435,"Картриджи TN-217 для принтеров Brother DCP-L3550CDW, HL-L3230CDW, hl-l3270cdw, MFC-L3770CDW",45.0,60.0,60.0,done,A. реклама тянет,4,2026-08-10,2026-08-13,5728,84,3516.97,5.0,36609.0,45.0000000000000000,12,3066,56,2939.69,1.0,7646.0,56.3285714285714286,7,60.0,594,0,23501,20.0000000000000000,640,0,0,12.0000000000000000,28846.0000,7646.0000,202245.0000,30,,,,False,477.333,438.0,7.0,8.0,293.081,419.956,0.417,0.143,3050.75,1092.286,1.0,126.88,-39.33,1.14,11.3,38.4,9.6,52.5,,0.06,,60.0,,46.0,-8.0,OVERPAY,ДРР 38.4 % при норме 15
1547263981,5422,"Картриджи 067H с чипом для принтеров Canon LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw, MF657Cdw",21.0,60.0,35.43,running,A. реклама тянет,10,2026-08-08,2026-08-13,4519,97,2027.00,3.0,31961.0,23.4708333333333333,12,4291,71,2238.81,1.0,10436.0,30.1808333333333333,7,35.43,448,0,6540,25.0000000000000000,508,0,5954,14.0000000000000000,72860.0000,65988.0000,663116.0000,63,10445.0,27.51,нет_индекса,False,376.583,613.0,8.083,10.143,168.917,319.83,0.25,0.143,2663.417,1490.857,2.06,150.91,236.42,1.25,6.7,21.5,6.3,31.5,16.9,0.02,24.9,35.43,-10.5,60.0,-11.0,OVERPAY,ДРР 21.5 % при норме 15; ставка 35 ₽ выше потолка 24.9 ₽
1719404303,5624,Картриджи TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,20.0,60.0,60.0,"done,running",B. продаёт сама,9,2026-08-08,2026-08-13,5791,72,2639.76,4.0,45521.0,47.0384615384615385,12,3492,46,2032.38,2.0,25224.0,57.7071428571428571,7,60.0,391,0,5996,25.0000000000000000,565,0,7357,11.0000000000000000,57163.0000,100794.0000,818910.0000,70,12407.0,24.3,нет_индекса,False,482.583,498.857,6.0,6.571,219.98,290.34,0.333,0.286,3793.417,3603.429,0.571,70.36,16.27,1.1,10.7,8.1,5.8,44.2,13.7,0.02,21.6,60.0,-38.4,174.0,-14.0,OVERPAY,ставка 60 ₽ выше потолка 21.6 ₽
1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",21.0,60.0,40.74,running,A. реклама тянет,10,2026-08-08,2026-08-13,4789,122,2426.94,10.0,142733.0,25.1762500000000000,12,1191,40,1486.34,2.0,22078.0,35.5900000000000000,4,40.74,554,0,48925,25.0000000000000000,291,0,7316,13.0000000000000000,150820.0000,22078.0000,1384002.7200,101,14890.0,25.52,нет_индекса,False,399.083,170.143,10.167,5.714,202.245,212.334,0.833,0.286,11894.417,3154.0,-4.453,10.09,-228.94,0.56,10.4,6.7,1.7,37.2,14.9,0.02,29.5,40.74,-11.2,-263.0,-12.0,OVERPAY,ставка 41 ₽ выше потолка 29.5 ₽
870872516,2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8130cidn",23.0,60.0,40.27,running,A. реклама тянет,10,2026-08-08,2026-08-13,2623,42,1172.55,6.0,63373.0,26.2000000000000000,12,1303,16,838.70,1.0,11339.0,35.9530000000000000,7,40.27,430,0,31816,28.0000000000000000,304,0,13714,20.0000000000000000,53471.0000,22567.0000,576030.0000,57,10792.0,23.65,нет_индекса,False,218.583,186.143,3.5,2.286,97.712,119.814,0.5,0.143,5281.083,1619.857,-1.214,22.1,-32.44,0.65,9.8,7.4,1.9,52.4,13.0,0.02,17.4,40.27,-22.9,-126.0,-8.0,OVERPAY,ставка 40 ₽ выше потолка 17.4 ₽
