nm_id;vendor_code;price_2508;price_0709;margin_2508;margin_0709;discount_pct;net_per_unit;qty_sep;qty_aug;revenue_sep;loss_sep;snaps;neg_snaps;in_ads;cpc
862508816;11842B3W9QVR;1418.0;830.0;17.4;-10.16;50.0;-95.67;0;0;0;0.0;14;1;0;
862509053;11843DRUOCBD;1418.0;830.0;17.4;-10.16;50.0;-95.67;0;0;0;0.0;14;1;0;
867091254;13202HMP1696;1629.0;1507.0;-4.72;-5.47;64.0;-95.59;0;0;0;0.0;14;12;0;
865034701;21242PC47DB9;2370.0;2228.0;2.16;-3.57;63.0;-94.45;0;0;0;0.0;14;1;0;
865035490;21243A7V0NT8;2370.0;2228.0;2.16;-3.57;63.0;-94.45;0;0;0;0.0;14;1;0;
865037068;21246B6FIIFS;2370.0;2228.0;2.16;-3.57;63.0;-94.45;0;0;0;0.0;14;1;0;
865035954;21244VS4ZTK3;2370.0;2228.0;2.16;-3.57;63.0;-94.45;0;0;0;0.0;14;1;0;
865036707;21245WY3KNBB;2370.0;2228.0;2.16;-3.57;63.0;-94.45;0;0;0;0.0;14;2;0;
865034051;21241WGNIUT3;2370.0;2228.0;2.16;-3.57;63.0;-94.45;0;0;0;0.0;14;1;0;
323199629;2356RRAHNT41;1779.0;1061.0;22.14;-7.82;61.0;-94.15;0;0;0;0.0;14;1;0;
862373961;068311RKX4UL;1876.0;1137.0;21.92;-7.27;61.0;-93.73;0;0;0;0.0;14;2;0;
862374780;068313P3SJEN;1876.0;1137.0;21.92;-7.27;61.0;-93.73;0;0;0;0.0;14;1;0;
879447830;068318GNAKIR;1876.0;1137.0;21.92;-7.27;61.0;-93.73;0;0;0;0.0;14;1;0;
879445927;068316ZERNTG;1876.0;1137.0;21.92;-7.27;61.0;-93.73;0;0;0;0.0;14;2;0;
879446430;068317LXHP1J;1876.0;1137.0;21.92;-7.27;61.0;-93.73;0;0;0;0.0;14;2;0;
862375298;068314DT2OYK;1876.0;1137.0;21.92;-7.27;61.0;-93.73;0;0;0;0.0;14;1;0;
879455865;068319LPC7Y3;1876.0;1137.0;21.92;-7.27;61.0;-93.73;0;0;0;0.0;14;1;0;
869300042;57762RZRRTD1;1403.0;1181.0;10.75;-6.97;68.0;-93.35;0;0;0;0.0;14;1;1;10.9
324980474;1664DUG9DXHO;4654.0;4301.0;4.43;-1.71;62.0;-93.04;0;0;0;0.0;14;1;0;
313084429;3264PB4NUXCI;896.0;1220.0;-12.13;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885308656;32641L1J0BYJ;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885310137;32642PEPRYJV;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885310365;32643TZFSJKF;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885310480;32644TG4KDU1;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885310723;32645YD915HJ;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885311032;32646ANJO44Q;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885311358;32647MD2O45W;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885312712;32648D0YDWPC;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885312846;32649HC0O9ZO;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885312945;326410S20WYO;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885314110;326411GL2POA;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885314526;326413V5DS7R;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
885314748;326414HL889W;1045.0;1220.0;-1.97;-6.72;63.0;-92.94;0;0;0;0.0;14;2;0;
