тир;подтверждение;кабинет;артикул;nmID;тип;тек_ВБ_ДхШхВ;тек_объём_л;нов_ДхШхВ;нов_объём_л;занижение_раз;дельта_л;источник;название
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;5305;964832599;мать;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер MLT-D111L для Samsung SL-M2020, SL-M2021 черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;53053;1003611063;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2024
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;53051;1003611049;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2020
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;53055;1003611122;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2071
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;53054;1003611109;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2028
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;53052;1003611055;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2021
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;53055S0NNJAH;915854821;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2071 60мл.
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;53051PBNIH98;915854676;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2020 60мл.
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;53053O4HG0U7;915854807;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2024 60мл.
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;53052K4IOAHD;915854754;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2021 60мл.
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;5305IXJZFDO5;323292198;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер DS MLT-D111L для Samsung SL-M2020, SL-M2021 черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;53054STTQ84C;915854809;ребёнок;7x7x22;1.08;33x11.5x10.5;3.98;3.7;2.91;cactus(согл.3);Тонер для Samsung SL-M2028 60мл.
