sku,offer_id,name,camps,bid,views,clicks,spend,spend_30d,ad_orders,ad_rev,drr,qty90,rev90,canc,cancel_share,last_sale,margin_own_live,our_price
1999376442,5953HF1AW8VK,Картридж DS THM348 для принтеров Катюша М348 черный,13424726,8.0,133,1,5.54,10.0,2.0,13590.0,0.0,3,19553.0000,0,0.0,2026-07-30,26.92,6935.0
1873140453,5422YHSC5BIR,"Картриджи DS 067H для принтеров Canon i-SENSYS LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw",13424726/13425066,13.0,971,28,274.51,484.0,1.0,10750.0,2.6,19,204389.0000,0,0.0,2026-08-14,24.1,10750.0
1885396372,1996CPL9PU7Q,"Фотобарабан DS DR-311K DU для принтеров Konica Minolta Bizhub C220, Bizhub C280 черный",13424726,8.0,174,2,20.87,37.0,1.0,10722.0,0.2,1,10722.0000,0,0.0,2026-08-02,22.34,10965.0
1822904407,0169ILX8ZV1U,"Картриджи DS CB540A-CB543A для принтеров HP Color LaserJet CM1300, LJ-CM1312, LJ CP1210, LJCP1215, LJ CP1510, LJCP1515, LJ-CP1518",13424726/13425039,13.0,89,1,4.7,8.0,1.0,9971.0,0.0,1,9971.0000,0,0.0,2026-08-10,20.92,10278.0
1822891345,0068RHS52FUP,"Картриджи DS 934XL-935XL для принтеров HP OfficeJet Pro 6230, OfficeJet Pro 6830",13424726/19250899,12.0,123,4,45.93,81.0,2.0,8662.0,0.5,2,8662.0000,0,0.0,2026-08-03,27.18,4361.0
2138962079,6205K4NSYG96,"Картридж DS №62XL для принтеров HP Envy 5540, Envy5541, Officejet 200 Mobile, OfficeJet 202 цветной",13424726,8.0,254,6,36.28,64.0,1.0,7818.0,0.5,2,15224.0000,0,0.0,2026-08-10,27.14,8322.0
2681730433,6400WSWJYDDR,"Картридж DS W2300A для принтеров HP Color LaserJet Pro 4203cdn, 4303dw черный",13424726,9.0,462,7,53.06,94.0,2.0,7126.0,0.7,12,41899.0000,1,8.3,2026-08-10,28.04,4373.0
1873154188,1222QDK1RIPW,"Картриджи DS LC529XL-LC525XL для принтеров Brother DCP-J100, DCP J105, MFC-J200",13424726/19250899,15.0,593,13,167.40,295.0,3.0,6541.0,2.6,13,27269.0000,1,7.1,2026-08-04,36.08,2441.0
1873179609,5634F20OMUL2,Картриджи DS TK-5440 для принтеров Kyocera ECOSYS MA2100cfx,13424726,8.0,194,8,40.61,72.0,1.0,5736.0,0.7,2,11056.0000,0,0.0,2026-07-31,29.09,6524.0
1873182078,2213US41CSSD,"Картридж DS LX-350 для принтеров Epson ERC19, LQ350, LX350, VP80K черный",13424726/19250899,12.0,668,10,66.10,117.0,4.0,5700.0,1.2,6,8858.0000,0,0.0,2026-08-03,26.52,1497.0
1873140750,5309AEW585GM,"Тонер DS TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300FDN, P3010D, P3300DN черный",13424726,8.0,704,18,143.93,254.0,3.0,5252.0,2.7,9,17257.0000,0,0.0,2026-08-06,28.68,1766.0
1822920431,0375Y66LAH9F,"Картриджи DS 716 для принтеров Canon i-SENSYS LBP-5050, MF-8030CN, MF8040CN, MF-8050CN, MF8080CW",13424726/13425039,12.0,393,13,111.71,197.0,1.0,4387.0,2.5,4,18672.0000,1,20.0,2026-08-08,22.41,5206.0
1883158691,3441T94GH7NU,"Картридж DS T9651 для принтеров Epson WorkForce Pro M5298, WF Pro M5299 черный",13424726,8.0,108,2,6.05,11.0,1.0,4014.0,0.2,1,4014.0000,0,0.0,2026-08-08,16.24,4238.0
