sku,группа,действия,связок,применено_связок,действие_применено,нет_baseline,нет_карточки,нет_остатка,в_обеих_группах,в_оценке_ITT
1873182884,treatment,remove,2,2,1,0,0,1,0,1
1873182991,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873183002,treatment,remove,2,2,1,0,0,1,0,1
1873183085,treatment,remove,1,1,1,0,0,1,0,1
1873183117,treatment,remove,2,2,1,0,0,1,0,1
1873183251,treatment,remove,1,1,1,0,0,1,0,1
1873183385,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873183387,treatment,remove,1,1,1,0,0,1,0,1
1873183462,treatment,remove,1,1,1,0,0,1,0,1
1873183503,treatment,remove,1,1,1,0,0,1,0,1
1873183540,treatment,remove,1,1,1,0,0,1,0,1
1873183776,treatment,remove,1,1,1,0,0,1,0,1
1873183793,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873184308,treatment,remove,1,1,1,0,0,1,0,1
1873184312,treatment,remove,2,2,1,0,0,1,0,1
1873184486,treatment,remove,1,1,1,0,0,1,0,1
1873184542,treatment,remove,1,1,1,0,0,1,0,1
1873184987,treatment,remove,1,1,1,0,0,1,0,1
1873185138,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873185278,treatment,remove,1,1,1,0,0,1,0,1
1873185443,treatment,remove,1,1,1,0,0,1,0,1
1873185581,treatment,remove,2,2,1,0,0,1,0,1
1873185645,treatment,remove,1,1,1,0,0,1,0,1
1873185883,treatment,bid_down,2,2,1,0,0,1,0,1
1873185892,treatment,remove,2,2,1,0,0,1,0,1
1873186066,treatment,remove,2,2,1,0,0,1,0,1
1873186529,treatment,bid_down,2,2,1,0,0,1,0,1
1873186559,treatment,remove,2,2,1,0,0,1,0,1
1873186826,treatment,remove,1,1,1,0,0,1,0,1
1873186842,treatment,remove,1,1,1,0,0,1,0,1
1873186940,treatment,remove,1,1,1,0,0,1,0,1
1873187163,treatment,bid_down,2,1,1,0,0,1,0,1
1873187268,treatment,remove,1,1,1,0,0,1,0,1
1873187283,treatment,remove,1,1,1,0,0,1,0,1
1873187290,treatment,remove,1,1,1,0,0,1,0,1
1873187319,treatment,remove,1,1,1,0,0,1,0,1
1873187713,treatment,remove,1,1,1,0,0,1,0,1
1873188146,treatment,remove,1,1,1,0,0,1,0,1
1873189014,treatment,remove,1,1,1,0,0,1,0,1
1873189192,treatment,remove,1,1,1,0,0,1,0,1
1873189213,treatment,remove,2,2,1,0,0,1,0,1
1873189514,treatment,remove,1,1,1,0,0,1,0,1
1873189607,treatment,remove,1,1,1,0,0,1,0,1
1873189660,treatment,remove,1,1,1,0,0,1,0,1
1873189731,treatment,remove,2,2,1,0,0,1,0,1
1873189927,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873189975,treatment,remove,1,1,1,0,0,1,0,1
1873190152,treatment,remove,1,1,1,0,0,1,0,1
1873190215,treatment,remove,2,2,1,0,0,1,0,1
1873190352,treatment,remove,1,1,1,0,0,1,0,1
1873190491,treatment,remove,2,2,1,0,0,1,0,1
1873190636,treatment,remove,2,2,1,0,0,1,0,1
1873190995,treatment,remove,1,1,1,0,0,1,0,1
1873191075,treatment,bid_down,1,0,0,0,0,1,0,1
1873191093,treatment,remove,1,1,1,0,0,1,0,1
1873191141,treatment,remove,1,1,1,0,0,1,0,1
1873192297,treatment,remove,1,1,1,0,0,1,0,1
1873192366,treatment,remove,1,1,1,0,0,1,0,1
1873192625,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873197264,treatment,remove,2,2,1,0,0,1,0,1
1873225017,treatment,remove,1,1,1,0,0,1,0,1
1873225216,treatment,remove,2,2,1,0,0,1,0,1
1873225536,treatment,bid_down,2,2,1,0,0,1,0,1
1873225840,treatment,remove,1,1,1,0,0,1,0,1
1873226067,treatment,remove,1,1,1,0,0,1,0,1
1873226178,treatment,remove,1,1,1,0,0,1,0,1
1873228242,treatment,remove,1,1,1,0,0,1,0,1
1873228645,treatment,remove,1,1,1,0,0,1,0,1
1875262256,treatment,remove,1,1,1,0,0,1,0,1
1875267649,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1882822163,treatment,remove,2,2,1,0,0,1,0,1
1882823270,treatment,remove,1,1,1,0,0,1,0,1
1882829957,treatment,remove,1,1,1,0,0,1,0,1
1882830517,treatment,remove,1,1,1,0,0,1,0,1
1882837230,treatment,remove,2,2,1,0,0,1,0,1
1882851411,treatment,remove,1,1,1,0,0,1,0,1
1882854617,treatment,remove,2,2,1,0,0,1,0,1
1882881607,treatment,remove,1,1,1,0,0,1,0,1
1883108656,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1883113551,treatment,remove,1,1,1,0,0,1,0,1
1883113573,treatment,remove,2,2,1,0,0,1,0,1
1883113924,treatment,bid_down,1,1,1,0,0,1,0,1
1883114841,treatment,remove,1,1,1,0,0,1,0,1
1883116041,treatment,remove,2,2,1,0,0,1,0,1
1883119859,treatment,remove,1,1,1,0,0,1,0,1
1883122995,treatment,remove,1,1,1,0,0,1,0,1
1883124098,treatment,remove,2,2,1,0,0,1,0,1
1883125148,treatment,remove,2,2,1,0,0,1,0,1
1883125988,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1883126798,treatment,remove,2,2,1,0,0,1,0,1
1883128057,treatment,remove,1,1,1,0,0,1,0,1
1883128548,treatment,bid_down,1,0,0,0,0,1,0,1
1883129031,treatment,bid_down,1,1,1,0,0,1,0,1
1883129690,treatment,remove,1,1,1,0,0,1,0,1
1883130927,treatment,bid_down,2,2,1,0,0,1,0,1
1883131173,treatment,remove,2,2,1,0,0,1,0,1
1883131212,treatment,remove,1,1,1,0,0,1,0,1
1883131363,treatment,remove,1,1,1,0,0,1,0,1
1883131604,treatment,remove,2,2,1,0,0,1,0,1
1883131764,treatment,remove,2,2,1,0,0,1,0,1
1883132731,treatment,remove,1,1,1,0,0,1,0,1
1883133086,treatment,remove,1,1,1,0,0,1,0,1
1883133225,treatment,remove,1,1,1,0,0,1,0,1
1883133369,treatment,remove,1,1,1,0,0,1,0,1
1883134081,treatment,remove,1,1,1,0,0,1,0,1
1883134729,treatment,remove,2,2,1,0,0,1,0,1
1883134750,treatment,remove,1,1,1,0,0,1,0,1
1883134941,treatment,bid_down,1,1,1,0,0,1,0,1
1883135248,treatment,bid_down,1,1,1,0,0,1,0,1
1883135599,treatment,remove,2,2,1,0,0,1,0,1
1883135828,treatment,remove,1,1,1,0,0,1,0,1
1883135858,treatment,remove,2,2,1,0,0,1,0,1
1883135884,treatment,remove,2,2,1,0,0,1,0,1
1883136189,treatment,remove,1,1,1,0,0,1,0,1
1883136396,treatment,remove,2,2,1,0,0,1,0,1
1883137021,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1883137146,treatment,remove,1,1,1,0,0,1,0,1
1883138159,treatment,remove,2,2,1,0,0,1,0,1
1883138547,treatment,remove,2,2,1,0,0,1,0,1
1883138632,treatment,remove,1,1,1,0,0,1,0,1
1883139139,treatment,remove,1,1,1,0,0,1,0,1
1883139469,treatment,remove,1,1,1,0,0,1,0,1
1883139478,treatment,remove,1,1,1,0,0,1,0,1
1883139857,treatment,remove,2,2,1,0,0,1,0,1
1883139914,treatment,remove,1,1,1,0,0,1,0,1
1883140141,treatment,remove,2,2,1,0,0,1,0,1
1883140206,treatment,remove,1,1,1,0,0,1,0,1
1883140299,treatment,remove,1,1,1,0,0,1,0,1
1883140720,treatment,bid_down,2,2,1,0,0,1,0,1
1883141284,treatment,remove,1,1,1,0,0,1,0,1
1883141716,treatment,remove,1,1,1,0,0,1,0,1
1883142142,treatment,remove,1,1,1,0,0,1,0,1
1883142213,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1883142438,treatment,remove,1,1,1,0,0,1,0,1
1883142445,treatment,remove,1,1,1,0,0,1,0,1
1883142544,treatment,remove,1,1,1,0,0,1,0,1
1883142674,treatment,remove,1,1,1,0,0,1,0,1
1883142965,treatment,remove,2,2,1,0,0,1,0,1
1883143430,treatment,remove,1,1,1,0,0,1,0,1
1883143473,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1883143571,treatment,remove,1,1,1,0,0,1,0,1
1883143992,treatment,remove,2,2,1,0,0,1,0,1
1883144037,treatment,remove,1,1,1,0,0,1,0,1
1883144170,treatment,remove,1,1,1,0,0,1,0,1
1883144340,treatment,remove,1,1,1,0,0,1,0,1
1883144734,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1883144764,treatment,remove,1,1,1,0,0,1,0,1
1883144917,treatment,remove,1,1,1,0,0,1,0,1
1883145142,treatment,bid_down,1,0,0,0,0,1,0,1
1883145287,treatment,remove,1,1,1,0,0,1,0,1
1883145884,treatment,remove,1,1,1,0,0,1,0,1
1883146158,treatment,remove,2,2,1,0,0,1,0,1
1883146280,treatment,remove,2,2,1,0,0,1,0,1
1883146393,treatment,remove,1,1,1,0,0,1,0,1
1883146404,treatment,remove,1,1,1,0,0,1,0,1
1883146688,treatment,remove,1,1,1,0,0,1,0,1
1883146839,treatment,remove,2,2,1,0,0,1,0,1
1883146855,treatment,remove,1,1,1,0,0,1,0,1
1883147177,treatment,remove,1,1,1,0,0,1,0,1
1883147243,treatment,remove,1,1,1,0,0,1,0,1
1883147470,treatment,remove,2,2,1,0,0,1,0,1
