класс;объём_л;ДхШхВ;nmID;артикул;тип;источник;ссылка/файл
>60 л — почти наверняка мастер-короб;178.7;39.8x91.8x48.9;323268324;2552D22WCW22;набор;набор:согласовано;"компоненты:43837133=19.9x48.9x45.9(solutionsprint); 43837134=19.9x48.9x45.9(solutionsprint); 43837135=19.9x48.9x45.9(sol"
>60 л — почти наверняка мастер-короб;137.9;44.6x73.8x41.9;964922212;5138;набор;набор:согласовано;"компоненты:43913805=22.3x41.9x36.9(solutionsprint); 43913806=22.3x41.9x36.9(solutionsprint); 43913807=22.3x41.9x36.9(sol"
>60 л — почти наверняка мастер-короб;137.9;44.6x73.8x41.9;1009143249;5138LGWRHW3A;набор;набор:согласовано;"компоненты:43913805=22.3x41.9x36.9(solutionsprint); 43913806=22.3x41.9x36.9(solutionsprint); 43913807=22.3x41.9x36.9(sol"
>60 л — почти наверняка мастер-короб;137.1;40.0x79.0x43.4;502135868;6526;набор;набор:согласовано;"компоненты:44844405=43.4x39.5x20(solutionsprint); 44844406=43.4x39.5x20(solutionsprint); 44844407=43.4x39.5x20(solutions"
>60 л — почти наверняка мастер-короб;137.1;40.0x79.0x43.4;416656051;6116;набор;набор:согласовано;"компоненты:44844613=43.4x39.5x20(solutionsprint); 44844614=43.4x39.5x20(solutionsprint); 44844615=43.4x39.5x20(solutions"
>60 л — почти наверняка мастер-короб;137.1;40.0x79.0x43.4;502135616;6526DJT1N8SA;набор;набор:согласовано;"компоненты:44844405=43.4x39.5x20(solutionsprint); 44844406=43.4x39.5x20(solutionsprint); 44844407=43.4x39.5x20(solutions"
>60 л — почти наверняка мастер-короб;137.1;40.0x79.0x43.4;416656033;6116FBWPMIOQ;набор;набор:согласовано;"компоненты:44844613=43.4x39.5x20(solutionsprint); 44844614=43.4x39.5x20(solutionsprint); 44844615=43.4x39.5x20(solutions"
>60 л — почти наверняка мастер-короб;120.0;48.0x50.0x50.0;209666043;0170;набор;набор:согласовано;"компоненты:Q6460A=50x24x25(solutionsprint); Q6461A=50x24x25(solutionsprint); Q6462A=50x24x25(solutionsprint); Q6463A=50x"
>60 л — почти наверняка мастер-короб;120.0;48.0x50.0x50.0;323108084;0170G4NL25VR;набор;набор:согласовано;"компоненты:Q6460A=50x24x25(solutionsprint); Q6461A=50x24x25(solutionsprint); Q6462A=50x24x25(solutionsprint); Q6463A=50x"
>60 л — почти наверняка мастер-короб;115.6;70.0x29.5x56.0;964774777;1428;мать;rapid;прямой
>60 л — почти наверняка мастер-короб;115.6;70.0x29.5x56.0;964775229;14281;ребёнок;rapid;наследование от 1428
>60 л — почти наверняка мастер-короб;115.6;70.0x29.5x56.0;964776153;14282;ребёнок;rapid;наследование от 1428
>60 л — почти наверняка мастер-короб;115.6;70.0x29.5x56.0;1233089528;14282WFSL4WW;ребёнок;rapid;наследование от 1428
>60 л — почти наверняка мастер-короб;115.6;70.0x29.5x56.0;915409385;14281ONQHIBD;ребёнок;rapid;наследование от 1428
>60 л — почти наверняка мастер-короб;115.5;30.4x76.0x50.0;209663916;2789;набор;набор:согласовано;"компоненты:45862849=50x38x15.2(solutionsprint); 45862850=50x38x15.2(solutionsprint); 45862851=50x38x15.2(solutionsprint)"
>60 л — почти наверняка мастер-короб;115.5;30.4x76.0x50.0;323268113;2789MDV0BUBJ;набор;набор:согласовано;"компоненты:45862849=50x38x15.2(solutionsprint); 45862850=50x38x15.2(solutionsprint); 45862851=50x38x15.2(solutionsprint)"
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;199332977;0982;мать;rapid;прямой
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;199572129;09824;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;199572144;09823;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;199572153;09822;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;964768844;09821;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;967390126;09825;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;199572166;09826;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;323267834;0982T2FNFGN9;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;880333530;09826TGM1WKZ;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;880331138;09821OGGF9HG;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;880333321;09825TH2I0QI;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;880332405;09824NA24WRL;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;880331622;09823Y8ABUHE;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;112.3;57.0x29.4x67.0;880331345;09822U0UR7C3;ребёнок;rapid;наследование от 0982
>60 л — почти наверняка мастер-короб;111.1;42.0x42.0x63.0;192569315;4525;набор;набор:согласовано;"компоненты:006R01403=21x63x21(solutionsprint); 006R01404=21x63x21(solutionsprint); 006R01405=21x63x21(solutionsprint); 0"
>60 л — почти наверняка мастер-короб;111.1;42.0x42.0x63.0;323349383;4525ONWI3H9B;набор;набор:согласовано;"компоненты:006R01403=21x63x21(solutionsprint); 006R01404=21x63x21(solutionsprint); 006R01405=21x63x21(solutionsprint); 0"
>60 л — почти наверняка мастер-короб;103.5;46.0x45.0x50.0;192569219;3955;набор;набор:согласовано;"компоненты:44059228=23x50x45(solutionsprint); 44059225=23x50x45(solutionsprint)"
>60 л — почти наверняка мастер-короб;103.5;46.0x45.0x50.0;323347196;3955DU3SFTLN;набор;набор:согласовано;"компоненты:44059228=23x50x45(solutionsprint); 44059225=23x50x45(solutionsprint)"
>60 л — почти наверняка мастер-короб;87.8;38.0x60.8x38.0;523434548;4121;набор;набор:согласовано;"компоненты:831Y=12x36.5x17(solutionsprint); 831BK=38x19x30.4(solutionsprint); 831C=12x36.5x17(solutionsprint); 831M=12x3"
>60 л — почти наверняка мастер-короб;87.8;38.0x60.8x38.0;323347487;4121HMQETA8U;набор;набор:согласовано;"компоненты:831Y=12x36.5x17(solutionsprint); 831BK=38x19x30.4(solutionsprint); 831C=12x36.5x17(solutionsprint); 831M=12x3"
>60 л — почти наверняка мастер-короб;85.8;70.0x35.0x35.0;1004157948;6998;набор;набор:согласовано;"компоненты:DK7105=35x35x35(rapid); TK7105=51x25x11(cactus)"
>60 л — почти наверняка мастер-короб;83.2;37.6x45.0x49.2;192567564;0369;набор;набор:согласовано;"компоненты:CE270A=49.2x18.8x22.5(rapid(согл.2)); CE271A=49.2x18.8x22.5(rapid(согл.2)); CE272A=49.2x18.8x22.5(rapid(согл."
>60 л — почти наверняка мастер-короб;83.2;37.6x45.0x49.2;192568067;2246;набор;набор:согласовано;"компоненты:CE340A=49.2x22.5x18.8(rapid(согл.2)); CE341A=48x13.5x25(изи(согл.2)); CE342A=48x13.5x25(изи(согл.2)); CE343A="
>60 л — почти наверняка мастер-короб;83.2;37.6x45.0x49.2;323341255;2246BOHRPCO2;набор;набор:согласовано;"компоненты:CE340A=49.2x22.5x18.8(rapid(согл.2)); CE341A=48x13.5x25(изи(согл.2)); CE342A=48x13.5x25(изи(согл.2)); CE343A="
>60 л — почти наверняка мастер-короб;83.2;37.6x45.0x49.2;323109552;0369F94MZUFA;набор;набор:согласовано;"компоненты:CE270A=49.2x18.8x22.5(rapid(согл.2)); CE271A=49.2x18.8x22.5(rapid(согл.2)); CE272A=49.2x18.8x22.5(rapid(согл."
>60 л — почти наверняка мастер-короб;81.9;63.0x26.0x50.0;199332952;0984;мать;rapid;прямой
>60 л — почти наверняка мастер-короб;81.9;63.0x26.0x50.0;199572169;09841;ребёнок;rapid;наследование от 0984
>60 л — почти наверняка мастер-короб;81.9;63.0x26.0x50.0;199572165;09842;ребёнок;rapid;наследование от 0984
>60 л — почти наверняка мастер-короб;81.9;63.0x26.0x50.0;313184815;0984Z0N9KWCO;ребёнок;rapid;наследование от 0984
>60 л — почти наверняка мастер-короб;81.9;63.0x26.0x50.0;862473050;09842GH1WV38;ребёнок;rapid;наследование от 0984
>60 л — почти наверняка мастер-короб;81.9;63.0x26.0x50.0;862472569;09841OW0UJKZ;ребёнок;rapid;наследование от 0984
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;216453997;4941;мать;наш-озон;ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;869226713;49418EDW5K0R;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;869224740;49417BIEKCL3;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;1003487373;49414;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;869218387;49413WARXX8U;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;869216322;49411GZGUY3F;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;869217568;49412WW2DOLX;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;1003487393;49412;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;869220283;49414HUNL0ZB;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;869224032;49416EGEPMNU;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;323253560;4941NXBCKSQT;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;1003487363;49411;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;1003487440;49413;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;1018858438;49416;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;1003488326;49419;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;1003487436;49415;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;1003488328;49418;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;1003488329;49417;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;869222714;49415PAB0692;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;78.4;43.0x24.0x76.0;869228663;49419V30M4PD;ребёнок;наследование от 4941 (наш-озон);ozon_dims|offer_id=4941
>60 л — почти наверняка мастер-короб;67.5;30.0x45.0x50.0;1208521756;7072;мать;наш-озон;ozon_dims|offer_id=7072
>60 л — почти наверняка мастер-короб;67.5;30.0x45.0x50.0;1208522559;7073;мать;наш-озон;ozon_dims|offer_id=7073
