аккаунт,отгрузка,дата,штук_отгружено,штук_вернулось,себест_отгрузки_₽,сторно_МС_₽,статус,статус_сырьё
oz_acc1,81713151-0253-1,2025-12-03,8.0,4.0,2744.64,0.0,return_stock,
oz_acc1,0115309986-0160-7,2025-12-03,2.0,1.0,522.8,0.0,return_stock,
oz_acc1,68065593-0152-4,2025-12-01,7.0,2.0,929.97,0.0,return_stock,
oz_acc1,0118517749-0433-1,2025-11-28,8.0,4.0,1647.42,0.0,return_stock,
oz_acc2,89196167-0283-1,2025-11-28,18.0,2.0,88.84,0.0,return_ozon,
oz_acc1,46748171-0283-1,2025-11-27,10.0,4.0,1875.45,0.0,return_stock,
oz_acc2,71262864-0157-1,2025-11-27,4.0,2.0,3197.96,0.0,return_stock,
oz_acc1,61676210-0032-1,2025-11-27,12.0,4.0,300.02,0.0,return_ozon,
oz_acc2,96316470-0092-1,2025-11-26,3.0,1.0,280.23,0.0,return_stock,
oz_acc1,0192482638-0012-2,2025-11-26,2.0,1.0,498.14,0.0,return_stock,
oz_acc1,75933847-0374-1,2025-11-26,11.0,4.0,5229.48,0.0,return_stock,
oz_acc1,63000032-0025-1,2025-11-26,2.0,1.0,1369.54,0.0,return_stock,
oz_acc2,0126211938-0571-1,2025-11-25,3.0,1.0,869.27,0.0,return_ozon,
oz_acc2,56623697-0264-1,2025-11-25,3.0,1.0,198.75,0.0,return_ozon,
oz_acc1,0231126568-0001-3,2025-11-25,2.0,1.0,1041.0,0.0,return_ozon,
oz_acc1,78708057-0832-1,2025-11-24,11.0,4.0,1230.36,0.0,return_ozon,
oz_acc1,74248922-0399-1,2025-11-22,4.0,2.0,1922.62,0.0,return_ozon,
oz_acc2,43255440-0076-1,2025-11-22,3.0,1.0,404.72,0.0,return_ozon,
oz_acc1,17536932-0678-2,2025-11-22,23.0,5.0,1540.03,0.0,return_stock,
oz_acc1,78397668-0078-2,2025-11-22,6.0,2.0,1565.85,0.0,return_stock,
oz_acc1,05992102-1086-3,2025-11-21,11.0,4.0,2414.17,0.0,return_ozon,
oz_acc1,42033694-0079-1,2025-11-20,15.0,4.0,1920.81,0.0,return_stock,
oz_acc1,0200878770-0112-1,2025-11-19,2.0,1.0,275.74,0.0,return_defect,
oz_acc1,51304899-0461-1,2025-11-19,19.0,4.0,3916.67,0.0,return_ozon,
oz_acc1,09505008-0634-1,2025-11-18,10.0,1.0,239.33,0.0,return_stock,
oz_acc1,50134158-0821-1,2025-11-18,16.0,4.0,1874.26,0.0,return_ozon,
oz_acc1,82213074-0129-1,2025-11-17,3.0,2.0,154.15,0.0,return_stock,
oz_acc1,0217139238-0007-1,2025-11-17,9.0,5.0,348.4,0.0,return_ozon,
oz_acc1,51476256-0168-1,2025-11-17,3.0,1.0,524.88,0.0,return_ozon,
