snapshot_date,campaign_id,campaign_title,sku,offer_id,name,bid,ad_spend_window,ad_clicks,rev90
2026-08-18,19250899,от 0 до 3000,1883362448,2557KBD1CWFP,"Картридж DS T005 для принтеров Epson Stylus Color 900, Stylus 980 цветной",12.0,60.91,10.0,0.0
2026-08-18,13424726,Все,1883362448,2557KBD1CWFP,"Картридж DS T005 для принтеров Epson Stylus Color 900, Stylus 980 цветной",6.0,60.91,10.0,0.0
2026-08-18,13424726,Все,1883363883,4451OZRVDFR1,Картридж DS T8582 для принтеров Epson WorkForce Enterprise WF-C20590 голубой,8.0,10.61,1.0,0.0
2026-08-18,13424726,Все,1883364247,4457IZXDFW1S,Картридж DS T8873 для принтеров Epson WorkForce Enterprise WF-C17590 пурпурный,8.0,6.77,1.0,0.0
2026-08-18,13424726,Все,1883364656,0940LBCUEUFZ,"Картридж DS T0542 для принтеров Epson Stylus Photo R1800, Stylus Photo R800 голубой",8.0,22.62,3.0,0.0
2026-08-18,13424726,Все,1883364700,4453RLS3NV8V,Картридж DS T8584 для принтеров Epson WorkForce Enterprise WF-C20590 желтый,8.0,7.26,1.0,0.0
2026-08-18,13424726,Все,1883365013,4465N6EPJETL,"Картридж DS T41F240 для принтеров Epson SureColor SC-T3400, SureColor T5400 голубой",8.0,8.87,1.0,0.0
2026-08-18,13424726,Все,1883365818,0941XSBV08M7,"Картридж DS T0543 для принтеров Epson Stylus Photo R1800, Stylus Photo R800 пурпурный",8.0,16.52,2.0,0.0
2026-08-18,13424726,Все,1885381502,2576PZQYHV4P,"Картридж DS T0424 для принтеров Epson Stylus C82, StylusC82N желтый",6.0,11.86,2.0,0.0
2026-08-18,13424726,Все,1885381762,3509S34A1O00,"Картридж DS T9073 для принтеров Epson WorkForce Pro 6090, WF Pro 6590 пурпурный",8.0,1.0,1.0,0.0
2026-08-18,13424726,Все,1885381908,3508FTPO3HXV,"Картридж DS T9072 для принтеров Epson WorkForce Pro 6090, WF Pro 6590 голубой",8.0,7.14,1.0,0.0
2026-08-18,19250899,от 0 до 3000,1885381910,1244WVIG0JTE,Картридж DS T0341 для принтеров Epson Stylus Photo 2100 черный,12.0,39.77,5.0,0.0
2026-08-18,13424726,Все,1885381910,1244WVIG0JTE,Картридж DS T0341 для принтеров Epson Stylus Photo 2100 черный,8.0,39.77,5.0,0.0
2026-08-18,13424726,Все,1885382037,0835CTGOZUID,"Картридж DS T020 для принтеров Epson Stylus Color 880, Stylus 880i цветной",6.0,15.72,3.0,0.0
2026-08-18,13424726,Все,1885382254,3137S5DYB6W2,"Картридж DS T1703 для принтеров Epson Expression Home XP-103, XP 203, XP207, XP-303, XP306, XP 313, XP 33, XP403 XP413 XP 423 пурпурный",8.0,8.07,1.0,0.0
2026-08-18,13424726,Все,1885382708,1245VQDYQHIL,Картридж DS T0342 для принтеров Epson Stylus Photo 2100 голубой,8.0,41.38,5.0,0.0
2026-08-18,19250899,от 0 до 3000,1885382950,2587WIUD3MVC,"Картридж DS T0601 для принтеров Epson Stylus C68, Stylus C88 черный",12.0,70.04,7.0,0.0
2026-08-18,13424726,Все,1885382950,2587WIUD3MVC,"Картридж DS T0601 для принтеров Epson Stylus C68, Stylus C88 черный",8.0,70.04,7.0,0.0
2026-08-18,19250899,от 0 до 3000,1885383165,0915TYMKEH2K,Картридж DS T0879 для принтеров Epson Stylus Photo R1900 оранжевый,12.0,8.12,1.0,0.0
2026-08-18,13424726,Все,1885383165,0915TYMKEH2K,Картридж DS T0879 для принтеров Epson Stylus Photo R1900 оранжевый,8.0,8.12,1.0,0.0
2026-08-18,13424726,Все,1885383247,2588TCPCGHFP,"Картридж DS T0602 для принтеров Epson Stylus C68, Stylus C88 голубой",8.0,19.0,3.0,0.0
2026-08-18,13424726,Все,1885383395,2589GWG9S4UV,"Картридж DS T0603 для принтеров Epson Stylus C68, Stylus C88 пурпурный",8.0,36.22,4.0,0.0
2026-08-18,19250899,от 0 до 3000,1885383491,5274V61MB7T1,Картридж DS 478XL для принтеров Epson Expression XP 15000 красный,12.0,19.98,2.0,0.0
