sku,offer_id,name,campaign,bid_now,qty_180d,revenue_180d,qty_90d,ad_spend_july,ad_revenue_july,organic_pct,ceiling,margin_pct,bid_new,group
873319626,4124,"Картриджи PFI-320 для принтеров Canon iPF TM-200, iPF TM 205",от 10000 до 500 тыс,14.3,4,182792,3,147,0,100.0,977.2,23.6,43,B. продаёт сама
930623091,2246,"Картриджи CE340A-CE343A для принтеров HP LJ 700 M775dn, M775",от 10000 до 500 тыс,14.3,5,182143,4,5,45066,49.0,779.8,22.6,43,A. реклама тянет
930623091,2246,"Картриджи CE340A-CE343A для принтеров HP LJ 700 M775dn, M775",Эксперимент1,9.9,5,182143,4,40,0,49.0,779.8,22.6,30,A. реклама тянет
873313644,3584,"Картриджи PFI-107 для принтеров Canon iPF-670, iPF680",Эксперимент1,11.0,10,181058,3,74,0,,481.5,26.3,33,C. в июле не продавалась
873313644,3584,"Картриджи PFI-107 для принтеров Canon iPF-670, iPF680",от 10000 до 500 тыс,16.5,10,181058,3,21,0,,481.5,26.3,50,C. в июле не продавалась
863431671,0358,Картриджи Q6000A-Q6003A для принтеров HP Color LaserJet 1600,от 10000 до 500 тыс,13.2,9,179941,7,765,65172,0.0,415.9,25.2,40,A. реклама тянет
930631319,2983,Картриджи 106R03745-106R03748 для принтеров Xerox VersaLink ,Эксперимент1,8.8,11,179590,4,50,45644,0.0,456.2,25.2,26,A. реклама тянет
930621173,2769,"Картриджи TK-8345 для принтеров Kyocera TASKalfa 2552ci, TAS",Эксперимент1,12.1,13,178320,6,175,0,100.0,420.4,26.3,36,B. продаёт сама
873319928,3807,"Картриджи W2120X-W2123X для принтеров HP Color LJ M554 dn, L",Эксперимент1,9.9,13,175755,5,14,0,100.0,307.9,26.2,30,B. продаёт сама
873319928,3807,"Картриджи W2120X-W2123X для принтеров HP Color LJ M554 dn, L",от 10000 до 500 тыс,16.5,13,175755,5,54,0,100.0,307.9,26.2,50,B. продаёт сама
2536598937,6297,"Картриджи BPGT20BA-BPGT20YA для принтеров Sharp BP-10C20EU, ",Эксперимент1,11.0,9,173082,7,0,0,100.0,617.0,26.2,33,B. продаёт сама
2536598937,6297,"Картриджи BPGT20BA-BPGT20YA для принтеров Sharp BP-10C20EU, ",от 10000 до 500 тыс,14.3,9,173082,7,48,0,100.0,617.0,26.2,43,B. продаёт сама
874377496,4226,"Фотобарабан DR-241CL DU для принтеров Brother DCP-9020cdw, H",Эксперимент1,11.0,64,169954,14,56,0,,88.9,32.6,31,C. в июле не продавалась
1658970308,5521,"Картридж для Canon i-SENSYS MF275dw, LBP120, LBP122dw, MF270",от 2000 до 5000,19.8,73,166839,24,0,0,82.0,68.1,24.0,24,B. продаёт сама
863431665,0371,"Картриджи CE320A-CE323A для принтеров cm1415fn, cp1525n",Эксперимент1,8.8,19,161973,6,98,0,100.0,207.5,27.4,26,B. продаёт сама
863431665,0371,"Картриджи CE320A-CE323A для принтеров cm1415fn, cp1525n",от 5000 до 10000,13.2,19,161973,6,26,0,100.0,207.5,27.4,40,B. продаёт сама
1611110080,5500,"Картриджи 842451 - 842454 для принтеров Ricoh IM C2500, IM-C",от 10000 до 500 тыс,14.3,13,156452,12,293,39073,41.0,504.1,26.8,43,A. реклама тянет
1611110080,5500,"Картриджи 842451 - 842454 для принтеров Ricoh IM C2500, IM-C",Эксперимент1,9.9,13,156452,12,164,0,41.0,504.1,26.8,30,A. реклама тянет
930623001,3208,Картриджи CF360A-CF363A для принтеров HP Color LaserJet Ente,Вне РК — спрос без рекламы (08.08),15.0,9,154696,3,0,0,100.0,210.3,26.3,45,B. продаёт сама
1851963195,5824,"Фотобарабан W2004A для принтеров HP Color LJ M751, LJ M776 ч",Эксперимент1,11.0,14,153046,5,72,12405,0.0,266.4,27.0,33,A. реклама тянет
1851963195,5824,"Фотобарабан W2004A для принтеров HP Color LJ M751, LJ M776 ч",от 10000 до 500 тыс,15.4,14,153046,5,14,0,0.0,266.4,27.0,46,A. реклама тянет
2909396923,6612,Фотобарабан + картридж DR-421CL+TN-423 для принтеров Brother,от 10000 до 500 тыс,15.4,6,152610,4,6,0,100.0,576.3,25.3,46,B. продаёт сама
1659417880,5530,"Картридж W1510X для принтеров HP LaserJet Pro 4003dn, LJ Pro",от 2000 до 5000,15.4,48,151060,43,0,0,,118.0,30.7,41,C. в июле не продавалась
1659417880,5530,"Картридж W1510X для принтеров HP LaserJet Pro 4003dn, LJ Pro",Эксперимент1,9.9,48,151060,43,8,0,,118.0,30.7,30,C. в июле не продавалась
