nm_id;артикул;наша_цена_покупателя;цена_продающегося_родственника;отклонение_%;чистая_₽;маржа_%
1003706212;64092;2097.0;3355.0;-37;724.74;29.1
967517067;55521;2581.0;4174.0;-38;499.76;16.3
200166473;10441;2579.0;4136.0;-38;573.23;18.71
200166488;10443;2579.0;4136.0;-38;573.23;18.71
200166489;10442;2579.0;4136.0;-38;573.23;18.71
1003484349;48871;1904.0;3053.0;-38;665.33;29.42
264401068;1530;911.0;1483.0;-39;374.82;41.1
199571931;07772;4916.0;8035.0;-39;795.27;12.81
199565824;00748;1480.0;2476.0;-40;313.13;19.72
1003381824;39091;2160.0;3601.0;-40;678.09;26.42
216422520;00749;1480.0;2476.0;-40;313.13;19.72
199569731;13723;2032.0;3438.0;-41;318.68;13.2
216356566;37448;10648.0;18346.0;-42;5830.16;43.91
181105006;0109;3310.0;5987.0;-45;575.53;14.64
