внешний код;модель ТК;медиана чиповых;цена молчуна;доля;поставщик;название;остаток
0800;177LC;208;96;0.46;"ООО ""КОЛОРТЕК РУС""";Картридж HP 177 Light Cyan CT;25.0
1446;CLI-471XLBK;159;73;0.46;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-471XL PIXMA MG5740/6840/7740 Black ;329.0
2401;TK-5270C;1134;525;0.46;"ООО ""КВК ТРЕЙД""";Картридж Kyocera TK5270 EcoSys-M6230/P6230/M6630/P6630 6K ;235.0
2402;TK-5270M;1134;525;0.46;"ООО ""КВК ТРЕЙД""";Картридж Kyocera TK5270 EcoSys-M6230/P6230/M6630/P6630 6K ;243.0
2403;TK-5270Y;1134;525;0.46;"ООО ""КВК ТРЕЙД""";Картридж Kyocera TK5270 EcoSys-M6230/P6230/M6630/P6630 6K ;250.0
4159;TL-5120H;1341;615;0.46;ИП Яхин Рустам Ильфирович (Спринт);Картридж Sprint SP-PT-TL-5120H 6k для Pantum совместимый;138.0
4159;TL-5120H;1341;615;0.46;"ООО ""Солюшнс принт"" МСК";Картридж Sprint SP-PT-TL-5120H 6k для Pantum совместимый;1245.0
0596;LC-1100C;189;88;0.47;"ООО ""КОМПАНИЯ БЛОССОМ""";Blossom BS-LC1100/980C Струйный картридж для Brother LC11/;44.0
0597;LC-1100M;189;88;0.47;"ООО ""КОМПАНИЯ БЛОССОМ""";Blossom BS-LC1100/980M Струйный картридж для Brother LC11/;48.0
0819;CLI-451C;207;97;0.47;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-CLI-451XL-C) для Canon PIXMA iP7240/;461.0
0820;CLI-451M;207;97;0.47;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-CLI-451XL-M) для Canon PIXMA iP7240/;491.0
1219;LC525XLC;150;71;0.47;"ООО ""ОДИССЕЙ"" WB";Картридж для Brother LC525XLC DCP J100/J105/J200 Cyan AQUA;120.0
1220;LC525XLM;150;71;0.47;"ООО ""ОДИССЕЙ"" WB";Картридж для Brother LC525XLM DCP J100/J105/J200 Magenta A;112.0
1233;LC985BK;180;84;0.47;"ООО ""КВК ТРЕЙД"" OEM";Картридж BROTHER LC985BK  black 28 ml SuperFine;18.0
1450;CLI-471XLY;159;75;0.47;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-471XL PIXMA MG5740/6840/7740 Yellow;319.0
2400;TK-5270BK;1294;603;0.47;"ООО ""КВК ТРЕЙД""";Картридж Kyocera TK5270 EcoSys-M6230/P6230/M6630/P6630 8K ;348.0
3047;CLI-481XXLBK;450;212;0.47;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-481XXL PIXMA TS6140/7540/8240 Black;232.0
0237;TK-1140;653;312;0.48;"ООО ""ОДИССЕЙ"" WB";Картридж для Kyocera TK1140 FS-1035MFP/1135MFP 7.2K White ;18.0
0297;T0801;203;98;0.48;"ООО ""ПОЗИТИВ""";Струйный картридж Sakura C13T08014011 (T0801) для Epson Ep;49.0
0301;T0805;183;88;0.48;"ООО ""ОДИССЕЙ"" WB";Картридж для Epson T0805 Stylus RX560/RX585/R285/R360/PX65;1.0
0822;CLI-451GY;207;99;0.48;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-CLI-451XL-GY) для Canon PIXMA MG6340;172.0
1447;CLI-471XLC;159;76;0.48;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-471XL PIXMA MG5740/6840/7740 Cyan A;150.0
3049;CLI-481XXLM;445;214;0.48;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-481XXL PIXMA TS6140/7540/8240 Magen;186.0
0210;CE312A;682;335;0.49;"ООО ""ТОНЕРСТОР""";Тонер-картридж Smart Graphics CE312A, CF352A, 729Y для HP ;397.0
0819;CLI-451C;207;102;0.49;"ООО ""КВК ТРЕЙД"" OEM";Картридж Canon CLI-451XL PIXMA iP7240/MG6340 Cyan SuperFin;65.0
0820;CLI-451M;207;102;0.49;"ООО ""КВК ТРЕЙД"" OEM";Картридж Canon CLI-451XL PIXMA iP7240/MG6340 Magenta Super;239.0
