account,sku,offer_id,name,campaign,bid_now,ceiling,margin_pct,qty_90d,revenue_90d,reason
oz_acc2,1873178022,0718RN9OS08K,"Картриджи DS 718 для принтеров Canon i-SENSYS LBP7200Cdn, LB",5000-10000,12.0,187.7,24.1,0,0,маржа ниже KPI
oz_acc2,1873178440,1460BRUWN0P3,"Картридж DS T1361Bk для принтеров Epson K101, K201, K301 чер",от 0 до 3000,12.0,10.6,27.1,2,1920,ставка выше потолка
oz_acc2,1873178593,4170XTFCBVX7,"Картридж DS ERC09B для принтеров Epson HX-20, M-160, M 163, ",от 0 до 3000,11.0,9.5,26.2,2,2737,ставка выше потолка
oz_acc2,1873178617,2392VOFXKD57,"Картриджи DS TN-423 для принтеров Brother DCP-L8410CDW, HL-L",Все,8.0,42.2,23.4,3,22456,маржа ниже KPI
oz_acc2,1873178843,0734I84XSJT0,"Картридж DS 106R02183 для принтеров Xerox Phaser 3010, Phase",Все,8.0,17.5,24.2,0,0,маржа ниже KPI
oz_acc2,1873178843,0734I84XSJT0,"Картридж DS 106R02183 для принтеров Xerox Phaser 3010, Phase",от 0 до 3000,12.0,17.5,24.2,0,0,маржа ниже KPI
oz_acc2,1873179112,4283IVFYA6R2,Картриджи DS W2210A-W2213A для принтеров HP LJ Pro Color M25,Все,8.0,89.5,24.9,0,0,маржа ниже KPI
oz_acc2,1873179260,5495SW2CQ3DI,"Картридж DS W1540A для принтеров HP LaserJet Tank 1502w, LJ ",Все,8.0,1.6,6.9,0,0,маржа ниже KPI
oz_acc2,1873179260,5495SW2CQ3DI,"Картридж DS W1540A для принтеров HP LaserJet Tank 1502w, LJ ",от 0 до 3000,12.0,1.6,6.9,0,0,маржа ниже KPI
oz_acc2,1873179404,5378VCCJI4SC,"Картриджи DS 069H для принтеров Canon i-SENSYS LBP-673Cdw, M",Все,8.0,260.3,24.2,0,0,маржа ниже KPI
oz_acc2,1873179404,5378VCCJI4SC,"Картриджи DS 069H для принтеров Canon i-SENSYS LBP-673Cdw, M",10000-500000,12.0,260.3,24.2,0,0,маржа ниже KPI
oz_acc2,1873179583,4824GMMUPLMK,Фотобарабан DS A7U40TD для принтеров Konica Minolta Bizhub 3,Все,8.0,311.1,24.9,0,0,маржа ниже KPI
oz_acc2,1873179632,0894HM2PG07T,Картридж DS 655BK для принтеров HP DeskJet Ink Advantage 462,от 0 до 3000,10.0,9.2,26.0,1,879,ставка выше потолка
oz_acc2,1873179839,5238AEKJH3LI,"Картриджи DS 069 для принтеров Canon i-SENSYS LBP673Cdw, MF7",Все,8.0,44.1,23.6,0,0,маржа ниже KPI
oz_acc2,1873179839,5238AEKJH3LI,"Картриджи DS 069 для принтеров Canon i-SENSYS LBP673Cdw, MF7",5000-10000,12.0,44.1,23.6,0,0,маржа ниже KPI
oz_acc2,1873179986,2729SO85KJ46,"Картриджи DS 46508733-46508736 для принтеров OKI C332dn, MC3",Все,8.0,194.5,24.2,0,0,маржа ниже KPI
oz_acc2,1873179986,2729SO85KJ46,"Картриджи DS 46508733-46508736 для принтеров OKI C332dn, MC3",10000-500000,12.0,194.5,24.2,0,0,маржа ниже KPI
oz_acc2,1873180019,0927X13JJGYZ,"Картридж DS T2621XL для принтеров Epson Expression XP-510, X",Все,7.0,6.4,20.9,17,13132,маржа ниже KPI
oz_acc2,1873180019,0927X13JJGYZ,"Картридж DS T2621XL для принтеров Epson Expression XP-510, X",от 0 до 3000,15.0,6.4,20.9,17,13132,маржа ниже KPI
oz_acc2,1873180111,0823NJK859NR,"Картридж DS PGI-450PGBK для принтеров Canon Pixma iP7240, Pi",от 0 до 3000,11.0,9.5,27.6,1,897,ставка выше потолка
oz_acc2,1873180128,1458HA6NKXG9,"Картридж DS PGI-470XLBk для принтеров Canon Pixma MG5740, Pi",Все,11.0,7.1,24.8,10,7109,маржа ниже KPI
oz_acc2,1873180128,1458HA6NKXG9,"Картридж DS PGI-470XLBk для принтеров Canon Pixma MG5740, Pi",от 0 до 3000,13.0,7.1,24.8,10,7109,маржа ниже KPI
oz_acc2,1873180317,0728V0GUV9QZ,Картриджи DS CF210X-CF213A для принтеров HP LJ Pro Color M25,Все,8.0,170.8,23.8,0,0,маржа ниже KPI
oz_acc2,1873180568,3974CHBAMIT1,"Картриджи DS 47095705-47095708 для принтеров OKI Data C824, ",Все,8.0,219.3,24.3,0,0,маржа ниже KPI
oz_acc2,1873180679,1380J789BERY,"Картридж DS CF233A для принтеров HP LaserJet Ultra M106w, LJ",Все,8.0,19.8,22.8,0,0,маржа ниже KPI
oz_acc2,1873180679,1380J789BERY,"Картридж DS CF233A для принтеров HP LaserJet Ultra M106w, LJ",от 0 до 3000,12.0,19.8,22.8,0,0,маржа ниже KPI
oz_acc2,1873180789,5320FPQ08H0E,"Картриджи DS №72 для принтеров HP Designjet T1100, DJ-T1120,",Все,8.0,324.9,23.9,2,30722,маржа ниже KPI
oz_acc2,1873180789,5320FPQ08H0E,"Картриджи DS №72 для принтеров HP Designjet T1100, DJ-T1120,",5000-10000,12.0,324.9,23.9,2,30722,маржа ниже KPI
oz_acc2,1873180789,5320FPQ08H0E,"Картриджи DS №72 для принтеров HP Designjet T1100, DJ-T1120,",10000-500000,12.0,324.9,23.9,2,30722,маржа ниже KPI
oz_acc2,1873180845,2161DCU5LL9Y,"Картриджи DS CF540X-CF543X для принтеров HP LaserJet M254dw,",Все,9.0,168.4,23.7,1,8566,маржа ниже KPI
oz_acc2,1873181355,1267T4BWHS9I,"Картридж DS T0796 для принтеров Epson Stylus Photo 1400, Sty",Все,6.0,7.1,23.9,0,0,маржа ниже KPI
oz_acc2,1873181371,2637FMYS5LBA,Картриджи DS TN-221 для принтеров Konica Minolta Bizhub C227,Все,8.0,305.4,22.5,0,0,маржа ниже KPI
oz_acc2,1873181433,0587XEWLWPNL,"Картридж DS LC-900BK для принтеров Brother DCP-110C, DCP 115",Все,8.0,6.8,22.8,1,841,маржа ниже KPI
oz_acc2,1873181433,0587XEWLWPNL,"Картридж DS LC-900BK для принтеров Brother DCP-110C, DCP 115",от 0 до 3000,12.0,6.8,22.8,1,841,маржа ниже KPI
oz_acc2,1873181548,2789MDV0BUBJ,"Картриджи DS 45862849-45862852 для принтеров OKI MC 873, MC8",Все,8.0,648.0,21.9,3,75759,маржа ниже KPI
oz_acc2,1873181685,2887ZMI3BSHY,"Картриджи DS C-EXV49 для принтеров Canon iR Advance C3320, i",Все,8.0,306.3,23.7,0,0,маржа ниже KPI
oz_acc2,1873182098,1156IWYBCN0S,"Картриджи DS CF360X-CF363X для принтеров HP Color LJ M552dn,",Все,8.0,527.4,24.4,0,0,маржа ниже KPI
oz_acc2,1873182181,1262IE34VQEN,"Картридж DS T0791 для принтеров Epson Stylus Photo 1400, Sty",Все,9.0,3.0,12.9,3,2269,маржа ниже KPI
oz_acc2,1873182181,1262IE34VQEN,"Картридж DS T0791 для принтеров Epson Stylus Photo 1400, Sty",от 0 до 3000,13.0,3.0,12.9,3,2269,маржа ниже KPI
oz_acc2,1873182186,1167N8VPL36A,Картриджи DS CF400X-CF403X для принтеров HP Color LJ Pro M25,Все,8.0,168.4,23.7,0,0,маржа ниже KPI
oz_acc2,1873182186,1167N8VPL36A,Картриджи DS CF400X-CF403X для принтеров HP Color LJ Pro M25,5000-10000,12.0,168.4,23.7,0,0,маржа ниже KPI
oz_acc2,1873182235,0595H8BOCWC2,"Картридж DS LC-1100BK для принтеров Brother DCP-145C, DCP 16",Все,9.0,6.3,22.4,1,663,маржа ниже KPI
oz_acc2,1873182235,0595H8BOCWC2,"Картридж DS LC-1100BK для принтеров Brother DCP-145C, DCP 16",от 0 до 3000,13.0,6.3,22.4,1,663,маржа ниже KPI
