external_code;продаж_90д_acc1;продаж_90д_acc2;продаж_90д_всего;наш_объём_л;внеш_объём_л;лишних_л_на_единицу;лишних_л_за_период;наш_ДхШхВ;внеш_ДхШхВ;число_источников;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
0989;0;0;0;11.1;2.753;8.347;0.0;37.0x20.0x15.0;30.5x9.5x9.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r560;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0990;0;0;0;11.1;2.753;8.347;0.0;37.0x20.0x15.0;30.5x9.5x9.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r559;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0993;0;0;0;11.1;2.753;8.347;0.0;37.0x20.0x15.0;30.5x9.5x9.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r557;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0994;0;0;0;11.1;2.753;8.347;0.0;37.0x20.0x15.0;30.5x9.5x9.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r556;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0995;0;0;0;11.1;2.753;8.347;0.0;37.0x20.0x15.0;30.5x9.5x9.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r555;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0997;0;0;0;11.1;6.91;4.19;0.0;37.0x20.0x15.0;33.1x16.7x12.5;2;4;4;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r537;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0998;0;0;0;11.1;2.786;8.314;0.0;37.0x20.0x15.0;34.5x9.5x8.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r103;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0999;0;0;0;11.1;2.786;8.314;0.0;37.0x20.0x15.0;34.5x9.5x8.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r102;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1000;0;0;0;11.1;2.786;8.314;0.0;37.0x20.0x15.0;34.5x9.5x8.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r101;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1049;0;0;0;11.1;10.134;0.966;0.0;37.0x20.0x15.0;34.5x23.5x12.5;4;9;7;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r877;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
