external_code;наш_ДхШхВ_см;предлагаемый_Д_мм;предлагаемый_Ш_мм;предлагаемый_В_мм;предлагаемый_ДхШхВ_см;запись_в_прайсе_дословно;взят_источник;источников_всего;подтверждают_этот_размер;все_источники;источники_расходятся_на_мм;сверка_справочных_макс_отклонение_мм;вариантов_короба;наш_объём_л;предлагаемый_объём_л;разница_объёма_л;продаж_в_окне_шт;лишних_л_за_период;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
3074;15.0x10.0x8.0;230.0;120.0;40.0;23.0x12.0x4.0;CS-F9J68A;cactus;2;2;cactus,sakura;0.0;solutionsprint:115.0;1;1.2;1.104;0.096;0;0.0;3;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1853;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3076;15.0x10.0x8.0;155.0;90.0;40.0;15.5x9.0x4.0;CS-B3P22A;cactus;2;2;cactus,sakura;0.0;solutionsprint:57.0;1;1.2;0.558;0.642;0;0.0;6;7;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1858;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3149;37.0x20.0x15.0;330.0;120.0;120.0;33.0x12.0x12.0;PR-TN241C;cactus;2;1;cactus,sakura;16.0;solutionsprint:52.0;3;11.1;4.752;6.348;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2091;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3151;37.0x20.0x15.0;330.0;120.0;120.0;33.0x12.0x12.0;PR-TN241Y;cactus;2;1;cactus,sakura;16.0;solutionsprint:52.0;3;11.1;4.752;6.348;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2088;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3184;20.0x10.0x10.0;45.0;130.0;45.0;4.5x13.0x4.5;CS-T6732C;cactus;2;2;cactus,sakura;15.0;нет данных;3;2.0;0.263;1.532;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3357;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3185;10.0x8.0x5.0;130.0;45.0;45.0;13.0x4.5x4.5;SIC13T67334A;sakura;2;2;cactus,sakura;7.5;нет данных;2;0.4;0.263;0.137;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r218;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3186;20.0x10.0x10.0;130.0;45.0;45.0;13.0x4.5x4.5;SIC13T67344A;sakura;2;2;cactus,sakura;7.5;нет данных;2;2.0;0.263;1.737;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r219;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3400;37.0x20.0x15.0;327.0;114.0;101.0;32.7x11.4x10.1;SACRG054K;sakura;2;1;cactus,sakura;19.0;нет данных;2;11.1;3.765;7.335;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1114;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3401;37.0x20.0x15.0;328.0;114.0;102.0;32.8x11.4x10.2;SACRG054C;sakura;2;1;cactus,sakura;19.0;нет данных;2;11.1;3.814;7.286;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1115;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3402;37.0x20.0x15.0;324.0;114.0;103.0;32.4x11.4x10.3;SACRG054M;sakura;2;1;cactus,sakura;19.0;нет данных;2;11.1;3.804;7.296;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1116;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
