external_code;article;название;источник_возврата
3099;CS-VLC500BK, CS-VLC500BKRU, GP_106R03862_BK, NV-106R03880BK;Картридж лазерный Cactus CS-VLC500BK 106R03880 черный (5000стр.) для Xerox VersaLink C500/;
3101;CS-VLC500M, CS-VLC500MRU, GP_106R03860_M, NV-106R03878M;Картридж лазерный Cactus CS-VLC500M 106R03878 пурпурный (2400стр.) для Xerox VersaLink C50;
3102;CS-VLC500Y, CS-VLC500YRU, GP_106R03861_Y, NV-106R03879Y;Картридж лазерный Cactus CS-VLC500Y 106R03879 желтый (2400стр.) для Xerox VersaLink C500/C;
3114;BS-LC669XLBK, SP232623, SP232623_MSK;Blossom BS-LC669XLBK Картридж для Brother MFCJ2320/2720 черный (2400стр);
3115;BS-LC665XLC, SP232624, SP232624_MSK;Картридж LC665XL iC SP;
3116;BS-LC665XLM, SP232625, SP232625_MSK;Blossom BS-LC665XLM Картридж для Brother MFCJ2320/2720 пурпурный (1200стр);
3117;BS-LC665XLY, SP232626, SP232626_MSK;Blossom BS-LC665XLY Картридж для Brother MFCJ2320/2720 желтый (1200стр);
3121;14134;Картридж Colortek Canon FX-7;
3123;135760;Картридж Colortek Xerox 106R00672 Cyan (6250);
3124;135761;Картридж Colortek Xerox 106R00673 Magenta (6250);
3125;SP50780, SP50780_MSK;Цветной тонер картридж 106R00670/106R00674 Y SP;
3127;16312;Картридж Colortek Xerox 106R01477 Cyan (6140);
3128;16313;Картридж Colortek Xerox 106R01478 Magenta (6140);
3129;16314;Картридж Colortek Xerox 106R01479 Yellow (6140);
3130;16311;Картридж Colortek Xerox 106R01480 Black (6140);
3132;124151, BS-CLI-8R;Blossom BS-CLI-8R Струйный картридж для Canon PIXMA PRO-9000, красный;
3133;10317-1, BS-T0599, SF-T0599LGy;Blossom BS-T0599 Струйный картридж для Epson R2400 Light Gray;
3135;118114;Картридж струйный Colortek Epson T1701 Black;
3136;118115;Картридж струйный Colortek Epson T1702 Cyan;
3137;118116;Картридж струйный Colortek Epson T1703 Magenta;
3138;118117;Картридж струйный Colortek Epson T1704 Yellow;
3153;1424, TC-CEPA;TC-CEPA Картридж T2 для Canon LBP440/HP LaserJet 5L/6L/3100/3150 (C3906A) (2500 стр.);
3154;1395-1;Картридж Colortek HP 92298A;
3157;;Картридж 51B00A0;
3158;131026, BS-09004078;Картридж Colortek Oki 09004078/52114501 (B6200/6250/6300) 10k;
3159;116764;Картридж Colortek Samsung MLT-D307S;
3160;150269, BS-X106R01083;Картридж Colortek Xerox 106R01083 Magenta (6300);
3161;BS-X106R01082;Картридж 106R01082 голубой;
3162;BS-X106R01084;Картридж 106R01084 желтый;
3163;BS-X106R01085;Картридж 106R01085 черный;
3166;137305;Картридж Colortek Xerox 106R02232 Black (6600/6605);
3200;NV-50F2X00;Картридж NVP совместимый NV-50F2X00;
3202;145450, DFRXVL7025020, DFRXVL7025040, GP_106R03395;Тонер-картридж БУЛАТ s-Line 106R03395 для Xerox VersaLink B7025 (Чёрный, 15500 стр.);
3204;NV-6W/8W;Картридж NVP совместимый Oki 6W/8W для 6W/8W;
