external_code;article;название;источник_возврата
4941;BFLX0CS310080, BS-LX70C0Z50;Картридж Lexmark 70C0Z50 для CS310/410/510/317/417/517/2132, drum, color, Blossom;
4943;BS-LxC925X72G;Картридж Lexmark C925X72G для Lexmark Lexmark Optra C925de/dte/X925de drum black, 30000 ст;
4944;BS-LxC925X73G;Картридж Lexmark C925X73G для Lexmark Lexmark Optra C925de/dte/X925de drum cyan, 30000 стр;
4945;BS-LxC925X74G;Картридж Lexmark C925X74G для Lexmark Lexmark Optra C925de/dte/X925de drum magenta 30000 с;
4946;BS-LxC925X75G;Картридж Lexmark C925X75G для Lexmark Lexmark Optra C925de/dte/X925de drum yellow 30000 ст;
4948;BS-LxX850H22G;Картридж Lexmark X850H22G для X850e/X852e/X854e, drum, 48000 стр., Blossom;
4949;BS-BrDR7000;Картридж Brother DR-7000 для HL-1650/1850/5030/DCP8020/8025/MFC8420/8820,drum, 20000 стр.,;
4956;BS-C-T01Bk;Картридж Canon T01Bk для IP C600/700/800, 56000стр.black, Blossom;
4957;BS-C-T01C;Картридж Canon T01C для IP C600/700/800, 39500стр.cyan, Blossom;
4958;BS-C-T01M;Картридж Canon T01M для IP C600/700/800, 39500стр.magenta, Blossom;
4959;BS-C-T01Y;Картридж Canon T01Y для IP C600/700/800, 39500стр.yellow, Blossom;
4962;BS-CL-52, BS-CL52;Струйный картридж Canon CL-52 для Pixma IP6210/6220/6310, CL, 0,71K, Blossom;
4972;BS-CLI-8G;Blossom BS-CLI-8G Струйный картридж для Canon PIXMA PRO-9000, зеленый;
4973;BS-PGI-72C;Blossom BS-PGI-72C Струйный картридж для Canon Pixma PRO-10/ PRO-10S, голубой;
4974;BS-PGI-72CO;Blossom BS-PGI-72CO Струйный картридж для Canon Pixma PRO-10/ PRO-10S, оптимизатор глянца;
4975;BS-PGI-72GY;Blossom BS-PGI-72GY Струйный картридж для Canon Pixma PRO-10/ PRO-10S, серый;
4976;BS-PGI-72M;Blossom BS-PGI-72M Струйный картридж для Canon Pixma PRO-10/ PRO-10S, пурпурный;
4977;BS-PGI-72MBK;Blossom BS-PGI-72MBK Струйный картридж для Canon Pixma PRO-10/ PRO-10S, матовый черный;
4978;BS-PGI-72PBK;Blossom BS-PGI-72PBK Струйный картридж для Canon Pixma PRO-10/ PRO-10S, фото черный;
4979;BS-PGI-72PC;Blossom BS-PGI-72PC Струйный картридж для Canon Pixma PRO-10/ PRO-10S, фото голубой;
4980;BS-PGI-72PM;Blossom BS-PGI-72PM Струйный картридж для Canon Pixma PRO-10/ PRO-10S, фото пурпурный;
4981;BS-PGI-72R;Blossom BS-PGI-72R Струйный картридж для Canon Pixma PRO-10/ PRO-10S, красный;
4982;BS-PGI-72Y;Blossom BS-PGI-72Y Струйный картридж для Canon Pixma PRO-10/ PRO-10S, желтый;
4984;BS-PGI-9CL;Blossom BS-PGI-9CL Струйный картридж для Сanon Pixma PRO 9500, прозрачный;
4985;COM-PF-05;Печатающая головка PF-05 для Canon iPF6400/6400s/6450/8400/8400s/9400/9400s;
4986;BS-PF-04;Печатающая головка Blossom BS-PF-04 для Canon PF650/655/750/755/760/765/F670/680/685/770/7;
4987;BS-T7601;Blossom BS-T7601 Картридж для Epson SureColor SC-P600, фото черный;
4988;BS-T7602;Blossom BS-T7602 Картридж для Epson SureColor SC-P600, голубой;
4989;BS-T7603;Blossom BS-T7603 Картридж для Epson SureColor SC-P600, пурпурный;
4990;BS-T7604;Blossom BS-T7604 Картридж для Epson SureColor SC-P600, желтый;
4991;BS-T7605;Blossom BS-T7605 Картридж для Epson SureColor SC-P600, светло голубой;
4992;BS-T7606;Blossom BS-T7606 Картридж для Epson SureColor SC-P600, светло пурпурный;
4993;BS-T7607;Blossom BS-T7607 Картридж для Epson SureColor SC-P600, серый;
4994;BS-T7608;Blossom BS-T7608 Картридж для Epson SureColor SC-P600, черный матовый;
4995;BS-T7609;Blossom BS-T7609 Картридж для Epson SureColor SC-P600, светло серый;
5002;BS-T8781;Blossom BS-T8781 Картридж для Epson WorkForce Pro WF-R5190DTW/WF-R5690DTWF, black, 75000 с;
5003;BS-T8782;Blossom BS-T8782 Картридж для Epson WorkForce Pro WF-R5190DTW/WF-R5690DTWF, cyan, 50000 ст;
5004;BS-T8783;Blossom BS-T8783 Картридж для Epson WorkForce Pro WF-R5190DTW/WF-R5690DTWF, magenta, 50000;
5005;BS-T8784;Blossom BS-T8784 Картридж для Epson WorkForce Pro WF-R5190DTW/WF-R5690DTWF, yellow, 50000 ;
5012;BS-T3240;Струйный картридж Epson T3240/C13T32404010 для SC-P400, GO, 3,35К, Blossom;
5013;BS-T3241;Струйный картридж Epson T3241/C13T32414010 для SC-P400, PBk, 0,98К,  Blossom;
5014;BS-T3242;Картридж Blossom BS-T3242 для Epson SureColor SC-P400, голубой;
5015;BS-T3243;Струйный картридж Epson T3243/C13T32434010 для SC-P400, M, 0,98К, Blossom;
5016;BS-T3244;Струйный картридж Epson T3244/C13T32444010 для SC-P400, Y, 0,98К, Blossom;
5017;BS-T3247;Струйный картридж Epson T3247/C13T32474010 для SC-P400, R, 0,98К, Blossom;
5018;BS-T3248;Струйный картридж Epson T3248/C13T32484010 для SC-P400, MBk, 0,65К, Blossom;
5019;BS-T3249;Струйный картридж Epson T3249/C13T32494010 для SC-P400, O, 0,98К, Blossom;
5021;BS-T7541;Картридж Blossom BS-T7541 для Epson WorkForce Pro WF-8090DW/WF-8590DWF, black, 10000 стр.;
5022;BS-T7542;Картридж Blossom BS-T7542 для Epson WorkForce Pro WF-8090DW/WF-8590DWF, cyan, 7000 стр.;
5023;BS-T7543;Картридж Blossom BS-T7543 для Epson WorkForce Pro WF-8090DW/WF-8590DWF, magenta, 7000 стр.;
5024;BS-T7544;Картридж Blossom BS-T7544 для Epson WorkForce Pro WF-8090DW/WF-8590DWF, yellow, 7000 стр.;
5026;BS-T5637;Картридж Epson T5637 для Stylus Pro 7800/9800, gray, 220мл., Blossom;
5027;BS-T6735-1L;Blossom BS-T6735-1L Чернила для Epson L800/L1800, ight cyan, 1000мл.;
5028;BS-T6736-1L;Blossom BS-T6736-1L Чернила для Epson L800/L1800, ight magenta, 1000мл.;
5029;BS-T7741-1L;Blossom BS-T7741-1L Емкость с чернилами для Epson M100/M200, 1000мл;
5032;BS-C9385A;Blossom BS-C9385A (88) Струйный картридж для HP OJ Pro k550 black;
5033;BS-C9387A;Blossom BS-C9387A (88) Струйный картридж для HP OJ Pro k550 magenta;
5034;BS-CH566A;Струйный картридж HP CH566A для DesignJet 500/500plus/500ps/PS Plus/510/510ps/80, C, 0,6К,;
5035;BS-CH567A;Blossom BS-CH567A (82) Струйный картридж для HP DesignJet 500/500plus/500ps/500 PS Plus/51;
5036;BS-CH568A;Blossom BS-CH568A (82) Струйный картридж для HP DesignJet 500/500plus/500ps/500 PS Plus/51;
5037;BS-C9450A, GFHPDJ3100080;Картридж HP C9450A (70) для Designjet Z3100ps, 130 мл., серый, Blossom;
5038;BS-C9456A;Картридж HP C9456A (70) для Designjet Z3100ps, 130 мл., красный, Blossom;
5039;BS-C9459A;Картридж HP C9459A для Designjet Z3200ps, 130 мл., повышающий глянцевость, Blossom;
5040;AT-GT-53XL Bk InkBottle, BS-X4E40AE/1VV21AE;Картридж для HP GT-53XL 1VV21AE DeskJet-GT58xx/InkTank-110ser Black AQUAMARINE (Совместимы;
5042;BS-C9383A;Blossom BS-C9383A №72 Печатающая головка для Designjet T610/T620/T770/T790/T1100/T1120/T12;
5044;BS-C5019A;Печатающая головка Blossom BS-C5019A № 84 черная для HP DJ 10PS/20PS/50PS;
5045;BS-C9420A;Печатающая головка Blossom BS-C9420A №85 голубая для DesignJet 30/70/90/130;
5046;BS-C9421A;Печатающая головка Blossom BS-C9421A №85 пурпурная для DesignJet 30/70/90/130;
5047;BS-C9422A;Печатающая головка Blossom BS-C9422A №85 желтая для DesignJet 30/70/90/130;
5048;BS-C9423A;Печатающая головка Blossom BS-C9423A №85 светло-голубая для DesignJet 30/70/90/130;
5049;BS-C9424A;Печатающая головка Blossom BS-C9424A №85 светло-пурпурная для DesignJet 30/70/90/130;
5050;BS-CE017A;Печатающая головка Blossom BS-CE017A (771) для HP Z6200 Matte Black/Red;
5051;BS-CE018A;Печатающая головка Blossom BS-CE018A (771) для HP Z6200 Magenta/Yellow;
5052;BS-CE019A;Печатающая головка Blossom BS-CE019A (771) для HP Z6200 Light magenta/Light cyan;
5053;BS-CE020A;Печатающая головка Blossom BS-CE020A (771) для HP Z6200 Photo black/Light grey;
5054;BS-M-TN-222, DFKM0BZ266010;Картридж Konica Minolta TN-222 для Bizhub 266/306 black, 12000 стр., Blossom;
5055;BS-M-TN-319;Картридж Konica Minolta TN-319 для Bizhub 360, black, 29000 cтр., Blossom;
5056;BS-M-TN-319C;Картридж Konica Minolta TN-319C для Bizhub 360, cyan, 26000 cтр., Blossom;
5057;BS-M-TN-319M;Картридж Konica Minolta TN-319M для Bizhub 360, magenta, 26000 cтр., Blossom;
5058;WB TN216Y/TN319Y;Картридж для Konica Minolta TN216Y/TN319Y (A11G251/A11G250) 26K Yellow White Box(Совместим;
5060;BS-M-TN-325, BS-M-TN-325K, DFKM0BZ308020, DFKM0BZ308030;Картридж для Konica Minolta TN325/326BK Bizhub-308/308e/368/368e 24K Black White Box (Совм;
5061;BS-M-TN-610/612C, EFKM0C5500010;Картридж Konica Minolta TN-610/612C для Bizhub Pro C5500/5501/6500/6501, 25000 стр. cyan, ;
5062;BS-M-TN-610/612K, EFKM0C5500020;СРОЧНО Картридж Konica Minolta TN-610/612K для Bizhub Pro C5500/5501/6500/6501, 37400 стр.;
5063;BS-M-TN-610/612M, EFKM0C5500030;Тонер-картридж БУЛАТ s-Line TN610M для Konica Minolta bizhub Pro C5500 (Пурпурный, 23000 с;
5064;BS-M-TN-610/612Y, EFKM0C5500040;Картридж Konica Minolta TN-610/612Y для Bizhub Pro C5500/C5501/6500/6501, 25000 стр. yello;
5066;BS-M-TN-612K;Картридж Konica Minolta TN-612K для Bizhub Pro C5501/6501, black, 37400 стр.,Blossom;
5067;BS-M-TN-616K;Картридж Konica Minolta TN-616K Тонер в тубе черный для Bizhub Pro C6000/7000, 41500 стр. ;
5068;BS-M-TN-616C;Картридж Konica Minolta TN-616C Тонер в тубе голубой для Bizhub Pro C6000/7000, 41800 стр.;
5069;BS-M-TN-616M;Картридж Konica Minolta TN-616M Тонер в тубе пурпурный для Bizhub Pro C6000/7000, 41800 ст;
5070;BS-M-TN-616Y;Картридж Konica Minolta TN-616Y Тонер в тубе желтый для Bizhub Pro C6000/7000, 41800 стр. ;
5072;BS-M-TN-619C, CET141519;Тонер-картридж TN-619C/TN-620C для KONICA MINOLTA Bizhub PRESS C1060 (CET) Cyan, 1200г, CE;
5073;BS-M-TN-619M;Картридж Konica Minolta TN-619M для Konica Minolta Bizhub C1060, C1070 , magenta, 54500 ст;
5074;BS-M-TN-619Y, CET141521;Картридж Konica Minolta TN-619Y для Konica Minolta Bizhub C1060, C1070 , yellow, 71000 стр;
5075;BS-M-TN-619K, CET141518;Тонер-картридж TN-619K/TN-620K для KONICA MINOLTA Bizhub PRESS C1060 (CET) Black, 1200г, C;
5077;BS-M-TN-713C, EFKMBZC659020;Картридж Konica Minolta TN-713C для Minolta bizhub C659/759/AP C759, cyan, 33200 стр, Blos;
5078;BS-M-TN-713K, EFKMBZC659010;Картридж Konica Minolta TN-713K для Minolta bizhub C659/759/AP C759, black, 48900 стр, Blo;
5079;BS-M-TN-713M;Картридж Konica Minolta TN-713M для Minolta bizhub C659/759/AP C759, magenta, 33200 стр, B;
5080;BS-M-TN-713Y;Картридж Konica Minolta TN-713Y для Minolta bizhub C659/759/AP C759, yellow, 33200 стр, Bl;
5082;BS-M-TN-910;Картридж Konica Minolta TN-910 для Konica-Minolta bizhub Pro 920, Blossom;
5083;BS-M-TNP-49K, EFKMBZ3351010;Картридж Konica Minolta TNP-49K для Bizhub C3351/3851, black, 13000 стр.,Blossom;
5084;BS-M-TNP-49Y, EFKMBZ3351040;Тонер-картридж Konica Minolta TNP-49Y для Bizhub C3351/3851, Y, 12K, Blossom;
5085;BS-M-TNP-49M, EFKMBZ3351030;Картридж Konica Minolta TNP-49M для Bizhub C3351/3851, magenta, 12000 стр.,Blossom;
5086;BS-M-TNP-49C, EFKMBZ3351020;Картридж Konica Minolta TNP-49C для Bizhub C3351/3851, cyan, 12000 стр.,Blossom;
5088;BS-A08ER70100;Блок проявки Konica Minolta(с фотобарабаном и девелопером) Bizhub 162, 180, 210, 211, Blos;
5090;BS-M-DR-711, BS-M-DR-711K;Драм-картридж Konica Minolta DR-711 для Bizhub C654/754e/Pro, Bk, 30К, Blossom;
5091;169429, AFKMBZ3300040, BS-M-IUP16/17;Картридж Colortek Minolta IUP-16 (A63X03V) / IUP-17(A63X03W) (DU);
5092;BS-M-IUP18;Картридж Konica Minolta IUP18 для Bizhub 3320/4020 drum, black, 60000 стр.,Blossom;
5093;BS-M-IUP-23C, EFKM0C3100020;*Восстановленный* Драм-картридж БУЛАТ s-Line IUP-23C для Konica Minolta bizhub C3100P, biz;
5094;BS-M-IUP-23K, EFKM0C3100010;Картридж Konica Minolta IUP-23K для Bizhub C3100/3110 drum, black,25000 стр..,Blossom;
5095;BS-M-IUP-23M, EFKM0C3100030;Картридж Konica Minolta IUP-23M для Bizhub C3100/3110 drum, magenta, 25000 стр..,Blossom;
5096;BS-M-IUP-23Y, EFKM0C3100040;Картридж Konica Minolta IUP-23Y для Bizhub C3100/3110 drum, yellow, 25000 стр..,Blossom;
5098;BS-A0FN021, BS-Mn4650;Тонер-картридж Konica Minolta 4650 для PagePro 4650, Bk, 10K, Blossom;
5099;BS-PU-120;Blossom BS-PU-120 Блок формирования изображения для Kyocera FS-1030D/FS-1030DN, 100000 стр;
5101;139794, AFKYEM3040040, BS-DK-3150;Драм-картридж БУЛАТ s-Line DK-3150 (302NX93010) для Kyocera ECOSYS M3040idn (300000 стр.);
5102;BS-TK6725, DFKYTK7002010, LK-6725;Картридж Kyocera Mita TK-6725 для TASKalfa 7002i/8002i/9002i 70000 стр. black, Blossom;
5103;BS-43459336;Картридж OKI C3520/3530/3540/MC350/360, black,2500 стр.,Blossom;
5104;BS-43459375;Картридж OKI C3520/3530/3540/MC350/360, cyan 2500 стр.,Blossom;
5105;BS-43459374;Картридж OKI C3520/3530/3540/MC350/360, magenta 2500 стр.,Blossom;
5106;BS-43459373;Картридж OKI C3520/3530/3540/MC350/360, yellow,2500 стр.,Blossom;
5108;BFOK00C712010, BS-46507628, SG-C712 Bk 46507628, SG-C712Bk-46507628;Тонер-картридж Smart Graphics SG-C712Bk-46507628 для OKI C712, C712n, C712dn (Чёрный, 1100;
5109;BFOK00C712020, BS-46507627, SG-C712 С 46507627, SG-C712С-46507627;Тонер-картридж Smart Graphics SG-C712С-46507627 для OKI C712, C712n, C712dn (Голубой, 1150;
5110;BFOK00C712030, BS-46507626, SG-C712 M 46507626, SG-C712M-46507626;Тонер-картридж Smart Graphics SG-C712M-46507626 для OKI C712, C712n, C712dn (Пурпурный, 11;
5111;BFOK00C712040, BS-46507625, SG-C712 Y 46507625, SG-C712Y-46507625;Тонер-картридж Smart Graphics SG-C712Y-46507625 для OKI C712, C712n, C712dn (Жёлтый, 11500;
5113;BS-45396204;Картридж OKI MC770/780,toner, black, 15000 стр. ,Blossom;
5114;BS-45396203;Картридж OKI MC770/780,toner, cyan, 11500 стр. ,Blossom;
5115;BS-45396202;Картридж OKI MC770/780,toner, magenta, 11500 стр. ,Blossom;
5116;BS-45396201;Картридж OKI MC770/780,toner, yellow, 11500 стр. ,Blossom;
5118;BFOK0C8510010, BS-44059172/44059168;Картридж OKI MC851/861,toner, black, 7000 стр. ,Blossom;
5119;BFOK0C8510020, BS-44059171/44059167;Тонер-картридж БУЛАТ s-Line 44059171 для Oki MC851, MC861 (Голубой, 7300 стр.);
5120;BFOK0C8510030, BS-44059170/44059166;Тонер-картридж БУЛАТ s-Line 44059170 для Oki MC851, MC861 (Пурпурный, 7300 стр.);
5121;BFOK0C8510040, BS-44059169/44059165;Картридж OKI MC851/861,toner, yellow, 7300 стр. ,Blossom;
5123;139574, BFOK0MC873010, BS-45862848, SG-MC873/MC883Bk 45862818;Картридж OKI MC873,toner, black, 15000 стр. ,Blossom;
5124;139576, BFOK0MC873030, BS-45862846, SG-MC873/MC883M-45862815;Картридж OKI MC873,toner, magenta, 10000 стр. ,Blossom;
5125;139577, BFOK0MC873040, BS-45862845, SG-MC873/MC883Y-45862814;Картридж OKI MC873,toner, yellow, 10000 стр. ,Blossom;
5126;139575, BFOK0MC873020, BS-45862847, SG-MC873/MC883C 45862816;Картридж Colortek Oki 45862816/45862847 (MC873) Cyan;
5128;BS-44968301;Картридж OKI C301/321/331/332/511/531/MC352/362/363/562,drum, color, 20000 стр. ,Blossom;
5129;BS-46507308;Картридж OKI C612n/dn,drum, black, 30000 стр. ,Blossom;
5130;BS-46507307;Картридж OKI C612n/dn,drum, cyan, 30000 стр. ,Blossom;
5131;BS-46507306;Картридж OKI C612n/dn,drum, magenta, 30000 стр. ,Blossom;
5132;BS-46507305;Картридж OKI C612n/dn,drum, yellow, 30000 стр. ,Blossom;
5134;BS-43913807;Картридж OKI C710/711,drum, cyan, 20000 стр. ,Blossom;
5135;BS-43913806;Картридж OKI C710/711,drum, magenta, 20000 стр. ,Blossom;
5136;BS-43913805;Картридж OKI C710/711,drum, yellow, 20000 стр. ,Blossom;
5139;BS-45395704;* СПБ* Картридж OKI MC760/770/780,drum, black, 30000 стр. ,Blossom;
5140;BS-45395703;Картридж OKI MC760/770/780,drum, cyan, 30000 стр. ,Blossom;
5141;BS-45395702;Картридж OKI MC760/770/780,drum, magenta, 30000 стр. ,Blossom;
5142;BS-45395701;Картридж OKI MC760/770/780,drum, yellow, 30000 стр. ,Blossom;
5144;BS-44844469, EFOK0MC853040, SG-MC853Y DRUM NEW, SG-MC853Y-DRUM-NEW;Драм-картридж Smart Graphics SG-MC853Y-DRUM-NEW для Oki MC853, MC873, MC883 (Жёлтый, 30000;
5146;BS-44844470, EFOK0MC853030, SG-MC853M DRUM NEW, SG-MC853M-DRUM-NEW;Драм-картридж Smart Graphics SG-MC853M-DRUM-NEW для Oki MC853, MC873, MC883 (Пурпурный, 30;
5149;BS-DQ-TU15E;Картридж Panasonic DP-2310/3010/2330/3030 (DQ-TU15E),Blossom;
5150;BS-DQ-TUJ5K;Картридж Panasonic DQ-TUJ5K  для DP1515/1515P, 5000 стр.,Blossom;
5156;EFRC0C5100010;Тонер-картридж БУЛАТ s-Line Type C5100 (828225, 828402) для Ricoh Pro C5100S (Чёрный, 3000;
5157;BS-R-5100C, EFRC0C5100020;Картридж Ricoh tуре 5100 для Pro C5100S/5110S0, cyan, 30000 стр..,Blossom;
5158;BS-R-5100M, EFRC0C5100030;Тонер-картридж БУЛАТ s-Line Type C5100 (828227, 828404) для Ricoh Pro C5100S (Пурпурный, 3;
5159;BS-R-5100Y, EFRC0C5100040;Тонер-картридж БУЛАТ s-Line Type C5100 (828226, 828403) для Ricoh Pro C5100S (Жёлтый, 3000;
5161;BS-R-8100S, DFRC008100010;Тонер-картридж БУЛАТ s-Line 8100S (828292, 828278) для Ricoh Aficio Pro 8100 (Чёрный, 8200;
5162;BS-R-SP8400E, DFRCSP8400010;Тонер-картридж БУЛАТ s-Line SP8400E (821277) для Ricoh Aficio SP 8400 (Чёрный, 51800 стр.);
5163;BS-R-DRSP6430;Картридж Ricoh SP6430E Барабан для Aficio SP 6430DN, 25000 стр., Blossom;
5164;BS-SgCLT-K606S;Тонер-картридж Samsung CLT-K606S для CLX-9250/9252/9350/9352, Bk, 25K, Blossom;
5165;BS-SgCLT-C606S;Картридж Samsung CLT-C606S для CLX-9350/9352, cyan 20000 стр..,Blossom;
5166;BS-SgCLT-M606S;Картридж Samsung CLT-M606S для CLX-9350/9352, magenta, 20000 стр..,Blossom;
5167;BS-SgCLT-Y606S;Картридж Samsung CLT-Y606S для CLX-9350/9352, yellow, 20000 стр..,Blossom;
5169;BS-SgML2550;Картридж Samsung ML-2550 для ML-2550/2551N/2552W, 10000 стр., Blossom;
5170;AFSMSL4580010, BS-SgMLT-D303E;Тонер-картридж Samsung SL-M4580 MLT-D303E (40k);
5171;BS-SgMLT-D304E;Картридж Samsung MLT-D304E для  M4530ND/4583FX black, 40000 стр.,Blossom;
5172;BS-SgMLT-D309E;Картридж Samsung MLT-D309E для  ML-5510/6510, black, 40000 стр., Blossom;
5173;BS-SgMLT-D358S;Картридж Samsung MLT-D358S для MultiXpress M4370LX/5370/M5370LX, black, 30000 стр.,Blossom;
5174;BS-SgCLT-R607K;Картридж Samsung CLT-R607K для Samsung CLX-9250/52/9350/52 75K black, drum, Blossom;
5175;BS-SgCLT-R607C;Картридж Samsung CLT-R607C для Samsung CLX-9250/52/9350/52 75K cyan, drum, Blossom;
5177;BS-SgCLT-R607Y;Картридж Samsung CLT-R607Y для Samsung CLX-9250/52/9350/52 75K yellow, drum, Blossom;
5179;AFSMSL4370020, BS-SgMLT-R358;Драм-картридж Samsung SL-M4370 MLT-R358;
5180;BS-SgSCX5312R2;Картридж Samsung SCX-5312R2 для SCX-5112/5312F/5115/5315F, drum 15000 стр.Blossom;
5181;BS-SH-AR152LT;Картридж Sharp AR 152LT для AR-121/151/156/5012, black, 8000 стр.,Blossom;
5184;BS-SH-AR621T;Картридж Sharp AR621T для AR M550U/N/620U/N/700U/N/MB OC 462/470, 83000 стр., Blossom;
5185;BS-Sh-MX50GTBA;Картридж Sharp MX-50GTBA для MX 4100N/4101N/5000N/5001N/5100N,black, 36000 стр., Blossom;
5186;BS-SH-AR205DM;Картридж Sharp AR-205DM для AR5516/5520/5618/5620/5623/MXM182/202D/232D, drum, 50000 стр.,;
5187;BS-T-1820;Картридж Toshiba T-1820E для E-Studio 180S, 3000 стр., Blossom;
5188;BS-T-2025;Картридж Toshiba T-2025 для E-Studio 200S, black, 3000 стр., Blossom;
5190;BS-T-2309E, DFTSES2309010, SG-T-2309E, WB T-2309E;Картридж Toshiba T-2309E для e-Studio 2309A/2809A, black, 17500  стр.,Blossom;
5191;BS-T-2802E, DFTSES2802010;Тонер-картридж БУЛАТ s-Line T-2802E для Toshiba e-Studio 2802 (Чёрный, 17500 стр.), совмес;
5192;BS-T-5070E;Картридж Toshiba T-5070E для E-Studio 257/307/357/457/507ь black, 36600 стр Blossom;
5193;BS-T-FC25EC;Картридж Toshiba T-FC25EC для E-Studio 2040c/2540c/3040c/3540c/4540c, cyan, 26800 стр., Bl;
5194;BS-T-FC25EK;Картридж Toshiba T-FC25EK для E-Studio 2040c/2540c/3040c/3540c/4540c, black, 34200 стр., B;
5195;BS-T-FC25EM;Картридж Toshiba T-FC25EM для E-Studio 2040c/2540c/3040c/3540c/4540c, magenta, 26800 стр.,;
5196;BS-T-FC25EY;Картридж Toshiba T-FC25EY для E-Studio 2040c/2540c/3040c/3540c/4540c, yellow, 26800 стр., ;
5198;BS-T-FC28EC;Картридж Toshiba T-FC28EC для E-Studio 2330c/2820c/3520c/4520c, cyan, 24000 стр., Blossom;
5199;BS-T-FC28EK;Картридж Toshiba T-FC28EK для E-Studio 2330c/2820c/3520c/4520c, black, 24000 стр., Blossom;
5200;BS-T-FC28EM;Картридж Toshiba T-FC28EM для E-Studio 2330c/2820c/3520c/4520c, magenta, 24000 стр., Bloss;
5201;BS-T-FC28EY;Картридж Toshiba T-FC28EY для E-Studio 2330c/2820c/3520c/4520c, yellow, 24000 стр., Blosso;
5203;BS-X006R01046W;Картридж Xerox 006R01046 для WC 23х/2x5/563x/5645/5655 DC 5x5, 2*32000 стр.,Blossom;
5206;98052090142, BS-X106R01271;Тонер-картридж Hi-Black (HB-106R01271) для Xerox Phaser 6110, C, 1K;
5207;BS-X106R01272;Картридж Xerox 106R01272 для Phaser 6110 magenta, 1000 стр.,Blossom;
5208;98052090132, BS-X106R01273;Тонер-картридж Hi-Black (HB-106R01273) для Xerox Phaser 6110, Y, 1K;
5209;98052090112, BS-X106R01274;Тонер-картридж Hi-Black (HB-106R01274) для Xerox Phaser 6110, Bk, 2K;
5211;BS-X106R02735, DFRXWC4265020;Тонер-картридж БУЛАТ s-Line 106R02735 для Xerox WC 4265 (Чёрный, 25000 стр.);
5212;BS-X106R03103;Картридж Xerox 106R03103 Xerox WC4265, 25000*2 стр., Blossom;
5213;BS-X113R00656;Картридж Xerox 113R00656 Принт-картридж для Phaser 4500, 10000 стр.,Blossom;
5214;BFRXPH6700060, BS-X108R00971;*Восстановленный* Драм-картридж БУЛАТ s-Line 108R00971 для Xerox Phaser 6700 (Голубой, 500;
5215;BS-ML6100;Матричный картридж Blossom BS-ML6100 для OKI Microline ML6100FB/ML760/ML6300/ML7100/ML7150;
5217;BS-ML-5100FB;Матричный картридж Oki ML-5100FB для ML-5100FB, черный, Blossom;
5218;BS-ML-5720;Матричный картридж Oki ML-5720 для ML-5720/5790/620/690, черный, Blossom;
5219;BS-PR9;Матричный картридж Olivetti PR9 для Nantian PR9 black/черный;
5223;155710, 173571, 9897184, 989999212;Картридж Xerox 106R04348 B205/210/215 3K Compatible;
5225;AT-T06C24A 112 С, CS-EPT06C24, GG-C13T06C24A, SIC13T06C24A;C13T06C24A (112 C) контейнер с чернилами Sakura для Epson, голубой, 100 мл.;
5229;SP333317, SP333317_MSK, WB 067H BK;Картридж 067H BK (5106C002) для Canon, черный (без чипа) 3,13K;
5230;SP333318, SP333318_MSK;Картридж 067H C (5105C002) для Canon, голубой (без чипа) 2,35K;
5231;SP333319, SP333319_MSK;Картридж 067H M (5104C002) для Canon, пурпурный (без чипа) 2,35K;
5232;SP333320, SP333320_MSK;Картридж 067H Y (5103C002) для Canon, желтый (без чипа) 2,35K;
5237;SP333161, SP333161_MSK;Картридж 069 (5094C002) для Canon, черный (без чипа) 2,1K;
5245;BS-HPCF283XL;Картридж HP CF283XL для LJ Pro MFP M201/M225, black,3000;
5247;162542;Картридж Colortek Brother DR-321CL (Bk/C/M/Y);
5250;139175, BS-DK-320, DFKYFS2020010;Картридж Colortek Kyocera DK-320 (DU);
5256;CS-DUWC4112, DFRXWC4110030;Драм-картридж БУЛАТ s-Line 013R00646 для Xerox WC Pro 4110 (Чёрный, 50000 стр.);
5257;CS-PLB9100;Картридж лазерный Cactus CS-PLB9100 006R01766 черный (71500стр.) для Xerox PrimeLink B9100;
5258;CS-WC6400BK;Картридж лазерный Cactus CS-WC6400BK 106R01316 черный (12000стр.) для Xerox WorkCentre 640;
5259;106R01317, CS-WC6400C;Картридж лазерный Cactus CS-WC6400C 106R01317 голубой (16500стр.) для Xerox WorkCentre 640;
5260;CS-WC6400M;Картридж лазерный Cactus CS-WC6400M 106R01318 пурпурный (16500стр.) для Xerox WorkCentre 6;
5263;BS-C-EXV51DU, CS-DUEXV51, EFCN0C5535080;Драм-картридж Canon C-EXV51DU для ADV C5535/i/C5540i/C5550i/C5560i MFP, Bk-458К/373K-CMY, ;
5281;CS-EPT7412, SIC13T741200;C13T741200 (T7412 C) контейнер с чернилами Sakura для Epson, голубой , 1000 мл.;
5282;CS-EPT7413, SIC13T741300;C13T741300 (T7413 M) контейнер с чернилами Sakura для Epson, пурпурный , 1000 мл.;
5283;CS-EPT7414, SIC13T741400;C13T741400 (T7414 Y) контейнер с чернилами Sakura для Epson, пурпурный , 1000 мл.;
5284;CS-EPT741X, SIC13T741X00;C13T741X00 (T741X BK) контейнер с чернилами Sakura для Epson, черный , 1000 мл.;
5308;BS-C4813A;*Брак* Blossom BS-C4813A №11 Печатающая головка для DesignJet 100/110/111/500/510/800/815/;
