external_code;группа;наш_ДхШхВ_см;вариантов_короба;расхождение_между_источниками_мм;все_источники;сверка_справочных_мм;варианты_ДхШхВ_мм и кто даёт;карточек_wb_acc1;карточек_wb_acc2
1310;В;37.0x20.0x15.0;3;180.0;cactus,izi,sakura;solutionsprint:130.0;500.0x200.0x160.0 ← izi | 320.0x155.0x140.0 ← cactus | 374.0x250.0x152.0 ← sakura;5;5
2639;Б;37.0x20.0x15.0;4;180.0;cactus,izi,sakura;нет данных;370.0x150.0x90.0 ← sakura | 550.0x95.0x95.0 ← cactus | 550.0x93.0x93.0 ← cactus | 495.0x80.0x80.0 ← izi;1;1
2640;Б;37.0x20.0x15.0;4;180.0;cactus,izi,sakura;нет данных;370.0x150.0x90.0 ← sakura | 550.0x93.0x93.0 ← cactus | 550.0x95.0x95.0 ← cactus | 495.0x80.0x80.0 ← izi;1;1
2641;Б;37.0x20.0x15.0;4;180.0;cactus,izi,sakura;нет данных;370.0x150.0x90.0 ← sakura | 550.0x93.0x93.0 ← cactus | 550.0x95.0x95.0 ← cactus | 495.0x80.0x80.0 ← izi;1;1
0234;В;30.0x8.0x5.0;3;170.0;cactus,izi,sakura;нет данных;345.0x235.0x125.0 ← izi | 280.0x65.0x60.0 ← cactus | 300.0x70.0x60.0 ← sakura;12;12
3203;Б;37.0x20.0x15.0;3;169.0;cactus,sakura;нет данных;585.0x135.0x85.0 ← cactus | 550.0x95.0x95.0 ← cactus | 416.0x90.0x86.0 ← sakura;1;1
1173;Б;37.0x20.0x15.0;5;165.0;cactus,izi,sakura;solutionsprint:255.0;345.0x235.0x125.0 ← izi | 430.0x80.0x65.0 ← cactus | 420.0x75.0x75.0 ← cactus | 430.0x70.0x65.0 ← cactus | 431.0x73.0x69.0 ← sakura;3;3
5724;В;35.0x25.0x9.0;2;160.0;cactus,izi;нет данных;510.0x260.0x120.0 ← cactus | 350.0x300.0x150.0 ← izi;1;1
0122;В;51.0x20.0x12.0;3;155.0;cactus,izi,sakura;solutionsprint:110.0;470.0x252.0x126.0 ← sakura | 500.0x195.0x125.0 ← cactus | 345.0x235.0x125.0 ← izi;5;5
1083;Б;37.0x20.0x15.0;3;155.0;cactus,izi,sakura;solutionsprint:155.0;345.0x235.0x125.0 ← izi | 465.0x90.0x90.0 ← cactus | 460.0x80.0x80.0 ← sakura;3;3
1694;В;37.0x20.0x15.0;3;155.0;cactus,sakura;нет данных;430.0x210.0x150.0 ← sakura | 585.0x135.0x85.0 ← cactus | 485.0x145.0x115.0 ← cactus;1;1
1696;В;37.0x20.0x15.0;3;155.0;cactus,sakura;нет данных;430.0x210.0x150.0 ← sakura | 585.0x135.0x85.0 ← cactus | 485.0x145.0x115.0 ← cactus;1;1
1697;В;37.0x20.0x15.0;3;155.0;cactus,sakura;нет данных;430.0x210.0x150.0 ← sakura | 585.0x135.0x85.0 ← cactus | 485.0x145.0x115.0 ← cactus;1;1
1149;Б;37.0x20.0x15.0;2;150.0;cactus,sakura;нет данных;370.0x255.0x115.0 ← sakura | 435.0x105.0x100.0 ← cactus;35;34
1289;Б;37.0x20.0x15.0;2;146.0;izi,sakura;нет данных;345.0x235.0x125.0 ← izi | 449.0x89.0x89.0 ← sakura;4;4
1279;Б;37.0x20.0x15.0;5;145.0;cactus,izi,sakura;solutionsprint:85.0;345.0x235.0x125.0 ← izi | 305.0x90.0x90.0 ← cactus | 305.0x95.0x95.0 ← cactus | 327.0x113.0x105.0 ← sakura | 330.0x114.0x107.0 ← sakura;7;1
1280;Б;37.0x20.0x15.0;4;145.0;cactus,izi,sakura;solutionsprint:125.0;345.0x235.0x125.0 ← izi | 305.0x90.0x90.0 ← cactus | 305.0x95.0x95.0 ← cactus | 327.0x114.0x102.0 ← sakura;1;1
1281;Б;37.0x20.0x15.0;4;145.0;cactus,izi,sakura;solutionsprint:125.0;345.0x235.0x125.0 ← izi | 305.0x95.0x95.0 ← cactus | 305.0x90.0x90.0 ← cactus | 327.0x114.0x102.0 ← sakura;1;1
1282;Б;37.0x20.0x15.0;4;145.0;cactus,izi,sakura;solutionsprint:75.0;345.0x235.0x125.0 ← izi | 305.0x90.0x90.0 ← cactus | 305.0x95.0x95.0 ← cactus | 327.0x114.0x102.0 ← sakura;1;1
0618;В;37.0x20.0x15.0;3;142.0;cactus,sakura;solutionsprint:103.0;465.0x247.0x124.0 ← sakura | 435.0x105.0x100.0 ← cactus | 485.0x145.0x115.0 ← cactus;2;2
1145;В;37.0x20.0x15.0;2;140.0;cactus,izi;нет данных;350.0x250.0x130.0 ← izi | 320.0x110.0x110.0 ← cactus;3;3
2301;Б;37.0x20.0x15.0;4;140.0;cactus,izi,sakura;solutionsprint:195.0;345.0x235.0x125.0 ← izi | 315.0x95.0x95.0 ← cactus | 305.0x120.0x100.0 ← cactus | 323.0x115.0x101.0 ← sakura;6;8
2302;Б;37.0x20.0x15.0;5;140.0;cactus,izi,sakura;solutionsprint:195.0;345.0x235.0x125.0 ← izi | 315.0x95.0x95.0 ← cactus | 320.0x140.0x100.0 ← cactus | 305.0x120.0x100.0 ← cactus | 328.0x114.0x101.0 ← sakura;1;1
2303;Б;37.0x20.0x15.0;5;140.0;cactus,izi,sakura;solutionsprint:195.0;345.0x235.0x125.0 ← izi | 315.0x95.0x95.0 ← cactus | 320.0x140.0x100.0 ← cactus | 305.0x120.0x100.0 ← cactus | 328.0x114.0x101.0 ← sakura;1;1
2304;Б;37.0x20.0x15.0;5;140.0;cactus,izi,sakura;solutionsprint:195.0;345.0x235.0x125.0 ← izi | 315.0x95.0x95.0 ← cactus | 320.0x140.0x100.0 ← cactus | 305.0x120.0x100.0 ← cactus | 328.0x114.0x101.0 ← sakura;1;1
1073;В;37.0x20.0x15.0;3;135.0;cactus,izi,sakura;solutionsprint:111.0;465.0x255.0x115.0 ← sakura | 425.0x120.0x120.0 ← cactus | 425.0x140.0x130.0 ← izi;4;4
4428;В;15.0x5.0x5.0;2;135.0;cactus,sakura;нет данных;285.0x125.0x35.0 ← cactus | 150.0x48.0x48.0 ← sakura;5;5
0103;Б;41.0x31.0x18.0;5;133.0;cactus,sakura;нет данных;437.0x282.0x160.0 ← sakura | 335.0x290.0x150.0 ← cactus | 340.0x290.0x170.0 ← cactus | 342.0x290.0x172.0 ← cactus | 422.0x157.0x117.0 ← sakura;3;1
1211;Б;37.0x20.0x15.0;4;130.0;cactus,izi,sakura;solutionsprint:140.0;460.0x175.0x110.0 ← cactus | 485.0x145.0x115.0 ← cactus | 590.0x100.0x100.0 ← izi | 580.0x90.0x90.0 ← sakura;1;1
1212;Б;37.0x20.0x15.0;4;130.0;cactus,izi,sakura;solutionsprint:140.0;460.0x175.0x110.0 ← cactus | 485.0x145.0x115.0 ← cactus | 590.0x100.0x100.0 ← izi | 585.0x93.0x91.0 ← sakura;1;1
1213;Б;37.0x20.0x15.0;4;130.0;cactus,izi,sakura;solutionsprint:140.0;460.0x175.0x110.0 ← cactus | 485.0x145.0x115.0 ← cactus | 590.0x100.0x100.0 ← izi | 585.0x94.0x91.0 ← sakura;1;1
1312;В;37.0x20.0x15.0;4;130.0;cactus,izi,sakura;нет данных;450.0x182.0x136.0 ← izi | 320.0x155.0x140.0 ← cactus | 331.0x168.0x125.0 ← sakura | 350.0x170.0x120.0 ← sakura;4;5
3635;Б;37.0x20.0x15.0;2;130.0;izi,sakura;solutionsprint:100.0;555.0x120.0x100.0 ← izi | 425.0x100.0x85.0 ← sakura;3;3
3636;Б;37.0x20.0x15.0;2;130.0;izi,sakura;solutionsprint:30.0;425.0x115.0x90.0 ← sakura | 555.0x80.0x80.0 ← izi;1;1
3637;Б;37.0x20.0x15.0;2;130.0;izi,sakura;solutionsprint:100.0;555.0x80.0x80.0 ← izi | 425.0x90.0x85.0 ← sakura;1;1
3638;Б;37.0x20.0x15.0;2;130.0;izi,sakura;solutionsprint:100.0;555.0x80.0x80.0 ← izi | 425.0x90.0x85.0 ← sakura;1;1
2188;В;10.0x8.0x5.0;2;128.5;cactus,sakura;solutionsprint:5.0;225.0x60.0x50.0 ← sakura | 96.5x47.0x18.5 ← cactus;5;5
1483;В;8.0x5.0x5.0;2;127.0;cactus,sakura;solutionsprint:117.0;217.0x50.0x28.0 ← cactus | 90.0x68.0x37.0 ← sakura;7;7
1484;В;8.0x5.0x5.0;2;127.0;cactus,sakura;solutionsprint:127.0;217.0x50.0x28.0 ← cactus | 90.0x68.0x24.0 ← sakura;1;1
0264;В;36.0x22.0x12.0;2;125.0;cactus,sakura;нет данных;460.0x245.0x120.0 ← sakura | 425.0x120.0x120.0 ← cactus;2;2
0617;В;37.0x20.0x15.0;3;125.0;cactus,sakura;нет данных;460.0x245.0x120.0 ← sakura | 425.0x120.0x120.0 ← cactus | 485.0x145.0x115.0 ← cactus;2;2
0626;В;37.0x20.0x15.0;2;125.0;cactus,sakura;нет данных;460.0x245.0x120.0 ← sakura | 425.0x120.0x120.0 ← cactus;2;3
0863;Б;37.0x20.0x15.0;4;125.0;cactus,izi,sakura;solutionsprint:65.0;345.0x235.0x125.0 ← izi | 320.0x110.0x110.0 ← cactus | 315.0x140.0x110.0 ← cactus | 331.0x168.0x123.0 ← sakura;5;4
0875;Б;36.0x20.0x15.0;5;125.0;cactus,izi,sakura;solutionsprint:75.0;345.0x235.0x125.0 ← izi | 270.0x150.0x115.0 ← cactus | 315.0x140.0x110.0 ← cactus | 320.0x110.0x110.0 ← cactus | 332.0x122.0x114.0 ← sakura;3;3
1210;Б;37.0x20.0x15.0;3;125.0;cactus,sakura;solutionsprint:140.0;460.0x175.0x110.0 ← cactus | 485.0x145.0x115.0 ← cactus | 585.0x95.0x95.0 ← sakura;5;5
2164;Б;37.0x20.0x15.0;7;125.0;cactus,izi,sakura;solutionsprint:65.0;345.0x235.0x125.0 ← izi | 352.0x165.0x122.0 ← cactus | 315.0x140.0x110.0 ← cactus | 320.0x110.0x110.0 ← cactus | 315.0x145.0x115.0 ← cactus | 330.0x160.0x130.0 ← izi | 332.0x124.0x115.0 ← sakura;2;2
2189;Б;10.0x8.0x5.0;2;125.0;cactus,sakura;solutionsprint:5.0;225.0x50.0x35.0 ← cactus,sakura | 100.0x54.0x18.0 ← cactus;1;1
2190;Б;10.0x8.0x5.0;2;125.0;cactus,sakura;solutionsprint:5.0;225.0x50.0x35.0 ← sakura | 100.0x54.0x18.0 ← cactus;1;1
2191;Б;10.0x8.0x5.0;2;125.0;cactus,sakura;solutionsprint:5.0;225.0x50.0x35.0 ← sakura | 100.0x54.0x18.0 ← cactus;1;1
2354;Б;37.0x20.0x15.0;4;125.0;cactus,izi,sakura;solutionsprint:75.0;345.0x235.0x125.0 ← izi | 310.0x110.0x100.0 ← cactus | 315.0x140.0x110.0 ← cactus | 328.0x116.0x103.0 ← sakura;3;3
0856;В;35.0x16.0x12.0;3;120.0;cactus,izi,sakura;solutionsprint:63.0;345.0x235.0x125.0 ← izi | 330.0x115.0x105.0 ← cactus | 331.0x116.0x104.0 ← sakura;8;8
0858;В;35.0x16.0x12.0;2;120.0;izi,sakura;solutionsprint:63.0;345.0x235.0x125.0 ← izi | 317.0x115.0x104.0 ← sakura;1;1
1306;Б;37.0x20.0x15.0;3;120.0;cactus,izi,sakura;solutionsprint:80.0;440.0x170.0x130.0 ← izi | 320.0x155.0x140.0 ← cactus | 333.0x168.0x123.0 ← sakura;3;3
1973;Б;37.0x20.0x15.0;3;120.0;cactus,izi,sakura;нет данных;490.0x110.0x110.0 ← izi | 370.0x90.0x90.0 ← cactus | 465.0x107.0x102.0 ← sakura;4;4
3065;В;27.0x9.0x3.0;2;120.0;cactus,sakura;solutionsprint:280.0;405.0x125.0x35.0 ← cactus | 285.0x85.0x35.0 ← sakura;6;6
5446;В;33.0x12.0x12.0;6;120.0;cactus,izi,sakura;solutionsprint:140.0;260.0x260.0x120.0 ← sakura | 320.0x140.0x120.0 ← cactus | 315.0x140.0x110.0 ← cactus | 320.0x140.0x110.0 ← cactus | 285.0x185.0x135.0 ← izi | 260.0x160.0x125.0 ← izi;2;3
5719;В;14.0x11.0x8.0;3;120.0;cactus,izi,sakura;solutionsprint:78.0;260.0x95.0x90.0 ← izi | 155.0x115.0x90.0 ← cactus | 140.0x100.0x70.0 ← sakura;3;3
0857;В;35.0x16.0x12.0;2;119.0;izi,sakura;solutionsprint:63.0;345.0x235.0x125.0 ← izi | 332.0x116.0x103.0 ← sakura;1;1
0859;В;35.0x16.0x12.0;2;119.0;izi,sakura;solutionsprint:63.0;345.0x235.0x125.0 ← izi | 331.0x116.0x105.0 ← sakura;1;1
1153;В;37.0x20.0x15.0;3;118.0;cactus,sakura;solutionsprint:60.0;370.0x250.0x140.0 ← sakura | 345.0x132.0x104.0 ← cactus | 350.0x165.0x120.0 ← cactus;1;1
1155;В;37.0x20.0x15.0;4;118.0;cactus,sakura;solutionsprint:60.0;370.0x250.0x140.0 ← sakura | 345.0x165.0x120.0 ← cactus | 345.0x132.0x104.0 ← cactus | 352.0x148.0x120.0 ← sakura;1;1
4216;В;58.0x9.0x9.0;3;117.0;cactus,izi;нет данных;550.0x93.0x93.0 ← cactus | 433.0x73.0x69.0 ← cactus | 550.0x80.0x80.0 ← izi;3;3
0681;Б;37.0x20.0x15.0;2;116.0;cactus,sakura;solutionsprint:85.0;420.0x75.0x75.0 ← cactus | 304.0x71.0x65.0 ← sakura;4;4
0873;Б;37.0x20.0x15.0;3;115.0;cactus,izi,sakura;solutionsprint:62.0;345.0x235.0x125.0 ← izi | 310.0x120.0x110.0 ← cactus | 330.0x169.0x123.0 ← sakura;1;1
1095;Б;37.0x20.0x15.0;3;115.0;cactus,sakura;нет данных;315.0x140.0x110.0 ← cactus | 200.0x65.0x45.0 ← cactus | 300.0x70.0x60.0 ← sakura;3;3
