external_code;наш_Д;наш_Ш;наш_В;внеш_Д;внеш_Ш;внеш_В;расхождение_по_сторонам;наш_объём_л;внеш_объём_л;разница_объёма_л;число_источников;группа;карточек_wb_acc1;src_file;src_locator;src_sha256
4176;37.0;15.0;12.0;56.0;15.0;14.0;-19.0 / 0.0 / -2.0;6.66;11.76;-5.1;2;В;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r646;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4177;37.0;15.0;12.0;56.0;15.0;14.0;-19.0 / 0.0 / -2.0;6.66;11.76;-5.1;2;В;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r645;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4178;37.0;15.0;12.0;56.0;15.0;14.0;-19.0 / 0.0 / -2.0;6.66;11.76;-5.1;2;В;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r644;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4181;56.0;15.0;14.0;54.0;21.0;19.0;2.0 / -6.0 / -5.0;11.76;21.546;-9.786;2;В;5;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r654;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4182;35.0;29.0;15.0;35.0;30.0;15.0;0.0 / -1.0 / 0.0;15.225;15.75;-0.525;1;А;5;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r4235;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4184;35.0;33.0;15.0;36.0;34.0;15.0;-1.0 / -1.0 / 0.0;17.325;18.36;-1.035;1;А;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r4239;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4185;32.0;15.0;12.0;32.0;11.0;10.0;0.0 / 4.0 / 2.0;5.76;3.52;2.24;1;Б;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3308;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4189;44.0;21.0;15.0;39.5;21.0;17.0;4.5 / 0.0 / -2.0;13.86;14.101;-0.241;1;В;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r4355;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4194;32.0;10.0;7.0;32.0;10.0;9.0;0.0 / 0.0 / -2.0;2.24;2.88;-0.64;1;А;2;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r4356;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4196;56.0;15.0;14.0;58.5;13.5;8.5;-2.5 / 1.5 / 5.5;11.76;6.713;5.047;2;Б;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r662;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
