external_code;наш_ДхШхВ_см;предлагаемый_Д_мм;предлагаемый_Ш_мм;предлагаемый_В_мм;предлагаемый_ДхШхВ_см;запись_в_прайсе_дословно;взят_источник;источников_всего;подтверждают_этот_размер;все_источники;источники_расходятся_на_мм;сверка_справочных_макс_отклонение_мм;вариантов_короба;наш_объём_л;предлагаемый_объём_л;разница_объёма_л;продаж_в_окне_шт;лишних_л_за_период;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
0965;10.0x8.0x5.0;180.0;100.0;55.0;18.0x10.0x5.5;CS-C9372;cactus;2;2;cactus,sakura;0.0;solutionsprint:30.0;1;0.4;0.99;-0.59;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1159;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0966;10.0x8.0x5.0;180.0;100.0;55.0;18.0x10.0x5.5;CS-C9373;cactus;2;2;cactus,sakura;0.0;solutionsprint:30.0;1;0.4;0.99;-0.59;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1158;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0967;10.0x8.0x5.0;180.0;100.0;55.0;18.0x10.0x5.5;CS-C9374;cactus;2;2;cactus,sakura;0.0;solutionsprint:30.0;1;0.4;0.99;-0.59;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1157;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0968;10.0x8.0x5.0;180.0;100.0;55.0;18.0x10.0x5.5;CS-C9403;cactus;2;2;cactus,sakura;0.0;нет данных;1;0.4;0.99;-0.59;;;2;2;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1152;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2207;10.0x8.0x5.0;300.0;80.0;32.0;30.0x8.0x3.2;CS-FX890;cactus;2;1;cactus,izi;8.0;нет данных;2;0.4;0.768;-0.368;;;3;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1899;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0317;8.0x5.0x5.0;115.0;95.0;45.0;11.5x9.5x4.5;CS-C4911;cactus;3;1;cactus,izi,sakura;20.0;solutionsprint:30.0;3;0.2;0.492;-0.292;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1171;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0318;8.0x5.0x5.0;115.0;95.0;45.0;11.5x9.5x4.5;CS-C4912;cactus;3;1;cactus,izi,sakura;20.0;solutionsprint:30.0;3;0.2;0.492;-0.292;;;10;10;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1170;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0319;8.0x5.0x5.0;115.0;95.0;45.0;11.5x9.5x4.5;CS-C4913;cactus;3;1;cactus,izi,sakura;20.0;solutionsprint:30.0;3;0.2;0.492;-0.292;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1169;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0320;8.0x5.0x5.0;115.0;95.0;45.0;11.5x9.5x4.5;CS-CH565A;cactus;2;1;cactus,sakura;12.0;solutionsprint:30.0;2;0.2;0.492;-0.292;;;5;7;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1109;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0607;37.0x20.0x15.0;350.0;250.0;130.0;35.0x25.0x13.0;LX-3435;izi;2;1;izi,sakura;20.0;нет данных;2;11.1;11.375;-0.275;;;2;2;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1095;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
