nm_id;vendor_code;card_vol_l;real_vol_l;razdutost_x;qty_mo;log_per_fact;save_per_unit;save_per_month;supplier_article
199332704;0809;11.1;2.75;4.03;1;310;249;249;cactus: CS-CE411A
192228226;1327;11.1;2.76;4.03;1;806;249;249;cactus: CS-CLT-C404S
200167516;32621;7.55;5.48;1.38;4;228;62;247;изи: TC-PM211EV
181082745;0208;9.5;1.26;7.54;1;273;246;246;sakura: SACE310A/729Bk
493592815;6384;12.24;4.03;3.04;1;336;245;245;sakura: SATL-R5220X
215239534;0220;10.8;2.6;4.15;1;302;245;245;sakura: SACRG726
253955516;5420;2.88;1.25;2.3;5;116;49;243;sakura: SA067HM
253957609;5421;2.88;1.25;2.3;5;152;49;243;sakura: SA067HY
265275992;5287;14.0;5.89;2.38;1;377;242;242;cactus: CS-T1A
804817300;5521;5.7;3.0;1.9;3;185;80;241;изи: TC-C071H
323108360;0205RQA3SHD2;10.8;2.72;3.97;1;302;241;241;profiline: GP_CE285X/725
181123617;1171;11.1;3.04;3.65;1;309;241;241;cactus: GG-DR1075
881930353;13775IEF6L1L;11.1;3.3;3.36;1;309;233;233;изи: TC-HCF218A
199331166;3351;11.1;3.37;3.29;1;806;231;231;profiline: GP_408294
199330999;3669;11.1;3.4;3.27;1;282;230;230;cactus: CS-VLC7000B
199331066;3670;11.1;3.4;3.27;1;310;230;230;cactus: CS-VLC7000C
199331046;3672;11.1;3.4;3.27;1;310;230;230;cactus: CS-VLC7000Y
447219910;6250;10.94;3.3;3.32;1;307;228;228;sakura: SAW2220A
199334171;2439;11.1;3.46;3.21;1;310;228;228;sakura: SACEXV49BK
199334687;3027;11.1;3.55;3.12;1;375;225;225;изи: LX-SC2020C
181116030;3028;11.1;3.55;3.12;1;310;225;225;изи: LX-SC2020M
216352805;3383;11.1;3.6;3.08;1;310;224;224;profiline: GP_C-EXV42_Drum
216405850;1333;11.1;3.6;3.08;1;310;224;224;profiline: GP_T-1640
192228174;0794;11.1;3.7;3.0;1;309;221;221;изи: LS-M406
216354204;1169;11.1;7.4;1.5;2;309;110;221;profiline: GP_101R00474_Drum
199333470;1361;11.1;3.74;2.97;1;375;219;219;sakura: SA106R02732
199334426;2760;11.1;3.77;2.94;1;310;219;219;cactus: CS-TK8335K
216360074;18352;11.1;7.45;1.49;2;327;109;218;profiline: GP_406990/407646
397556808;3258;5.12;1.47;3.48;2;171;109;218;sakura: SAZKTN-420X
566154551;2388;11.1;3.87;2.87;1;309;216;216;cactus: CS-TN423BK
199334763;3150;11.1;3.98;2.79;1;309;212;212;cactus: CS-TN241M
199335605;5336;6.72;3.17;2.12;2;208;106;212;cactus: GG-C703
439975498;5621;6.01;4.85;1.24;6;196;34;207;cactus: CR-KYTK5370K
209655407;0086;10.8;3.87;2.79;1;303;207;207;cactus: CS-C725X-MPS
199331154;0056;9.07;5.61;1.62;2;474;103;207;sakura: SAML1210U
181097521;0276;10.8;3.97;2.72;1;303;204;204;sakura: SAMLTD105L
199331190;2400;11.1;4.36;2.55;1;300;201;201;sakura: SATK5270K
199330896;2401;10.8;4.18;2.58;1;303;197;197;cactus: CS-TK5270C
199330897;2402;10.8;4.18;2.58;1;303;197;197;cactus: CS-TK5270M
209664814;2770;11.1;4.53;2.45;1;310;196;196;sakura: SATK8515K
199333248;1149;11.1;4.57;2.43;1;310;195;195;cactus: CS-WC232
181097417;0901;6.72;0.21;32.0;1;208;194;194;изи: IC-B1240BK
199331205;2414;11.1;4.59;2.42;1;310;194;194;profiline: GP_TK-8115Y_Y
264450194;5498;11.1;4.62;2.4;1;310;193;193;cactus: CS-MC2000Y
264401478;5496;11.1;4.62;2.4;1;310;193;193;cactus: CS-MC2000C
199565475;00281;9.5;6.27;1.52;2;736;96;193;изи: LH-53X U
199331153;0265;10.8;4.41;2.45;1;303;191;191;cactus: CS-CLT-K409S
324979782;1107VUMMPKB3;11.1;7.92;1.4;2;310;95;190;sakura: SA106R02312
262192027;5398;7.28;5.72;1.27;4;221;47;187;cactus: CS-S2010
